idx,pact,active,novelty,vina,aff_pred_value,aff_prob_binary
0,5.5735,0,analog,-10.08,-1.4488186836242676,0.8734397292137146
1,5.6383,0,analog,-9.839,-0.5694903135299683,0.8773892521858215
2,5.2218,0,analog,-9.383,-0.525048553943634,0.8705519437789917
3,5.3279,0,novel,-8.138,1.4587149620056152,0.23219402134418488
4,5.3363,0,analog,-10.05,-0.8132932782173157,0.7680139541625977
5,5.5686,0,analog,-9.597,-0.8199590444564819,0.9229681491851807
6,6.9586,1,analog,-9.265,0.9514540433883667,0.9557766914367676
7,6.7959,1,analog,-9.773,-1.1585614681243896,0.9052526950836182
8,7.4949,1,analog,-9.939,-0.5180020332336426,0.8904386162757874
9,7.2218,1,analog,-10.0,-0.7683123350143433,0.8505139350891113
10,5.301,0,analog,-10.01,-0.36678576469421387,0.6480073928833008
11,6.0915,0,analog,-10.03,-1.0105113983154297,0.8588180541992188
12,4.8861,0,novel,,-0.2598313093185425,0.7516915798187256
13,7.9208,1,analog,-9.163,-0.7116430997848511,0.984565258026123
14,4.8239,0,analog,-8.667,0.016792602837085724,0.7478955388069153
15,5.3979,0,analog,-8.611,-0.09791366010904312,0.9057483673095703
16,7.9586,1,analog,-9.337,0.3662793040275574,0.8287385106086731
17,7.9586,1,analog,-9.195,0.16631197929382324,0.7413087487220764
18,6.1612,0,analog,-9.788,1.6596043109893799,0.17977966368198395
19,7.0706,1,analog,,0.7338907718658447,0.2921736240386963
20,6.6778,1,analog,,0.6007920503616333,0.4027157425880432
21,8.7447,1,analog,,0.47985631227493286,0.2715812921524048
22,7.4685,1,analog,-9.616,-1.136401653289795,0.7029953002929688
23,7.4685,1,analog,-9.517,-0.8012245297431946,0.7276700139045715
24,8.585,1,analog,,0.1379941999912262,0.4431736469268799
25,7.0269,1,analog,-9.607,-0.6709607839584351,0.6836186647415161
26,6.1409,0,analog,-9.006,-0.18362559378147125,0.7438446283340454
27,6.6383,1,analog,,1.049710750579834,0.3764553666114807
28,4.8928,0,analog,-9.254,1.0401769876480103,0.8393251895904541
29,4.5638,0,analog,-8.543,0.1557050198316574,0.922269880771637
30,6.4202,0,analog,-9.35,0.01343892514705658,0.2571144700050354
31,6.5229,1,analog,-9.892,-1.2400007247924805,0.9275344610214233
32,6.0555,0,analog,-9.911,0.7766711711883545,0.38680654764175415
33,8.9586,1,analog,-8.957,-0.4592004716396332,0.9540820121765137
34,7.301,1,analog,-9.86,-0.9134165644645691,0.9347330331802368
35,9.301,1,analog,-9.104,-1.0223489999771118,0.9714993834495544
36,7.6198,1,analog,-8.714,-1.6164169311523438,0.9873450994491577
37,7.0458,1,analog,-8.845,0.5754053592681885,0.9032548666000366
38,8.0809,1,analog,-9.098,-0.42998701333999634,0.9593088626861572
39,6.2147,0,analog,-8.789,0.2418069690465927,0.4118856191635132
40,5.5229,0,analog,-9.91,-0.9583584666252136,0.8875865340232849
41,9.0177,1,analog,-9.282,-0.5196268558502197,0.9710733890533447
42,8.5229,1,analog,-9.196,-1.876747727394104,0.9784261584281921
43,8.0088,1,analog,-8.384,0.5269091129302979,0.9124315977096558
44,9.301,1,analog,-9.591,-2.0055954456329346,0.9913991689682007
