smiles,developability_F,p_target_active,activity_conformal_set,applicability_domain,nn_tanimoto_to_known_active,is_novel_chemistry,qed,sa_score,synth_solvable_prob,p_herg,p_ames,p_dili,predicted_safety,honest_confidence
O=C(O)c1ccc(O)c(O)c1,0.3125,0.7848,{},in-domain,0.4167,False,0.5225,1.7135,0.9779,0.0024,0.5073,0.0071,0.8277,reliable (in-domain)
CC1Cc2cc(O)c(O)c(O)c2C2C=CC(=O)C=CC12C(=O)O,0.2511,0.833,{},low (out-of-domain),0.2308,True,0.5877,4.3678,0.1305,0.0822,0.1368,0.3218,0.8197,"LOW — out-of-domain, do not trust the activity call"
COc1ccc(O)c(O)c1,0.1652,0.373,{},in-domain,0.3438,True,0.5742,1.6076,0.9755,0.0269,0.4793,0.0115,0.8274,reliable (in-domain)
CC1Cc2cc(O)c(O)c(O)c2C2C=CC(=O)C=CC12c1nc(C(=O)O)no1,0.1569,0.9085,{},low (out-of-domain),0.2267,True,0.5673,4.5969,0.1054,0.2216,0.2795,0.9772,0.5073,"LOW — out-of-domain, do not trust the activity call"
CC1Cc2cc(O)c(O)c(O)c2C2C=CC(=O)C=CC12c1ccc(O)c(O)c1,0.1435,0.9682,{1},low (out-of-domain),0.2174,True,0.4853,4.3153,0.1063,0.3327,0.2743,0.9421,0.4836,"LOW — out-of-domain, do not trust the activity call"
O=C(O)c1ccc2c(c1)nc(-c1ccc(O)c(O)c1)c1ccsc12,0.1399,0.9201,{},low (out-of-domain),0.2899,True,0.4763,2.3767,0.8901,0.4147,0.5156,0.9391,0.3768,"LOW — out-of-domain, do not trust the activity call"
CC(=O)NC12C=CC(=O)C=CC1c1c(cc(O)c(O)c1O)CC2C,0.1392,0.5072,{},low (out-of-domain),0.2206,True,0.5862,4.4599,0.2674,0.1302,0.1506,0.4383,0.7603,"LOW — out-of-domain, do not trust the activity call"
CC1Cc2cc(O)c(O)c(O)c2C2C=CC(=O)C=CC12c1ccccc1,0.131,0.7328,{},in-domain,0.2647,True,0.6867,4.1012,0.1722,0.7815,0.1864,0.8404,0.3972,reliable (in-domain)
CNc1noc(C23C=CC(=O)C=CC2c2c(cc(O)c(O)c2O)CC3C)n1,0.1271,0.8052,{},low (out-of-domain),0.2267,True,0.5928,4.6869,0.1208,0.3791,0.3008,0.9671,0.451,"LOW — out-of-domain, do not trust the activity call"
CNc1nc(-c2ccc(O)c(O)c2)no1,0.1204,0.4021,{},low (out-of-domain),0.2941,True,0.6405,2.4577,0.9353,0.572,0.5599,0.1951,0.5576,"LOW — out-of-domain, do not trust the activity call"
O=C(O)c1ccc2c(c1)nc(-c1nc(C(=O)O)no1)c1ccsc12,0.119,0.516,{},low (out-of-domain),0.2639,True,0.5822,2.7148,0.8334,0.0562,0.4763,0.9997,0.4893,"LOW — out-of-domain, do not trust the activity call"
COC12C=CC(=O)C=CC1c1c(cc(O)c(O)c1O)CC2C,0.1157,0.3661,{},low (out-of-domain),0.2388,True,0.692,4.4114,0.1488,0.2783,0.4921,0.0238,0.7353,"LOW — out-of-domain, do not trust the activity call"
CNc1ccc(O)c(O)c1,0.1111,0.3849,{},low (out-of-domain),0.3438,True,0.4037,1.9915,0.9718,0.0247,0.5602,0.0042,0.8036,"LOW — out-of-domain, do not trust the activity call"
CNc1nc(Nc2ccc(O)c(O)c2)no1,0.1106,0.418,{},low (out-of-domain),0.2391,True,0.4576,2.7281,0.9129,0.114,0.2299,0.5084,0.7159,"LOW — out-of-domain, do not trust the activity call"
COc1noc(C23C=CC(=O)C=CC2c2c(cc(O)c(O)c2O)CC3C)n1,0.1084,0.7073,{},low (out-of-domain),0.25,True,0.6863,4.6562,0.0981,0.5137,0.404,0.9542,0.3761,"LOW — out-of-domain, do not trust the activity call"
CNc1nc(C23C=CC(=O)C=CC2c2c(cc(O)c(O)c2O)CC3C)no1,0.1068,0.6941,{},low (out-of-domain),0.2133,True,0.5928,4.6753,0.0981,0.3791,0.338,0.9671,0.4386,"LOW — out-of-domain, do not trust the activity call"
CNc1nc(-c2noc(-c3ccc(O)c(O)c3)n2)no1,0.0897,0.6615,{},low (out-of-domain),0.2778,True,0.6038,2.6947,0.8891,0.4278,0.7622,0.9799,0.2767,"LOW — out-of-domain, do not trust the activity call"
CNc1nc(NC23C=CC(=O)C=CC2c2c(cc(O)c(O)c2O)CC3C)no1,0.0896,0.6872,{},low (out-of-domain),0.2051,True,0.5027,4.8168,0.1503,0.4482,0.2451,0.9559,0.4503,"LOW — out-of-domain, do not trust the activity call"
CNc1nc(-c2nc3cc(C(=O)O)ccc3c3sccc23)no1,0.0884,0.4157,{},low (out-of-domain),0.2533,True,0.5957,2.7701,0.8928,0.1983,0.4683,0.9996,0.4446,"LOW — out-of-domain, do not trust the activity call"
CNC12C=CC(=O)C=CC1c1c(cc(O)c(O)c1O)CC2C,0.0871,0.2765,{},low (out-of-domain),0.2308,True,0.5932,4.5521,0.3056,0.1046,0.242,0.023,0.8768,"LOW — out-of-domain, do not trust the activity call"
