smiles,vina_kcal_mol,predicted_safety,qed,synth_solvable_prob,applicability_domain,cand_score,confidence_tier
CCN(CC1CCOCC1)C(=O)Cn1cccc(C(F)(F)F)c1=O,-6.01,0.7013,0.8208,0.9118,in-domain,3.8430664934000007,reliable-ADMET (docking pose-plausible hypothesis)
Cc1ccc(F)c(OC2(C(=O)O)CCN(C(=O)c3ccco3)CC2)c1,-6.74,0.5712,0.9198,0.9646,in-domain,3.7136019648000005,reliable-ADMET (docking pose-plausible hypothesis)
NS(=O)(=O)c1ccccc1NC(=O)c1c(F)c(F)cc(F)c1F,-6.73,0.5574,0.6578,0.9853,in-domain,3.6961578606,reliable-ADMET (docking pose-plausible hypothesis)
CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,-5.28,0.856,0.3163,0.817,low (out-of-domain),3.69257856,LOW (out-of-domain)
CN(C)CCC1=CC(=O)C(O)=CC1=N,-5.41,0.8301,0.6562,0.8193,low (out-of-domain),3.6793460312999997,LOW (out-of-domain)
CCC(C)NC(=O)C1CCN(S(=O)(=O)c2ccc3[nH]c(=O)oc3c2)CC1,-6.64,0.5513,0.8137,0.9812,in-domain,3.5918121184,reliable-ADMET (docking pose-plausible hypothesis)
CC(=O)C1C(=O)CCCC1=O,-4.28,0.8678,0.517,0.9459,low (out-of-domain),3.5132466456,LOW (out-of-domain)
CN1CCC(N(C)CC(Nc2nc3c(Br)c(Br)c(Br)c(Br)c3[nH]2)c2ccccc2)CC1,-6.24,0.6118,0.2228,0.9125,in-domain,3.4835892,reliable-ADMET (docking pose-plausible hypothesis)
NCCCn1c2c(c3ccc(C(=O)O)cc3c1=O)C(=O)c1ccccc1-2,-7.36,0.5512,0.5888,0.8489,in-domain,3.4438446848,reliable-ADMET (docking pose-plausible hypothesis)
COCCOCCC(=O)NCC(=O)Nc1cccc(S(=O)(=O)N[C@@H](Cc2cccc(C(=N)N)c2)C(=O)N2CCC(CCN)CC2)c1,-7.1,0.5025,0.0747,0.9588,low (out-of-domain),3.4207586999999995,LOW (out-of-domain)
O=C(NC1(CO)CCCCC1)c1cc(OCC(F)(F)F)c(C2CC2)cn1,-6.14,0.7456,0.8036,0.7434,in-domain,3.4032733055999995,reliable-ADMET (docking pose-plausible hypothesis)
O=S(=O)(Nc1nccs1)c1ccc(NCc2cccc(F)c2O)cc1,-6.68,0.5188,0.6106,0.9636,low (out-of-domain),3.3394367424,LOW (out-of-domain)
COC(=O)CN(c1ccc(C)cc1)S(=O)(=O)c1ccc(F)cc1,-6.28,0.5506,0.7866,0.9523,in-domain,3.2928324664,reliable-ADMET (docking pose-plausible hypothesis)
CN(CCc1ccccc1)CC(O)COc1ccc(F)cc1C(=O)CCc1ccccc1,-5.54,0.6122,0.4241,0.9668,in-domain,3.2789872784,reliable-ADMET (docking pose-plausible hypothesis)
CC(Sc1nnnn1-c1ccccc1)C(=O)Nc1ccc(Cl)cn1,-6.4,0.5465,0.704,0.9193,low (out-of-domain),3.21534368,LOW (out-of-domain)
COc1ccc(/C=N\NC(=S)NC2CCCCC2)cc1OC,-6.13,0.5154,0.4961,0.9666,in-domain,3.0538779731999997,reliable-ADMET (docking pose-plausible hypothesis)
COC(=O)N1CC2(CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CC=C(c2ccccc2)CC1,-6.46,0.7215,0.5837,0.6536,in-domain,3.046357704,reliable-ADMET (docking pose-plausible hypothesis)
Fc1cccc2c1cnn2CC1=NCCN1,-5.82,0.6047,0.822,0.8643,low (out-of-domain),3.0417776622000003,LOW (out-of-domain)
O=C1NC2(CCc3ccccc3C2)C(=O)N1CN1CCN(Cc2ccccc2)CC1,-7.29,0.5085,0.7945,0.8196,in-domain,3.038228514,reliable-ADMET (docking pose-plausible hypothesis)
CN(C)CCOCC1CN(Cc2cccs2)Cc2ccnn2C1,-5.5,0.5961,0.7267,0.913,in-domain,2.9933161499999996,reliable-ADMET (docking pose-plausible hypothesis)
NCCCCCN(Cc1ccccc1)C(=O)[C@H](N)Cc1ccc(-c2ccccc2)cc1,-6.19,0.5296,0.4566,0.9119,in-domain,2.9894124656,reliable-ADMET (docking pose-plausible hypothesis)
COC(=O)c1cc(COC(=O)CNC(=O)c2cccc(C)c2)oc1C,-5.88,0.5194,0.8063,0.9667,in-domain,2.9523714024,reliable-ADMET (docking pose-plausible hypothesis)
COc1cccc(C2NC(=O)c3ccccc3N2)c1,-6.77,0.5265,0.8656,0.8175,low (out-of-domain),2.9139010874999993,LOW (out-of-domain)
Cc1ccc(OCCn2nnc3sc4c(c3c2=O)CCC(C(C)(C)C)C4)cc1,-6.5,0.5373,0.655,0.8266,low (out-of-domain),2.8868591699999997,LOW (out-of-domain)
O=c1c2c(sn1-c1ccc(Cl)cc1F)CCCC2,-6.11,0.5224,0.7841,0.8941,low (out-of-domain),2.8538456024,LOW (out-of-domain)
O=C1NC(=S)NC(=O)C1=Cc1ccc2c(c1)CCN2CCCCl,-5.88,0.5211,0.3749,0.915,in-domain,2.80362222,reliable-ADMET (docking pose-plausible hypothesis)
CC[C@@H](NC(=O)c1cc(C(=O)N2CCC[C@@H]2C(C)C)c2n1CCOC2)c1ccccc1,-6.64,0.4457,0.7588,0.9289,in-domain,2.7490312471999996,reliable-ADMET (docking pose-plausible hypothesis)
Cc1csc(C(=O)N2CCN(S(=O)(=O)c3c[nH]c4ncccc34)[C@@H](C)C2)c1,-7.36,0.3781,0.7266,0.974,in-domain,2.7104627839999997,reliable-ADMET (docking pose-plausible hypothesis)
COc1cccc2c1CCC([N+](C)(C)C)C2,-5.55,0.6309,0.6947,0.7702,in-domain,2.696851449,reliable-ADMET (docking pose-plausible hypothesis)
Cc1cc(C)cc(NC(=O)NCc2ccc(Cc3c[nH]cn3)cc2)c1,-7.19,0.3825,0.6613,0.9704,in-domain,2.66876982,reliable-ADMET (docking pose-plausible hypothesis)
CNC(=O)c1ccccc1Nc1nc(Nc2ccc3c(c2)C(C)CN(C)CC3)ncc1Cl,-7.3,0.4304,0.5279,0.836,in-domain,2.6266451199999996,reliable-ADMET (docking pose-plausible hypothesis)
CCOC(=O)C1CCCN(c2c(NCCCN(C)Cc3ccccc3)c(=O)c2=O)C1,-6.23,0.4295,0.3625,0.9639,in-domain,2.5791891615000004,reliable-ADMET (docking pose-plausible hypothesis)
O=C(C[n+]1ccccc1)NNc1ccccc1,-5.58,0.4918,0.6081,0.9241,low (out-of-domain),2.5359558804000004,LOW (out-of-domain)
CN(C)/C=C/C(=O)c1cc(F)cc(C(F)(F)F)c1,-5.9,0.4696,0.4731,0.9139,in-domain,2.532087896,reliable-ADMET (docking pose-plausible hypothesis)
