chembl_id,smiles,target_gene,population_target,source,activity_nM,mw,qed,sa_score,admet_score,best_similarity,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synth,score_overall,rank,herg_alerts,herg_risk,brenk_alerts,mutagenicity_risk,cyp_2d6_risk,cyp_3a4_risk,reactive_alerts,tox_score,offtarget_flags,n_offtarget_flags,selectivity_score,score_tox,score_selectivity_new,score_rebalanced,rank_new
CHEMBL3889770,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2C[C@@H](O)C2)c(=O)n4C)cn1,ATM,resistant,scout1,0.24,0.0,0.439,2.82,100.0,,database,100.0,100.0,100.0,100.0,70,79.8,97.5,1,1,medium,0,low,high,low,0,75,[],0,100,75,100,93.7,1
CHEMBL338923,COc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1O,PARP1,resistant,scout1,2.0,0.0,0.684,2.15,100.0,,database,89.1,99.8,100.0,89.1,70,87.2,92.9,5,0,low,0,low,low,low,0,100,[],0,100,100,100,93.5,2
CHEMBL5220685,COC(=O)[C@H]1COCCN1CCOc1ccccc1Cc1cn(C(F)F)nc1-c1cc(Cl)nc(N)n1,EZH2,resistant,scout1,1.0,0.0,0.334,3.64,91.7,,database,99.0,99.9,91.7,99.0,70,70.7,94.9,2,0,medium,0,low,low,low,0,85,['muscarinic'],1,85,85,85,92.0,3
CHEMBL201297,COCCOc1cc2ncnc(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)c2cc1OC,AURKA,resistant,scout1,1.0,0.0,0.324,2.54,96.5,,database,99.0,79.9,96.5,99.0,70,82.9,91.5,19,0,medium,0,low,low,low,0,85,[],0,100,85,100,91.6,4
CHEMBL131891,NC(=O)c1cccc2[nH]c(-c3ccc(Cl)cc3)nc12,PARP1,resistant,scout1,3.0,0.0,0.752,1.94,100.0,,database,83.3,99.7,100.0,83.3,70,89.6,90.4,35,0,low,0,low,low,low,0,100,[],0,100,100,100,91.3,5
CHEMBL3924247,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2COC2)c(=O)n4C)cn1,ATM,resistant,scout1,1.46,0.0,0.417,2.84,100.0,,database,93.6,99.9,100.0,93.6,70,79.6,94.6,3,1,medium,0,low,high,low,0,75,[],0,100,75,100,91.2,6
CHEMBL563985,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,MTOR,escape_route,scout1,0.46,0.0,0.567,2.7,100.0,,database,100.0,100.0,100.0,70.0,70,81.1,93.0,4,0,medium,0,low,low,low,0,85,[],0,100,85,100,90.8,7
CHEMBL3898165,Cn1c(=O)n([C@H]2C[C@@H](O)C2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,resistant,scout1,0.447,0.0,0.414,2.8,98.3,,database,100.0,80.0,98.3,100.0,70,80.0,92.2,6,0,medium,0,low,high,low,0,75,[],0,100,75,100,90.6,8
CHEMBL3936734,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,scout1,0.249,0.0,0.373,2.86,97.5,,database,100.0,80.0,97.5,100.0,70,79.3,92.0,11,1,medium,0,low,high,low,0,75,[],0,100,75,100,90.5,9
CHEMBL3960662,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)cn1,ATM,resistant,scout1,0.575,0.0,0.391,2.8,97.8,,database,100.0,80.0,97.8,100.0,70,80.0,92.0,8,1,medium,0,low,high,low,0,75,[],0,100,75,100,90.5,10
CHEMBL3936943,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,resistant,scout1,0.176,0.0,0.348,2.85,97.0,,database,100.0,80.0,97.0,100.0,70,79.4,91.9,12,0,medium,0,low,high,low,0,75,[],0,100,75,100,90.4,11
CHEMBL558486,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,MTOR,escape_route,scout1,0.32,0.0,0.539,2.7,95.8,,database,100.0,100.0,95.8,70.0,70,81.1,92.2,7,0,medium,0,low,low,low,0,85,[],0,100,85,100,90.4,12
CHEMBL3986918,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3CCOCC3)c(=O)n2C)cn1,ATM,resistant,scout1,0.782,0.0,0.376,2.92,97.5,,database,100.0,79.9,97.5,100.0,70,78.7,91.9,13,1,medium,0,low,high,low,0,75,[],0,100,75,100,90.4,13
CHEMBL3890490,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)cn1,ATM,resistant,scout1,0.329,0.0,0.391,3.27,97.8,,database,100.0,80.0,97.8,100.0,70,74.8,91.8,14,1,medium,0,low,high,low,0,75,[],0,100,75,100,90.3,14
CHEMBL4111966,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCCOC2)c(=O)n4C)cn1,ATM,resistant,scout1,0.935,0.0,0.391,3.27,97.8,,database,100.0,79.9,97.8,100.0,70,74.8,91.8,15,1,medium,0,low,high,low,0,75,[],0,100,75,100,90.3,15
