chembl_id,smiles,target_gene,population_target,source,activity_nM,mw,qed,sa_score,admet_score,best_similarity,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synth,score_overall,rank
CHEMBL3889770,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2C[C@@H](O)C2)c(=O)n4C)cn1,ATM,resistant,scout1,0.24,0.0,0.439,2.82,100.0,,database,100.0,100.0,100.0,100.0,70,79.8,97.5,1
CHEMBL5220685,COC(=O)[C@H]1COCCN1CCOc1ccccc1Cc1cn(C(F)F)nc1-c1cc(Cl)nc(N)n1,EZH2,resistant,scout1,1.0,0.0,0.334,3.64,91.7,,database,99.0,99.9,91.7,99.0,70,70.7,94.9,2
CHEMBL3924247,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2COC2)c(=O)n4C)cn1,ATM,resistant,scout1,1.46,0.0,0.417,2.84,100.0,,database,93.6,99.9,100.0,93.6,70,79.6,94.6,3
CHEMBL563985,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,MTOR,escape_route,scout1,0.46,0.0,0.567,2.7,100.0,,database,100.0,100.0,100.0,70.0,70,81.1,93.0,4
CHEMBL338923,COc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1O,PARP1,resistant,scout1,2.0,0.0,0.684,2.15,100.0,,database,89.1,99.8,100.0,89.1,70,87.2,92.9,5
CHEMBL3898165,Cn1c(=O)n([C@H]2C[C@@H](O)C2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,resistant,scout1,0.447,0.0,0.414,2.8,98.3,,database,100.0,80.0,98.3,100.0,70,80.0,92.2,6
CHEMBL558486,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,MTOR,escape_route,scout1,0.32,0.0,0.539,2.7,95.8,,database,100.0,100.0,95.8,70.0,70,81.1,92.2,7
CHEMBL3960662,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)cn1,ATM,resistant,scout1,0.575,0.0,0.391,2.8,97.8,,database,100.0,80.0,97.8,100.0,70,80.0,92.0,8
CHEMBL561907,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NCCF)cc4)nc32)CC1,MTOR,escape_route,scout1,0.61,0.0,0.502,2.83,95.0,,database,100.0,99.9,95.0,70.0,70,79.7,92.0,9
CHEMBL5218878,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCNC(=O)C2)n1,EZH2,resistant,scout1,2.1,0.0,0.479,3.13,100.0,,database,88.4,99.8,100.0,88.4,70,76.3,92.0,10
