chembl_id,smiles,target_gene,population_target,source,activity_nM,mw,qed,sa_score,admet_score,best_similarity,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synth,score_overall,rank,ppb_percent,fu,clearance_mL_min_kg,clearance_class,vd_L_kg,half_life_h,half_life_class,bioavailability_percent,bioavailability_class,est_dose_mg,dosing_frequency,pk_score
CHEMBL3889770,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2C[C@@H](O)C2)c(=O)n4C)cn1,ATM,resistant,scout1,0.24,0.0,0.439,2.82,100.0,,database,100.0,100.0,100.0,100.0,70,79.8,97.5,1,73.0,0.2699,47.1,high,0.69,0.5,short,10.0,low,2.0,TID (three times daily),40
CHEMBL5220685,COC(=O)[C@H]1COCCN1CCOc1ccccc1Cc1cn(C(F)F)nc1-c1cc(Cl)nc(N)n1,EZH2,resistant,scout1,1.0,0.0,0.334,3.64,91.7,,database,99.0,99.9,91.7,99.0,70,70.7,94.9,2,63.0,0.3698,30.3,high,0.56,0.5,short,8.0,low,2.0,TID (three times daily),40
CHEMBL3924247,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2COC2)c(=O)n4C)cn1,ATM,resistant,scout1,1.46,0.0,0.417,2.84,100.0,,database,93.6,99.9,100.0,93.6,70,79.6,94.6,3,73.7,0.2626,45.2,high,0.79,0.5,short,10.0,low,2.0,TID (three times daily),40
CHEMBL563985,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,MTOR,escape_route,scout1,0.46,0.0,0.567,2.7,100.0,,database,100.0,100.0,100.0,70.0,70,81.1,93.0,4,51.9,0.4811,21.3,high,0.17,0.5,short,10.0,low,1.0,TID (three times daily),40
CHEMBL338923,COc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1O,PARP1,resistant,scout1,2.0,0.0,0.684,2.15,100.0,,database,89.1,99.8,100.0,89.1,70,87.2,92.9,5,42.1,0.5787,32.3,high,0.2,0.5,short,10.0,low,1.0,TID (three times daily),40
CHEMBL3898165,Cn1c(=O)n([C@H]2C[C@@H](O)C2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,resistant,scout1,0.447,0.0,0.414,2.8,98.3,,database,100.0,80.0,98.3,100.0,70,80.0,92.2,6,81.4,0.1862,62.8,high,1.12,0.5,short,10.0,low,3.0,TID (three times daily),40
CHEMBL558486,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,MTOR,escape_route,scout1,0.32,0.0,0.539,2.7,95.8,,database,100.0,100.0,95.8,70.0,70,81.1,92.2,7,60.2,0.3975,26.8,high,0.24,0.5,short,8.0,low,2.0,TID (three times daily),40
CHEMBL3960662,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)cn1,ATM,resistant,scout1,0.575,0.0,0.391,2.8,97.8,,database,100.0,80.0,97.8,100.0,70,80.0,92.0,8,84.7,0.1528,71.0,high,1.62,0.5,short,10.0,low,3.0,TID (three times daily),40
CHEMBL561907,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NCCF)cc4)nc32)CC1,MTOR,escape_route,scout1,0.61,0.0,0.502,2.83,95.0,,database,100.0,99.9,95.0,70.0,70,79.7,92.0,9,60.1,0.3986,25.9,high,0.23,0.5,short,8.0,low,2.0,TID (three times daily),40
CHEMBL5218878,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCNC(=O)C2)n1,EZH2,resistant,scout1,2.1,0.0,0.479,3.13,100.0,,database,88.4,99.8,100.0,88.4,70,76.3,92.0,10,54.6,0.4537,24.8,high,0.43,0.5,short,10.0,low,1.0,TID (three times daily),40
CHEMBL3936734,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,scout1,0.249,0.0,0.373,2.86,97.5,,database,100.0,80.0,97.5,100.0,70,79.3,92.0,11,84.7,0.153,70.9,high,1.61,0.5,short,10.0,low,3.0,TID (three times daily),40
CHEMBL3936943,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,resistant,scout1,0.176,0.0,0.348,2.85,97.0,,database,100.0,80.0,97.0,100.0,70,79.4,91.9,12,89.9,0.1006,95.1,high,2.64,0.5,short,10.0,low,5.0,TID (three times daily),40
CHEMBL3986918,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3CCOCC3)c(=O)n2C)cn1,ATM,resistant,scout1,0.782,0.0,0.376,2.92,97.5,,database,100.0,79.9,97.5,100.0,70,78.7,91.9,13,86.5,0.1347,78.1,high,1.84,0.5,short,10.0,low,4.0,TID (three times daily),40
CHEMBL3890490,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)cn1,ATM,resistant,scout1,0.329,0.0,0.391,3.27,97.8,,database,100.0,80.0,97.8,100.0,70,74.8,91.8,14,84.7,0.1528,71.0,high,1.62,0.5,short,10.0,low,3.0,TID (three times daily),40
CHEMBL4111966,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCCOC2)c(=O)n4C)cn1,ATM,resistant,scout1,0.935,0.0,0.391,3.27,97.8,,database,100.0,79.9,97.8,100.0,70,74.8,91.8,15,84.7,0.1528,71.0,high,1.62,0.5,short,10.0,low,3.0,TID (three times daily),40
CHEMBL3947316,Cn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,resistant,scout1,0.238,0.0,0.365,3.25,97.3,,database,100.0,80.0,97.3,100.0,70,75.0,91.7,16,90.0,0.1005,95.2,high,2.65,0.5,short,10.0,low,5.0,TID (three times daily),40
CHEMBL3961688,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2(C)CCOCC2)c(=O)n4C)cn1,ATM,resistant,scout1,0.96,0.0,0.379,3.1,97.6,,database,99.6,79.9,97.6,99.6,70,76.7,91.6,17,86.8,0.1324,77.0,high,1.9,0.5,short,10.0,low,4.0,TID (three times daily),40
