chembl_id,name,smiles,target_gene,population_target,source,activity_nM,mw,logp,qed,sa_score,admet_score,est_emax_s,est_emax_r,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synthesizability,score_overall,rank
CHEMBL3889770,CHEMBL3889770,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2C[C@@H](O)C2)c(=O)n4C)cn1,ATM,resistant,scout1,0.24,0.0,0.0,0.439,2.82,100.0,0.00231,0.011549,database_search,92.4,100.0,100.0,100.0,80,79.8,95.7,1
CHEMBL3923182,CHEMBL3923182,CO[C@H]1CC[C@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,scout1,0.152,0.0,0.0,0.359,3.55,97.2,0.002409,0.012045,database_search,96.4,80.0,97.2,100.0,80,71.7,90.9,2
CHEMBL3936943,CHEMBL3936943,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,resistant,scout1,0.176,0.0,0.0,0.348,2.85,97.0,0.002377,0.011886,database_search,95.1,80.0,97.0,100.0,80,79.4,90.9,3
CHEMBL3924247,CHEMBL3924247,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2COC2)c(=O)n4C)cn1,ATM,resistant,scout1,1.46,0.0,0.0,0.417,2.84,100.0,0.001918,0.009589,database_search,76.7,99.9,100.0,95.9,80,79.6,90.3,4
CHEMBL3936734,CHEMBL3936734,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,scout1,0.249,0.0,0.0,0.373,2.86,97.5,0.002302,0.01151,database_search,92.1,80.0,97.5,100.0,80,79.3,90.1,5
CHEMBL3947316,CHEMBL3947316,Cn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,resistant,scout1,0.238,0.0,0.0,0.365,3.25,97.3,0.002312,0.011559,database_search,92.5,80.0,97.3,100.0,80,75.0,89.9,6
CHEMBL5220685,CHEMBL5220685,COC(=O)[C@H]1COCCN1CCOc1ccccc1Cc1cn(C(F)F)nc1-c1cc(Cl)nc(N)n1,EZH2,resistant,scout1,1.0,0.0,0.0,0.334,3.64,91.7,0.002,0.01,database_search,80.0,99.9,91.7,100.0,80,70.7,89.8,7
CHEMBL338923,CHEMBL338923,COc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1O,PARP1,resistant,scout1,2.0,0.0,0.0,0.684,2.15,100.0,0.001849,0.009247,database_search,74.0,99.8,100.0,92.5,80,87.2,89.4,8
CHEMBL3927821,CHEMBL3927821,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)c(F)n1,ATM,resistant,scout1,0.301,0.0,0.0,0.297,2.96,95.9,0.002261,0.011304,database_search,90.4,80.0,95.9,100.0,80,78.2,89.2,9
CHEMBL3890490,CHEMBL3890490,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)cn1,ATM,resistant,scout1,0.329,0.0,0.0,0.391,3.27,97.8,0.002241,0.011207,database_search,89.7,80.0,97.8,100.0,80,74.8,89.2,10
CHEMBL382667,CHEMBL382667,COc1cc2c(Nc3cnc(NC(=O)c4ccc(F)c(Cl)c4)nc3)ncnc2cc1OCCCN1CCOCC1,AURKA,resistant,scout1,0.15,0.0,0.0,0.268,2.69,85.4,0.002412,0.01206,database_search,96.5,80.0,85.4,100.0,80,81.2,89.1,11
CHEMBL4112870,CHEMBL4112870,CO[C@@H]1CC[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,scout1,0.315,0.0,0.0,0.359,3.55,97.2,0.002251,0.011254,database_search,90.0,80.0,97.2,100.0,80,71.7,89.0,12
CHEMBL3898165,CHEMBL3898165,Cn1c(=O)n([C@H]2C[C@@H](O)C2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,resistant,scout1,0.447,0.0,0.0,0.414,2.8,98.3,0.002175,0.010874,database_search,87.0,80.0,98.3,100.0,80,80.0,88.7,13
CHEMBL5218878,CHEMBL5218878,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCNC(=O)C2)n1,EZH2,resistant,scout1,2.1,0.0,0.0,0.479,3.13,100.0,0.001839,0.009194,database_search,73.6,99.8,100.0,91.9,80,76.3,88.6,14
CHEMBL3935033,CHEMBL3935033,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)c(F)n1,ATM,resistant,scout1,0.365,0.0,0.0,0.297,3.42,95.9,0.002219,0.011094,database_search,88.8,80.0,95.9,100.0,80,73.1,88.5,15
CHEMBL3960662,CHEMBL3960662,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)cn1,ATM,resistant,scout1,0.575,0.0,0.0,0.391,2.8,97.8,0.00212,0.010601,database_search,84.8,80.0,97.8,100.0,80,80.0,88.0,16
CHEMBL131891,CHEMBL131891,NC(=O)c1cccc2[nH]c(-c3ccc(Cl)cc3)nc12,PARP1,resistant,scout1,3.0,0.0,0.0,0.752,1.94,100.0,0.001761,0.008807,database_search,70.5,99.7,100.0,88.1,80,89.6,87.7,17
CHEMBL4109764,CHEMBL4109764,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCCOC2)c(=O)n4C)c(F)n1,ATM,resistant,scout1,0.552,0.0,0.0,0.297,3.42,95.9,0.002129,0.010645,database_search,85.2,80.0,95.9,100.0,80,73.1,87.4,18
CHEMBL195373,CHEMBL195373,N#Cc1cnc(NC(=O)Nc2cc(Cl)ccc2OC2CCOC2)cn1,CHEK1,resistant,scout1,3.0,0.0,0.0,0.868,3.04,100.0,0.001761,0.008807,database_search,70.5,99.7,100.0,88.1,80,77.3,87.1,19
CHEMBL3986918,CHEMBL3986918,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3CCOCC3)c(=O)n2C)cn1,ATM,resistant,scout1,0.782,0.0,0.0,0.376,2.92,97.5,0.002053,0.010267,database_search,82.1,79.9,97.5,100.0,80,78.7,87.1,20
CHEMBL5218615,CHEMBL5218615,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCS(=O)(=O)CC2)n1,EZH2,resistant,scout1,2.4,0.0,0.0,0.458,3.19,94.2,0.00181,0.009049,database_search,72.4,99.8,94.2,90.5,80,75.7,86.9,21
CHEMBL558486,CHEMBL558486,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,MTOR,escape_route,scout1,0.32,0.0,0.0,0.539,2.7,95.8,0.004495,0.006742,database_search,74.9,100.0,95.8,80.9,80,81.1,86.8,22
CHEMBL3958682,CHEMBL3958682,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5F)cc4c32)C1,ATM,resistant,scout1,0.765,0.0,0.0,0.283,3.02,95.7,0.002058,0.010291,database_search,82.3,79.9,95.7,100.0,80,77.6,86.7,23
CHEMBL3895211,CHEMBL3895211,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,resistant,scout1,0.418,0.0,0.0,0.333,2.97,86.7,0.002189,0.010947,database_search,87.6,80.0,86.7,100.0,80,78.1,86.5,24
CHEMBL4111966,CHEMBL4111966,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCCOC2)c(=O)n4C)cn1,ATM,resistant,scout1,0.935,0.0,0.0,0.391,3.27,97.8,0.002015,0.010073,database_search,80.6,79.9,97.8,100.0,80,74.8,86.5,25
