gene_a,gene_b,score,source
FLT3,FLT3LG,0.999,STRING_v12
FLT3,KITLG,0.983,STRING_v12
FLT3,CEBPA,0.981,STRING_v12
FLT3,GRB2,0.972,STRING_v12
FLT3,STAT3,0.971,STRING_v12
FLT3,STAT5A,0.97,STRING_v12
FLT3,STAT5B,0.97,STRING_v12
FLT3,SPI1,0.965,STRING_v12
FLT3,PIK3CA,0.958,STRING_v12
FLT3,PIK3R1,0.956,STRING_v12
FLT3,NPM1,0.943,STRING_v12
FLT3,PIK3CD,0.94,STRING_v12
FLT3,PIK3CB,0.93,STRING_v12
FLT3,PIK3R2,0.922,STRING_v12
FLT3,PIK3R3,0.92,STRING_v12
FLT3,PTPRJ,0.905,STRING_v12
FLT3,CSF1,0.9,STRING_v12
FLT3,NRAS,0.9,STRING_v12
FLT3,PTPN11,0.889,STRING_v12
FLT3,FGF2,0.881,STRING_v12
FLT3,CD34,0.88,STRING_v12
FLT3,SOCS2,0.874,STRING_v12
FLT3,IL3,0.867,STRING_v12
FLT3,KRAS,0.865,STRING_v12
FLT3,ASXL1,0.861,STRING_v12
FLT3,EGF,0.86,STRING_v12
FLT3,CBL,0.852,STRING_v12
FLT3,TET2,0.852,STRING_v12
FLT3,DNMT3A,0.851,STRING_v12
FLT3,VEGFC,0.842,STRING_v12
FLT3,SLAMF1,0.839,STRING_v12
FLT3,VEGFD,0.839,STRING_v12
FLT3,RUNX1,0.828,STRING_v12
FLT3,IL7R,0.826,STRING_v12
FLT3,CDKN1B,0.823,STRING_v12
FLT3,IDH1,0.814,STRING_v12
FLT3,CSF2,0.813,STRING_v12
FLT3,FGF10,0.806,STRING_v12
FLT3,FGF6,0.805,STRING_v12
FLT3,FGF22,0.804,STRING_v12
FLT3,FGF4,0.803,STRING_v12
FLT3,FGF16,0.801,STRING_v12
FLT3,FGF20,0.801,STRING_v12
FLT3,FGF9,0.8,STRING_v12
FLT3,FGF7,0.798,STRING_v12
FLT3,ETV6,0.798,STRING_v12
FLT3,CD48,0.797,STRING_v12
FLT3,IDH2,0.797,STRING_v12
FLT3,FGF3,0.796,STRING_v12
FLT3,SLA,0.796,STRING_v12
IDH1,ACO1,0.998,STRING_v12
IDH1,ACO2,0.998,STRING_v12
IDH1,IDH3G,0.996,STRING_v12
IDH1,CS,0.993,STRING_v12
IDH1,OGDH,0.99,STRING_v12
IDH1,IDH3B,0.988,STRING_v12
IDH1,IDH3A,0.987,STRING_v12
IDH1,OGDHL,0.981,STRING_v12
IDH1,GLUD1,0.973,STRING_v12
IDH1,MDH2,0.97,STRING_v12
IDH1,GLUD2,0.963,STRING_v12
IDH1,IDH2,0.961,STRING_v12
IDH1,FH,0.957,STRING_v12
IDH1,GOT2,0.952,STRING_v12
IDH1,ACLY,0.935,STRING_v12
IDH1,MGMT,0.934,STRING_v12
IDH1,GOT1,0.929,STRING_v12
IDH1,TET2,0.914,STRING_v12
IDH1,ASXL1,0.899,STRING_v12
IDH1,D2HGDH,0.895,STRING_v12
IDH1,ALDH5A1,0.891,STRING_v12
IDH1,GPT,0.89,STRING_v12
IDH1,ATRX,0.888,STRING_v12
IDH1,SDHB,0.887,STRING_v12
IDH1,NADK,0.886,STRING_v12
IDH1,GOT1L1,0.883,STRING_v12
IDH1,GPT2,0.879,STRING_v12
IDH1,PGD,0.877,STRING_v12
IDH1,ASL,0.875,STRING_v12
IDH1,IREB2,0.867,STRING_v12
IDH1,ADSL,0.86,STRING_v12
IDH1,SUCLG1,0.856,STRING_v12
IDH1,SUCLA2,0.854,STRING_v12
IDH1,SDHA,0.852,STRING_v12
IDH1,NFE2L2,0.849,STRING_v12
IDH1,TP53,0.845,STRING_v12
IDH1,PTEN,0.841,STRING_v12
IDH1,LDHA,0.826,STRING_v12
IDH1,NIT2,0.825,STRING_v12
IDH1,RIMKLB,0.816,STRING_v12
IDH1,DLST,0.815,STRING_v12
IDH1,FLT3,0.814,STRING_v12
IDH1,IL4I1,0.814,STRING_v12
IDH1,HSD17B4,0.813,STRING_v12
IDH1,H6PD,0.801,STRING_v12
IDH1,NPM1,0.8,STRING_v12
IDH1,BRAF,0.799,STRING_v12
IDH1,DNMT3A,0.797,STRING_v12
IDH1,EGFR,0.795,STRING_v12
IDH1,SUCLG2,0.784,STRING_v12
IDH2,ACO2,0.998,STRING_v12
IDH2,IDH3G,0.998,STRING_v12
IDH2,ACO1,0.998,STRING_v12
IDH2,IDH3B,0.997,STRING_v12
IDH2,IDH3A,0.997,STRING_v12
IDH2,CS,0.994,STRING_v12
IDH2,OGDH,0.991,STRING_v12
IDH2,MDH2,0.985,STRING_v12
IDH2,OGDHL,0.983,STRING_v12
IDH2,GLUD1,0.972,STRING_v12
IDH2,IDH1,0.961,STRING_v12
IDH2,GOT2,0.96,STRING_v12
IDH2,GLUD2,0.959,STRING_v12
IDH2,FH,0.934,STRING_v12
IDH2,D2HGDH,0.933,STRING_v12
IDH2,SIRT3,0.921,STRING_v12
IDH2,GOT1,0.916,STRING_v12
IDH2,ACLY,0.9,STRING_v12
IDH2,NNT,0.898,STRING_v12
IDH2,ALDH5A1,0.894,STRING_v12
IDH2,MGMT,0.893,STRING_v12
IDH2,GPT,0.892,STRING_v12
IDH2,SDHB,0.885,STRING_v12
IDH2,GOT1L1,0.885,STRING_v12
IDH2,GPT2,0.883,STRING_v12
IDH2,L2HGDH,0.881,STRING_v12
IDH2,NADK,0.881,STRING_v12
IDH2,ASL,0.88,STRING_v12
IDH2,SUCLG1,0.878,STRING_v12
IDH2,TET2,0.871,STRING_v12
IDH2,SDHA,0.869,STRING_v12
IDH2,IREB2,0.864,STRING_v12
IDH2,ADSL,0.858,STRING_v12
IDH2,SUCLA2,0.857,STRING_v12
IDH2,DLST,0.823,STRING_v12
IDH2,LDHA,0.82,STRING_v12
IDH2,NIT2,0.82,STRING_v12
IDH2,ASXL1,0.818,STRING_v12
IDH2,RIMKLB,0.816,STRING_v12
IDH2,G6PD,0.816,STRING_v12
IDH2,IL4I1,0.815,STRING_v12
IDH2,SIRT5,0.811,STRING_v12
IDH2,GPI,0.806,STRING_v12
IDH2,PGD,0.805,STRING_v12
IDH2,H6PD,0.803,STRING_v12
IDH2,SUCLG2,0.798,STRING_v12
IDH2,FLT3,0.797,STRING_v12
IDH2,DHTKD1,0.796,STRING_v12
IDH2,SOD2,0.794,STRING_v12
IDH2,DNMT3A,0.793,STRING_v12
DNMT3A,H3-3B,0.999,STRING_v12
DNMT3A,EZH2,0.999,STRING_v12
DNMT3A,H3C12,0.999,STRING_v12
DNMT3A,H3C13,0.999,STRING_v12
DNMT3A,DNMT1,0.999,STRING_v12
DNMT3A,DNMT3L,0.999,STRING_v12
DNMT3A,H3-4,0.998,STRING_v12
DNMT3A,H3-2,0.998,STRING_v12
DNMT3A,H3-5,0.998,STRING_v12
DNMT3A,DNMT3B,0.998,STRING_v12
DNMT3A,HDAC1,0.997,STRING_v12
DNMT3A,SUV39H1,0.996,STRING_v12
DNMT3A,SETDB1,0.996,STRING_v12
DNMT3A,EHMT2,0.993,STRING_v12
DNMT3A,MPHOSPH8,0.993,STRING_v12
DNMT3A,MYC,0.991,STRING_v12
DNMT3A,H4C6,0.974,STRING_v12
DNMT3A,HDAC2,0.97,STRING_v12
DNMT3A,UHRF1,0.967,STRING_v12
DNMT3A,H3C1,0.964,STRING_v12
DNMT3A,SMARCA4,0.957,STRING_v12
DNMT3A,TCL1A,0.952,STRING_v12
DNMT3A,MECP2,0.949,STRING_v12
DNMT3A,TET2,0.946,STRING_v12
DNMT3A,TRIM28,0.942,STRING_v12
DNMT3A,SPI1,0.939,STRING_v12
DNMT3A,ASXL1,0.939,STRING_v12
DNMT3A,AHCY,0.937,STRING_v12
DNMT3A,TDG,0.933,STRING_v12
DNMT3A,MAT2B,0.932,STRING_v12
DNMT3A,H3-3A,0.931,STRING_v12
DNMT3A,MAT2A,0.931,STRING_v12
DNMT3A,TRDMT1,0.926,STRING_v12
