mutation,drug,n_mut,n_wt,mut_median,wt_median,diff,pval,direction,rank,bh_threshold,fdr_significant,bh_rank
NPM1,Sorafenib,147,451,168.5,201.2,32.7,9.361776184073323e-13,sensitive,1,4.664179104477612e-05,True,1
NPM1,Cabozantinib,131,399,140.9,185.6,44.7,2.9153548000340017e-12,sensitive,2,9.328358208955224e-05,True,2
NPM1,KW-2449,133,398,186.9,223.3,36.4,3.9194019254173e-12,sensitive,3,0.00013992537313432837,True,3
NRAS,Trametinib (GSK1120212),100,481,78.4,133.8,55.3,2.9177893666957255e-11,sensitive,4,0.00018656716417910448,True,4
NRAS,Selumetinib (AZD6244),92,446,136.1,208.3,72.2,4.606275249027346e-11,sensitive,5,0.0002332089552238806,True,5
NRAS,Pazopanib (GW786034),92,467,246.3,212.0,-34.3,6.021839386897383e-11,resistant,6,0.00027985074626865673,True,6
NPM1,Ibrutinib (PCI-32765),131,394,182.5,215.2,32.7,4.739011302483712e-10,sensitive,7,0.00032649253731343285,True,7
NRAS,CI-1040 (PD184352),90,452,157.0,195.3,38.3,6.010269704336881e-10,sensitive,8,0.00037313432835820896,True,8
NRAS,Vemurafenib (PLX-4032),81,328,270.7,249.6,-21.1,6.518388717105692e-10,resistant,9,0.00041977611940298507,True,9
NPM1,Dovitinib (CHIR-258),135,402,130.8,166.4,35.7,9.828886898942438e-10,sensitive,10,0.0004664179104477612,True,10
NPM1,Sunitinib,144,451,172.2,208.6,36.3,1.2489081375613011e-09,sensitive,11,0.0005130597014925374,True,11
NPM1,Regorafenib (BAY 73-4506),133,397,168.9,189.8,20.9,2.140798630448966e-09,sensitive,12,0.0005597014925373135,True,12
NPM1,Foretinib (XL880),133,403,85.2,124.1,39.0,4.513644148207793e-09,sensitive,13,0.0006063432835820895,True,13
NPM1,Erlotinib,139,437,212.5,229.6,17.2,5.231769018458314e-09,sensitive,14,0.0006529850746268657,True,14
NRAS,Sunitinib,98,497,224.0,197.2,-26.8,1.3258373184884421e-08,resistant,15,0.0006996268656716418,True,15
TP53,Nutlin 3a,33,333,281.1,251.4,-29.7,2.5221026581217683e-08,resistant,16,0.0007462686567164179,True,16
NRAS,Masitinib (AB-1010),89,439,229.2,200.1,-29.1,3.2237221913515836e-08,resistant,17,0.0007929104477611941,True,17
NPM1,Ponatinib (AP24534),88,284,102.8,148.9,46.1,7.278513718446566e-08,sensitive,18,0.0008395522388059701,True,18
NRAS,Flavopiridol,90,442,85.5,117.5,32.0,1.805014174382289e-07,sensitive,19,0.0008861940298507463,True,19
NPM1,Vandetanib (ZD6474),138,434,209.4,233.3,23.9,1.8358646602342746e-07,sensitive,20,0.0009328358208955224,True,20
TP53,17-AAG (Tanespimycin),45,484,184.0,144.7,-39.3,2.670374081913546e-07,resistant,21,0.0009794776119402986,True,21
NPM1,A-674563,135,408,110.4,141.1,30.7,3.412512262675263e-07,sensitive,22,0.0010261194029850748,True,22
NPM1,Gefitinib,133,426,229.7,240.9,11.3,4.011399585095344e-07,sensitive,23,0.0010727611940298508,True,23
NPM1,Quizartinib (AC220),141,415,130.0,154.9,24.9,4.329932316494498e-07,sensitive,24,0.001119402985074627,True,24
NRAS,NVP-TAE684,89,441,222.6,189.4,-33.3,6.861926658821737e-07,resistant,25,0.0011660447761194029,True,25
NRAS,KW-2449,90,441,232.6,208.8,-23.8,8.163072486099008e-07,resistant,26,0.001212686567164179,True,26
DNMT3A,Saracatinib (AZD0530),109,421,194.5,221.4,26.9,1.1387120396881318e-06,sensitive,27,0.0012593283582089552,True,27
NRAS,Tivozanib (AV-951),88,439,207.7,162.7,-45.0,1.5099264013054666e-06,resistant,28,0.0013059701492537314,True,28
NPM1,VX-745,134,405,177.4,206.6,29.2,1.5597096396304928e-06,sensitive,29,0.0013526119402985076,True,29
NPM1,AZD1152-HQPA (AZD2811),133,404,206.0,230.1,24.0,1.6255640302794102e-06,sensitive,30,0.0013992537313432835,True,30
NPM1,Entospletinib (GS-9973),107,250,164.0,191.4,27.4,1.7059385371304918e-06,sensitive,31,0.0014458955223880597,True,31
NRAS,Sorafenib,101,497,215.4,190.1,-25.3,2.124474703249593e-06,resistant,32,0.0014925373134328358,True,32
NPM1,Tozasertib (VX-680),138,404,201.7,221.4,19.7,2.188381938294564e-06,sensitive,33,0.001539179104477612,True,33
NRAS,Vandetanib (ZD6474),94,478,249.1,224.1,-25.0,2.8547726471457178e-06,resistant,34,0.0015858208955223882,True,34
NPM1,Crenolanib,130,401,203.5,226.2,22.6,3.5780269863576043e-06,sensitive,35,0.0016324626865671641,True,35
DNMT3A,Sorafenib,126,472,175.4,198.4,23.0,3.748721808692117e-06,sensitive,36,0.0016791044776119403,True,36
NPM1,17-AAG (Tanespimycin),131,398,131.5,156.4,25.0,4.0988710782071285e-06,sensitive,37,0.0017257462686567165,True,37
NPM1,JNJ-7706621,137,404,229.9,242.0,12.1,4.524138477154716e-06,sensitive,38,0.0017723880597014926,True,38
NRAS,Imatinib,104,510,251.0,232.1,-18.8,5.469213191809972e-06,resistant,39,0.0018190298507462688,True,39
TP53,Linifanib (ABT-869),46,489,233.9,189.6,-44.3,5.603859672209707e-06,resistant,40,0.0018656716417910447,True,40
IDH2,GSK-1838705A,63,472,193.9,216.8,22.9,7.097059812768374e-06,sensitive,41,0.0019123134328358211,True,41
NPM1,NVP-TAE684,130,400,178.1,202.8,24.7,7.109048104480784e-06,sensitive,42,0.0019589552238805973,True,42
