smiles,mw,logp,hbd,hba,tpsa,qed,sa_score,fsp3,lipinski_violations,complementarity,binding_score,est_ic50_nM,drug_like,iteration,target,pocket_class,resistance_risk,design_method
CC(F)(C1CC1)S(=O)(=S)Nc1cccc2ccccc12,309.4,4.01,1,2,29.1,0.924,2.5,0.333,0,0.722,0.694,8.3,True,3.0,MDM2,PPI,0.0,denovo_optimized
N#CC(C1CC1)(C1CC1)S(=O)(=O)Nc1cccc2ccccc12,326.4,3.66,1,3,70.0,0.911,2.9,0.389,0,0.724,0.692,8.4,True,3.0,MDM2,PPI,0.0,denovo_optimized
O=S(=S)(Nc1cccc2ccccc12)C(F)(F)C1CC1,313.4,3.92,1,2,29.1,0.927,2.5,0.286,0,0.714,0.687,8.7,True,2.0,MDM2,PPI,0.0,denovo_optimized
O=S(=O)(Nc1cccc2ccccc12)C(F)(C1CC1)C1CC1,319.4,4.07,1,2,46.2,0.903,2.8,0.412,0,0.722,0.687,8.7,True,2.0,MDM2,PPI,0.0,denovo_optimized
N#CC(F)(C1CC1)S(=O)(=S)Nc1cccc2ccccc12,320.4,3.51,1,3,52.9,0.938,2.6,0.267,0,0.709,0.687,8.7,True,3.0,MDM2,PPI,0.0,denovo_optimized
COC(C1CC1)(C1CC1)S(=O)(=O)Nc1cccc2ccccc12,331.4,3.74,1,3,55.4,0.877,2.9,0.444,0,0.731,0.687,8.7,True,3.0,MDM2,PPI,0.0,denovo_optimized
FC(F)(C1CC1)S(=S)(=S)Nc1cccc2ccccc12,329.5,4.25,1,2,12.0,0.901,2.5,0.286,0,0.722,0.686,8.8,True,3.0,MDM2,PPI,0.0,denovo_optimized
CC(C1CC1)(C1CC1)S(=O)(=O)Nc1cccc2ccccc12,315.4,4.16,1,2,46.2,0.9,2.8,0.444,0,0.722,0.686,8.8,True,3.0,MDM2,PPI,0.0,denovo_optimized
COC(F)(C1CC1)S(=O)(=S)Nc1cccc2ccccc12,325.4,3.59,1,3,38.3,0.913,2.6,0.333,0,0.717,0.685,8.8,True,3.0,MDM2,PPI,0.0,denovo_optimized
CC(C1CC1)(C(F)(F)F)S(=O)(=O)Nc1cccc2ccccc12,343.4,4.31,1,2,46.2,0.899,2.9,0.375,0,0.722,0.685,8.8,True,3.0,MDM2,PPI,0.0,denovo_optimized
