drug,targets,relevance_score,category,reasons
Camptothecin,TOP1,1,POSSIBLY_RELEVANT,TOP1 prostate-expressed (45.7x)
Vinblastine,Microtubule destabiliser,0,NOT_RELEVANT,No prostate relevance found
Cisplatin,DNA crosslinker,0,NOT_RELEVANT,No prostate relevance found
Cytarabine,Antimetabolite,0,NOT_RELEVANT,No prostate relevance found
Docetaxel,Microtubule stabiliser,0,NOT_RELEVANT,No prostate relevance found
Methotrexate,Antimetabolite,0,NOT_RELEVANT,No prostate relevance found
Tretinoin,Retinoic acid,0,NOT_RELEVANT,No prostate relevance found
Gefitinib,EGFR,1,POSSIBLY_RELEVANT,EGFR prostate-expressed (27.1x)
Navitoclax,"BCL2,BCL-XL,BCL-W",1,POSSIBLY_RELEVANT,BCL2 prostate-expressed (7.7x)
Vorinostat,"HDAC inhibitor Class I,IIa,IIb,IV",0,NOT_RELEVANT,No prostate relevance found
Nilotinib,ABL,0,NOT_RELEVANT,No prostate relevance found
Refametinib,"MEK1,MEK2",0,NOT_RELEVANT,No prostate relevance found
Temsirolimus,MTOR,2,RELEVANT,MTOR prostate-expressed (16.6x); MTOR in prostate pathway
Olaparib,"PARP1,PARP2",1,POSSIBLY_RELEVANT,PARP1 prostate-expressed (32.0x)
Veliparib,"PARP1,PARP2",1,POSSIBLY_RELEVANT,PARP1 prostate-expressed (32.0x)
Bosutinib,"SRC,ABL,TEC",1,POSSIBLY_RELEVANT,SRC prostate-expressed (51.5x)
Lenalidomide,CRBN,1,POSSIBLY_RELEVANT,CRBN prostate-expressed (24.9x)
Axitinib,"PDGFR,KIT,VEGFR",1,POSSIBLY_RELEVANT,KIT prostate-expressed (8.2x)
AZD7762,"CHEK1,CHEK2",2,RELEVANT,CHEK1 prostate-expressed (2.3x); CHEK1 in prostate pathway
GW441756,NTRK1,1,POSSIBLY_RELEVANT,NTRK1 prostate-expressed (5.7x)
Lestaurtinib,"FLT3,JAK2,NTRK1,NTRK2,NTRK3",2,RELEVANT,JAK2 prostate-expressed (8.3x); JAK2 in prostate pathway
SB216763,"GSK3A,GSK3B",1,POSSIBLY_RELEVANT,GSK3A prostate-expressed (44.1x)
Tanespimycin,HSP90,0,NOT_RELEVANT,No prostate relevance found
Motesanib,"VEGFR,RET,KIT,PDGFR",1,POSSIBLY_RELEVANT,KIT prostate-expressed (8.2x)
KU-55933,ATM,2,RELEVANT,ATM prostate-expressed (7.1x); ATM in prostate pathway
Elesclomol,HSP90,0,NOT_RELEVANT,No prostate relevance found
Afatinib,"EGFR,ERBB2",1,POSSIBLY_RELEVANT,EGFR prostate-expressed (27.1x)
Vismodegib,SMO,1,POSSIBLY_RELEVANT,SMO prostate-expressed (38.6x)
Staurosporine,Broad spectrum kinase inhibitor,0,NOT_RELEVANT,No prostate relevance found
PLX-4720,BRAF,2,RELEVANT,BRAF prostate-expressed (13.5x); BRAF in prostate pathway
BX795,"TBK1,PDK1 (PDPK1),IKK,AURKB,AURKC",1,POSSIBLY_RELEVANT,TBK1 prostate-expressed (24.5x)
NU7441,DNAPK,0,NOT_RELEVANT,No prostate relevance found
SL0101,"RSK,AURKB,PIM1,PIM3",1,POSSIBLY_RELEVANT,PIM1 prostate-expressed (31.4x)
Doramapimod,"p38,JNK2",0,NOT_RELEVANT,No prostate relevance found
JNK Inhibitor VIII,JNK,0,NOT_RELEVANT,No prostate relevance found
Wee1 Inhibitor,"WEE1,CHEK1",2,RELEVANT,CHEK1 prostate-expressed (2.3x); CHEK1 in prostate pathway
Nutlin-3a (-),MDM2,2,RELEVANT,MDM2 prostate-expressed (13.5x); MDM2 in prostate pathway
Mirin,MRE11,1,POSSIBLY_RELEVANT,MRE11 prostate-expressed (11.3x)
PD173074,"FGFR1,FGFR2,FGFR3",2,RELEVANT,FGFR1 prostate-expressed (66.3x); FGFR1 in prostate pathway
ZM447439,"AURKA,AURKB",0,NOT_RELEVANT,No prostate relevance found
Alisertib,AURKA,0,NOT_RELEVANT,No prostate relevance found
RO-3306,CDK1,0,NOT_RELEVANT,No prostate relevance found
MK-2206,"AKT1,AKT2",2,RELEVANT,AKT1 prostate-expressed (71.5x); AKT1 in prostate pathway
Palbociclib,"CDK4,CDK6",2,RELEVANT,CDK4 prostate-expressed (53.3x); CDK4 in prostate pathway
Dactolisib,"PI3K (class 1),MTORC1,MTORC2",0,NOT_RELEVANT,No prostate relevance found
Pictilisib,PI3K (class 1),0,NOT_RELEVANT,No prostate relevance found
AZD8055,"MTORC1,MTORC2",0,NOT_RELEVANT,No prostate relevance found
PD0325901,"MEK1,MEK2",0,NOT_RELEVANT,No prostate relevance found
SB590885,BRAF,2,RELEVANT,BRAF prostate-expressed (13.5x); BRAF in prostate pathway
Selumetinib,"MEK1,MEK2",0,NOT_RELEVANT,No prostate relevance found
CCT007093,PPM1D,1,POSSIBLY_RELEVANT,PPM1D prostate-expressed (8.3x)
Obatoclax Mesylate,"BCL2,BCL-XL,BCL-W,MCL1",1,POSSIBLY_RELEVANT,BCL2 prostate-expressed (7.7x)
EHT-1864,"RAC1,RAC2,RAC3",1,POSSIBLY_RELEVANT,RAC1 prostate-expressed (190.2x)
Avagacestat,"Amyloid beta20,Amyloid beta40",0,NOT_RELEVANT,No prostate relevance found
5-Fluorouracil,Antimetabolite (DNA & RNA),0,NOT_RELEVANT,No prostate relevance found
Dasatinib,"ABL,SRC,Ephrins,PDGFR,KIT",1,POSSIBLY_RELEVANT,SRC prostate-expressed (51.5x)
Paclitaxel,Microtubule stabiliser,0,NOT_RELEVANT,No prostate relevance found
Crizotinib,"MET,ALK,ROS1",1,POSSIBLY_RELEVANT,MET prostate-expressed (7.5x)
Rapamycin,MTORC1,0,NOT_RELEVANT,No prostate relevance found
Sorafenib,"PDGFR,KIT,VEGFR,RAF",1,POSSIBLY_RELEVANT,KIT prostate-expressed (8.2x)
BI-2536,"PLK1,PLK2,PLK3",1,POSSIBLY_RELEVANT,PLK1 prostate-expressed (3.7x)
Irinotecan,TOP1,1,POSSIBLY_RELEVANT,TOP1 prostate-expressed (45.7x)
Oxaliplatin,DNA alkylating agent,0,NOT_RELEVANT,No prostate relevance found
BMS-536924,"IGF1R,IR",1,POSSIBLY_RELEVANT,IGF1R prostate-expressed (23.5x)
GSK1904529A,"IGF1R,IR",1,POSSIBLY_RELEVANT,IGF1R prostate-expressed (23.5x)
Tozasertib,"AURKA,AURKB,AURKC,others",1,POSSIBLY_RELEVANT,AURKC prostate-expressed (2.2x)
PF-4708671,S6K1,0,NOT_RELEVANT,No prostate relevance found
PRIMA-1MET,TP53 activation,0,NOT_RELEVANT,No prostate relevance found
Serdemetan,MDM2,2,RELEVANT,MDM2 prostate-expressed (13.5x); MDM2 in prostate pathway
TW 37,"BCL2,BCL-XL,MCL1",1,POSSIBLY_RELEVANT,BCL2 prostate-expressed (7.7x)
Erlotinib,EGFR,1,POSSIBLY_RELEVANT,EGFR prostate-expressed (27.1x)
CCT-018159,HSP90,0,NOT_RELEVANT,No prostate relevance found
Rucaparib,"PARP1,PARP2",1,POSSIBLY_RELEVANT,PARP1 prostate-expressed (32.0x)
Niraparib,"PARP1,PARP2",1,POSSIBLY_RELEVANT,PARP1 prostate-expressed (32.0x)
MK-1775,"WEE1,PLK1",1,POSSIBLY_RELEVANT,WEE1 prostate-expressed (12.9x)
Dinaciclib,"CDK1,CDK2,CDK5,CDK9",1,POSSIBLY_RELEVANT,CDK2 prostate-expressed (22.6x)
Gemcitabine,Pyrimidine antimetabolite,0,NOT_RELEVANT,No prostate relevance found
Bortezomib,Proteasome,0,NOT_RELEVANT,No prostate relevance found
GSK269962A,"ROCK1,ROCK2",1,POSSIBLY_RELEVANT,ROCK1 prostate-expressed (17.2x)
SB505124,"TGFBR1,ACVR1B,ACVR1C",1,POSSIBLY_RELEVANT,TGFBR1 prostate-expressed (17.0x)
Tamoxifen,ESR1,1,POSSIBLY_RELEVANT,ESR1 prostate-expressed (5.1x)
Fulvestrant,ESR,0,NOT_RELEVANT,No prostate relevance found
EPZ004777,DOT1L,1,POSSIBLY_RELEVANT,DOT1L prostate-expressed (15.3x)
YK-4-279,RNA helicase A,0,NOT_RELEVANT,No prostate relevance found
Piperlongumine,Induces reactive oxygen species,0,NOT_RELEVANT,No prostate relevance found
Daporinad,NAMPT,1,POSSIBLY_RELEVANT,NAMPT prostate-expressed (48.1x)
BMS-345541,"IKK-1,IKK-2",0,NOT_RELEVANT,No prostate relevance found
AZ960,"JAK2,JAK3",2,RELEVANT,JAK2 prostate-expressed (8.3x); JAK2 in prostate pathway
Talazoparib,"PARP1,PARP2",1,POSSIBLY_RELEVANT,PARP1 prostate-expressed (32.0x)
XAV939,"TNKS1,TNKS2",1,POSSIBLY_RELEVANT,TNKS2 prostate-expressed (28.0x)
Trametinib,"MEK1,MEK2",0,NOT_RELEVANT,No prostate relevance found
Dabrafenib,BRAF,2,RELEVANT,BRAF prostate-expressed (13.5x); BRAF in prostate pathway
Temozolomide,DNA alkylating agent,0,NOT_RELEVANT,No prostate relevance found
Bleomycin (50 uM),dsDNA break induction,0,NOT_RELEVANT,No prostate relevance found
AZD5438,CDK2,1,POSSIBLY_RELEVANT,CDK2 prostate-expressed (22.6x)
IAP_5620,IAP,0,NOT_RELEVANT,No prostate relevance found
AZD2014,"mTORC1,mTORC2",0,NOT_RELEVANT,No prostate relevance found
AZD1208,"PIM1,PIM2,PIM3",1,POSSIBLY_RELEVANT,PIM1 prostate-expressed (31.4x)
AZD1332,"NTRK1,NTRK2,NTRK3",1,POSSIBLY_RELEVANT,NTRK1 prostate-expressed (5.7x)
SN-38,TOP1,1,POSSIBLY_RELEVANT,TOP1 prostate-expressed (45.7x)
Bicalutamide,AR,2,RELEVANT,AR prostate-expressed (21.1x); AR in prostate pathway
Ruxolitinib,"JAK1,JAK2",2,RELEVANT,JAK1 prostate-expressed (47.7x); JAK1 in prostate pathway
Linsitinib,IGF1R,1,POSSIBLY_RELEVANT,IGF1R prostate-expressed (23.5x)
Epirubicin,Anthracycline,0,NOT_RELEVANT,No prostate relevance found
Cyclophosphamide,Alkylating agent,0,NOT_RELEVANT,No prostate relevance found
Pevonedistat,NAE,0,NOT_RELEVANT,No prostate relevance found
Sapitinib,"EGFR,ERBB2,ERBB3",1,POSSIBLY_RELEVANT,EGFR prostate-expressed (27.1x)
Uprosertib,"AKT1,AKT2,AKT3",2,RELEVANT,AKT1 prostate-expressed (71.5x); AKT1 in prostate pathway
LCL161,"XIAP,IAP1,IAP2",1,POSSIBLY_RELEVANT,XIAP prostate-expressed (11.6x)
Lapatinib,"EGFR,ERBB2",1,POSSIBLY_RELEVANT,EGFR prostate-expressed (27.1x)
Luminespib,HSP90,0,NOT_RELEVANT,No prostate relevance found
Alpelisib,PI3Kalpha,0,NOT_RELEVANT,No prostate relevance found
Taselisib,PI3K (beta sparing),0,NOT_RELEVANT,No prostate relevance found
EPZ5676,DOT1L,1,POSSIBLY_RELEVANT,DOT1L prostate-expressed (15.3x)
SCH772984,"ERK1,ERK2",0,NOT_RELEVANT,No prostate relevance found
IWP-2,PORCN,1,POSSIBLY_RELEVANT,PORCN prostate-expressed (14.1x)
Leflunomide,Pyrimidine synthesis inhibitor,0,NOT_RELEVANT,No prostate relevance found
Bromosporine,"CECR2,BRD2,BRD4,BRD9",1,POSSIBLY_RELEVANT,BRD2 prostate-expressed (136.1x)
SGC-CBP30,"EP300,CBP",1,POSSIBLY_RELEVANT,EP300 prostate-expressed (29.2x)
GSK-LSD1,KDM1,0,NOT_RELEVANT,No prostate relevance found
BDOCA000347a,"BRPF1,BRPF2,BRPF3",1,POSSIBLY_RELEVANT,BRPF1 prostate-expressed (14.8x)
