drug,targets,category,score,reasons
Camptothecin,TOP1,NOT_RELEVANT,0,Not relevant
Vinblastine,Microtubule destabiliser,CYTOTOXIC,3,Cytotoxic
Cisplatin,DNA crosslinker,CYTOTOXIC,3,Cytotoxic
Cytarabine,Antimetabolite,CYTOTOXIC,3,Cytotoxic
Docetaxel,Microtubule stabiliser,CYTOTOXIC,3,Cytotoxic
Methotrexate,Antimetabolite,CYTOTOXIC,3,Cytotoxic
Tretinoin,Retinoic acid,NOT_RELEVANT,0,Not relevant
Gefitinib,EGFR,NOT_RELEVANT,0,Not relevant
Navitoclax,"BCL2, BCL-XL, BCL-W",NOT_RELEVANT,0,Not relevant
Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",NOT_RELEVANT,0,Not relevant
Nilotinib,ABL,NOT_RELEVANT,0,Not relevant
Refametinib,"MEK1, MEK2",NOT_RELEVANT,0,Not relevant
Temsirolimus,MTOR,RELEVANT,2,MTOR mutated 1.6% mCRPC; MTOR in cancer pathway
Olaparib,"PARP1, PARP2",MARGINAL,1,PARP1 in cancer pathway
Veliparib,"PARP1, PARP2",MARGINAL,1,PARP1 in cancer pathway
Bosutinib,"SRC, ABL, TEC",NOT_RELEVANT,0,Not relevant
Lenalidomide,CRBN,NOT_RELEVANT,0,Not relevant
Axitinib,"PDGFR, KIT, VEGFR",NOT_RELEVANT,0,Not relevant
AZD7762,"CHEK1, CHEK2",RELEVANT,2,CHEK2 mutated 1.4% mCRPC; CHEK2 in cancer pathway
GW441756,NTRK1,MARGINAL,1,NTRK1 prostate-enriched (5x)
Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3",MARGINAL,1,JAK2 in cancer pathway
SB216763,"GSK3A, GSK3B",NOT_RELEVANT,0,Not relevant
Tanespimycin,HSP90,NOT_RELEVANT,0,Not relevant
Motesanib,"VEGFR, RET, KIT, PDGFR",NOT_RELEVANT,0,Not relevant
KU-55933,ATM,HIGHLY_RELEVANT,3,ATM mutated 5.9% mCRPC; ATM in cancer pathway
Elesclomol,HSP90,NOT_RELEVANT,0,Not relevant
Afatinib,"EGFR, ERBB2",MARGINAL,1,ERBB2 mutated 1.2% mCRPC
Vismodegib,SMO,NOT_RELEVANT,0,Not relevant
Staurosporine,Broad spectrum kinase inhibitor,CYTOTOXIC,3,Cytotoxic
PLX-4720,BRAF,RELEVANT,2,BRAF mutated 1.2% mCRPC; BRAF in cancer pathway
BX795,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC",NOT_RELEVANT,0,Not relevant
NU7441,DNAPK,NOT_RELEVANT,0,Not relevant
SL0101,"RSK, AURKB, PIM1, PIM3",NOT_RELEVANT,0,Not relevant
Doramapimod,"p38, JNK2",NOT_RELEVANT,0,Not relevant
JNK Inhibitor VIII,JNK,NOT_RELEVANT,0,Not relevant
Wee1 Inhibitor,"WEE1, CHEK1",MARGINAL,1,CHEK1 in cancer pathway
Nutlin-3a (-),MDM2,MARGINAL,1,MDM2 in cancer pathway
Mirin,MRE11,NOT_RELEVANT,0,Not relevant
PD173074,"FGFR1, FGFR2, FGFR3",MARGINAL,1,FGFR1 in cancer pathway
ZM447439,"AURKA, AURKB",MARGINAL,1,AURKA in cancer pathway
Alisertib,AURKA,MARGINAL,1,AURKA in cancer pathway
RO-3306,CDK1,NOT_RELEVANT,0,Not relevant
MK-2206,"AKT1, AKT2",MARGINAL,1,AKT1 in cancer pathway
Palbociclib,"CDK4, CDK6",MARGINAL,1,CDK4 in cancer pathway
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",NOT_RELEVANT,0,Not relevant
Pictilisib,PI3K (class 1),NOT_RELEVANT,0,Not relevant
AZD8055,"MTORC1, MTORC2",NOT_RELEVANT,0,Not relevant
PD0325901,"MEK1, MEK2",NOT_RELEVANT,0,Not relevant
SB590885,BRAF,RELEVANT,2,BRAF mutated 1.2% mCRPC; BRAF in cancer pathway
Selumetinib,"MEK1, MEK2",NOT_RELEVANT,0,Not relevant
CCT007093,PPM1D,NOT_RELEVANT,0,Not relevant
Obatoclax Mesylate,"BCL2, BCL-XL, BCL-W, MCL1",NOT_RELEVANT,0,Not relevant
EHT-1864,"RAC1, RAC2, RAC3",NOT_RELEVANT,0,Not relevant
Avagacestat,"Amyloid beta20, Amyloid beta40",NOT_RELEVANT,0,Not relevant
5-Fluorouracil,Antimetabolite (DNA & RNA),NOT_RELEVANT,0,Not relevant
