scenario,drug_1,drug_2,combo_name,ttp_months,nadir,fR_1yr,best_mono_ttp,combo_benefit_months,synergy_type,syn_s,syn_r
standard_mCRPC,docetaxel,abiraterone,docetaxel + abiraterone,8.3,0.4381,0.148,11.5,-3.2,chemotherapy+hormonal,0.05,0.05
standard_mCRPC,docetaxel,enzalutamide,docetaxel + enzalutamide,8.0,0.444,0.144,9.8,-1.8,chemotherapy+hormonal,0.05,0.05
standard_mCRPC,docetaxel,olaparib,docetaxel + olaparib,7.8,0.4438,0.105,8.6,-0.8,chemotherapy+parp_inhibitor,0.08,0.15
standard_mCRPC,docetaxel,talazoparib,docetaxel + talazoparib,7.8,0.4447,0.114,8.4,-0.6,chemotherapy+parp_inhibitor,0.08,0.15
standard_mCRPC,abiraterone,enzalutamide,abiraterone + enzalutamide,36.0,0.58,0.119,11.5,24.5,hormonal+hormonal,0.03,0.05
standard_mCRPC,abiraterone,olaparib,abiraterone + olaparib,26.2,0.58,0.086,11.5,14.7,hormonal+parp_inhibitor,0.05,0.12
standard_mCRPC,abiraterone,talazoparib,abiraterone + talazoparib,36.0,0.58,0.093,11.5,24.5,hormonal+parp_inhibitor,0.05,0.12
standard_mCRPC,enzalutamide,olaparib,enzalutamide + olaparib,19.6,0.58,0.084,9.8,9.8,hormonal+parp_inhibitor,0.05,0.12
standard_mCRPC,enzalutamide,talazoparib,enzalutamide + talazoparib,20.8,0.58,0.09,9.8,11.0,hormonal+parp_inhibitor,0.05,0.12
standard_mCRPC,olaparib,talazoparib,olaparib + talazoparib,13.2,0.58,0.067,8.6,4.6,parp_inhibitor+parp_inhibitor,0.03,0.05
high_volume,docetaxel,abiraterone,docetaxel + abiraterone,7.8,0.5263,0.191,36.0,-28.2,chemotherapy+hormonal,0.05,0.05
high_volume,docetaxel,enzalutamide,docetaxel + enzalutamide,7.6,0.5332,0.186,15.7,-8.1,chemotherapy+hormonal,0.05,0.05
high_volume,docetaxel,olaparib,docetaxel + olaparib,7.5,0.5314,0.139,12.2,-4.7,chemotherapy+parp_inhibitor,0.08,0.15
high_volume,docetaxel,talazoparib,docetaxel + talazoparib,7.4,0.5327,0.15,11.6,-4.2,chemotherapy+parp_inhibitor,0.08,0.15
high_volume,abiraterone,enzalutamide,abiraterone + enzalutamide,36.0,0.67,0.158,36.0,0.0,hormonal+hormonal,0.03,0.05
high_volume,abiraterone,olaparib,abiraterone + olaparib,36.0,0.67,0.116,36.0,0.0,hormonal+parp_inhibitor,0.05,0.12
high_volume,abiraterone,talazoparib,abiraterone + talazoparib,36.0,0.67,0.125,36.0,0.0,hormonal+parp_inhibitor,0.05,0.12
high_volume,enzalutamide,olaparib,enzalutamide + olaparib,36.0,0.67,0.114,15.7,20.3,hormonal+parp_inhibitor,0.05,0.12
high_volume,enzalutamide,talazoparib,enzalutamide + talazoparib,36.0,0.67,0.122,15.7,20.3,hormonal+parp_inhibitor,0.05,0.12
high_volume,olaparib,talazoparib,olaparib + talazoparib,28.0,0.67,0.091,12.2,15.8,parp_inhibitor+parp_inhibitor,0.03,0.05
BRCA_mutated,docetaxel,abiraterone,docetaxel + abiraterone,8.4,0.4716,0.386,7.4,1.0,chemotherapy+hormonal,0.05,0.05
BRCA_mutated,docetaxel,enzalutamide,docetaxel + enzalutamide,8.0,0.4755,0.376,7.4,0.6,chemotherapy+hormonal,0.05,0.05
BRCA_mutated,docetaxel,olaparib,docetaxel + olaparib,8.2,0.4639,0.293,7.4,0.8,chemotherapy+parp_inhibitor,0.08,0.15
BRCA_mutated,docetaxel,talazoparib,docetaxel + talazoparib,8.2,0.4683,0.312,7.4,0.8,chemotherapy+parp_inhibitor,0.08,0.15
BRCA_mutated,abiraterone,enzalutamide,abiraterone + enzalutamide,14.8,0.55,0.318,6.5,8.3,hormonal+hormonal,0.03,0.05
BRCA_mutated,abiraterone,olaparib,abiraterone + olaparib,11.8,0.55,0.241,6.9,4.9,hormonal+parp_inhibitor,0.05,0.12
BRCA_mutated,abiraterone,talazoparib,abiraterone + talazoparib,13.5,0.55,0.259,6.5,7.0,hormonal+parp_inhibitor,0.05,0.12
BRCA_mutated,enzalutamide,olaparib,enzalutamide + olaparib,10.9,0.55,0.236,6.9,4.0,hormonal+parp_inhibitor,0.05,0.12
BRCA_mutated,enzalutamide,talazoparib,enzalutamide + talazoparib,10.3,0.55,0.252,6.4,3.9,hormonal+parp_inhibitor,0.05,0.12
BRCA_mutated,olaparib,talazoparib,olaparib + talazoparib,10.4,0.55,0.191,6.9,3.5,parp_inhibitor+parp_inhibitor,0.03,0.05
