chembl_id,name,target_gene,rank,score_overall,novelty,target_in_trials
CHEMBL3889770,CHEMBL3889770,ATM,1,96.7,TARGET_KNOWN,True
CHEMBL3923182,CHEMBL3923182,ATM,2,93.9,TARGET_KNOWN,True
CHEMBL3936943,CHEMBL3936943,ATM,3,93.9,TARGET_KNOWN,True
CHEMBL3936734,CHEMBL3936734,ATM,4,93.1,TARGET_KNOWN,True
CHEMBL3947316,CHEMBL3947316,ATM,5,92.9,TARGET_KNOWN,True
CHEMBL3927821,CHEMBL3927821,ATM,6,92.2,TARGET_KNOWN,True
CHEMBL3890490,CHEMBL3890490,ATM,7,92.2,TARGET_KNOWN,True
CHEMBL382667,CHEMBL382667,AURKA,8,92.1,TARGET_KNOWN,True
CHEMBL4112870,CHEMBL4112870,ATM,9,92.0,TARGET_KNOWN,True
CHEMBL3898165,CHEMBL3898165,ATM,10,91.7,TARGET_KNOWN,True
CHEMBL3935033,CHEMBL3935033,ATM,11,91.5,TARGET_KNOWN,True
CHEMBL3924247,CHEMBL3924247,ATM,12,91.4,TARGET_KNOWN,True
CHEMBL3960662,CHEMBL3960662,ATM,13,91.0,TARGET_KNOWN,True
CHEMBL5220685,CHEMBL5220685,EZH2,14,90.9,TARGET_KNOWN,True
CHEMBL4109764,CHEMBL4109764,ATM,15,90.4,TARGET_KNOWN,True
CHEMBL338923,CHEMBL338923,PARP1,16,90.4,TARGET_KNOWN,True
CHEMBL3986918,CHEMBL3986918,ATM,17,90.1,TARGET_KNOWN,True
CHEMBL5218878,CHEMBL5218878,EZH2,18,89.7,TARGET_KNOWN,True
CHEMBL3958682,CHEMBL3958682,ATM,19,89.7,TARGET_KNOWN,True
CHEMBL3898563,CHEMBL3898563,ATM,20,89.5,TARGET_KNOWN,True
CHEMBL3895211,CHEMBL3895211,ATM,21,89.5,TARGET_KNOWN,True
CHEMBL4111966,CHEMBL4111966,ATM,22,89.5,TARGET_KNOWN,True
CHEMBL3984179,CHEMBL3984179,ATM,23,89.5,TARGET_KNOWN,True
CHEMBL201297,CHEMBL201297,AURKA,24,89.4,TARGET_KNOWN,True
CHEMBL3961688,CHEMBL3961688,ATM,25,89.4,TARGET_KNOWN,True
CHEMBL4110596,CHEMBL4110596,ATM,26,89.2,TARGET_KNOWN,True
CHEMBL3950905,CHEMBL3950905,ATM,27,89.1,TARGET_KNOWN,True
CHEMBL3963290,CHEMBL3963290,ATM,28,89.0,TARGET_KNOWN,True
CHEMBL131891,CHEMBL131891,PARP1,29,88.8,TARGET_KNOWN,True
CHEMBL3890119,CHEMBL3890119,ATM,30,88.6,TARGET_KNOWN,True
CHEMBL3912673,CHEMBL3912673,ATM,31,88.6,TARGET_KNOWN,True
CHEMBL195373,CHEMBL195373,CHEK1,32,88.2,TARGET_KNOWN,True
CHEMBL4114060,CHEMBL4114060,ATM,33,88.0,TARGET_KNOWN,True
CHEMBL5218615,CHEMBL5218615,EZH2,34,87.9,TARGET_KNOWN,True
CHEMBL558486,CHEMBL558486,MTOR,35,87.8,TARGET_KNOWN,True
CHEMBL5219579,CHEMBL5219579,EZH2,36,87.5,TARGET_KNOWN,True
CHEMBL5218552,CHEMBL5218552,EZH2,37,87.5,TARGET_KNOWN,True
CHEMBL5219830,CHEMBL5219830,EZH2,38,87.4,TARGET_KNOWN,True
CHEMBL563985,CHEMBL563985,MTOR,39,87.4,TARGET_KNOWN,True
CHEMBL3957991,CHEMBL3957991,ATM,40,87.3,TARGET_KNOWN,True
CHEMBL202567,CHEMBL202567,AURKA,41,87.2,TARGET_KNOWN,True
CHEMBL426811,CHEMBL426811,CHEK1,42,86.3,TARGET_KNOWN,True
CHEMBL3951966,CHEMBL3951966,ATM,43,86.2,TARGET_KNOWN,True
CHEMBL5220647,CHEMBL5220647,EZH2,44,86.1,TARGET_KNOWN,True
CHEMBL155514,CHEMBL155514,FOLH1,45,86.0,TARGET_KNOWN,True
CHEMBL313153,CHEMBL313153,CHEK2,46,85.7,TARGET_KNOWN,True
CHEMBL561907,CHEMBL561907,MTOR,47,85.4,TARGET_KNOWN,True
CHEMBL5219443,CHEMBL5219443,EZH2,48,85.4,TARGET_KNOWN,True
CHEMBL385872,CHEMBL385872,AURKA,49,85.3,TARGET_KNOWN,True
CHEMBL207994,CHEMBL207994,CHEK1,50,85.0,TARGET_KNOWN,True
