,inhibitor,median_auc,mean_auc,std_auc,n_patients,min_auc,max_auc,is_flt3_targeter
1,Elesclomol,36.0771753049266,50.51842634556948,44.688809392552635,67,1.2933869717615,229.387777274387,False
2,Panobinostat,58.22686967923645,58.85766058435746,31.503152742919685,42,8.085970321540621e-09,138.298777133805,False
3,Foretinib (XL880),70.9130019423807,77.96301890336761,45.99796474977859,134,8.085970321540621e-09,202.900199808151,True
4,Venetoclax,71.901856445487,87.04202765818346,57.23230103506904,77,8.085970321540621e-09,202.524430045828,False
5,SNS-032 (BMS-387032),81.49706050902884,86.14103445968676,38.2302075771991,138,8.085970321540621e-09,197.657489961135,False
6,JNJ-28312141,95.2789953118157,102.31307633153328,47.19411723213837,77,8.085970321540621e-09,214.28911545654,True
7,Selinexor,96.3208408643585,102.27841924356848,45.348017318880935,66,21.7555403649648,236.861540158157,False
8,Ralimetinib (LY2228820),97.3821684128613,115.92263396194312,62.307095606186984,13,22.4737824625789,210.950833788085,False
9,Ponatinib (AP24534),99.8285439441948,104.39095384988269,53.649968147253816,93,0.939268247997541,236.807713275388,False
10,INK-128,101.38217988516749,100.6036363068785,44.4463826222246,130,8.0841811773674e-09,246.595225588382,False
11,Flavopiridol,106.279760199068,112.1875167778454,47.20894351474288,121,8.085970321540621e-09,232.28660722428,False
12,PH-797804,106.394665059141,105.65306118070893,43.31236728726309,13,26.8174941403086,188.579150164658,False
13,Gilteritinib,108.331400853272,103.20397342537103,52.346382544183655,56,8.085970321540621e-09,218.328749052615,False
14,Trametinib (GSK1120212),109.66367483363251,108.71774492112435,45.72198878002973,102,8.085970321540621e-09,193.460211736969,False
15,Dasatinib,114.551549465486,121.13277615194822,40.75194316028644,94,42.9402263000902,206.951013101785,False
16,PP242,115.30939239439999,116.93706831658078,44.858948011683204,134,8.085970321540621e-09,223.878869348441,False
17,Dovitinib (CHIR-258),116.0112552088595,109.16925293019227,52.73512205971938,118,8.085970321540621e-09,221.19877894479,True
18,Quizartinib (AC220),117.58956475419,115.5486360804343,45.5618811996179,123,17.5225505181258,225.60649048067,True
19,A-674563,118.000082259628,120.28591558256863,48.47529425456465,135,0.0821158273285137,242.815583325018,False
20,AKT Inhibitor IV,118.42087541676301,116.80678534669963,30.837230894874505,26,62.3009301721806,181.091174602579,False
21,Rapamycin,118.913288123711,119.224461784095,39.95486569624211,68,2.92540807427235,179.863890448014,False
22,Cabozantinib,119.918246516085,117.90811451932859,54.19328283293172,119,0.318540828586837,231.920412708464,False
23,PI-103,121.1399365737185,118.44647501015586,51.405667978531376,132,8.085970321540621e-09,223.924649816635,False
24,AT7519,124.656587866552,123.63567106233603,32.15951034190399,123,9.56733664156999,210.309622618605,False
25,Lenalidomide,124.7553481379565,137.4553675260797,52.52823682318442,16,60.0535139138131,223.245312281249,False
26,17-AAG (Tanespimycin),125.026800621763,121.54747816631108,41.62389585496274,121,1.93372381064186,225.066583566712,False
27,Tivozanib (AV-951),129.3518039001035,128.73227884226765,50.67495529072668,120,8.085970321540621e-09,228.715488890945,False
28,BEZ235,129.5579757959735,124.00502080102778,48.32857756884554,114,8.085970321540621e-09,212.414957070015,False
29,Perhexiline maleate,132.406313535421,119.19592468848592,62.177988231557435,10,38.1153110745023,241.916737792041,False
30,Lestaurtinib (CEP-701),132.441569281865,133.08080769721892,28.75994530733244,19,73.1774964015756,200.368247703925,False
31,Birinapant,133.88679371716648,127.49922815399694,52.44667596535635,20,18.2251333209935,233.652933286431,False
32,OTX-015,134.357164739065,135.84943275152503,51.4763702202944,79,30.4295220218934,251.68311500819,False
33,GDC-0941,134.930166546051,132.94108529146405,41.31891262544028,125,19.8469052392559,211.457721764427,False
34,Doramapimod (BIRB 796),135.061324581995,130.4163458622166,49.680581093536844,89,8.085970321540621e-09,247.746574844571,False
