,inhibitor,median_auc_itd_pos,median_auc_itd_neg,delta_auc,n_itd_pos,n_itd_neg,p_value,is_flt3_targeter
1,Foretinib (XL880),70.9130019423807,128.532843502187,-57.619841559806304,134,377,9.495753187662427e-21,True
2,Venetoclax,71.901856445487,124.431306594652,-52.529450149165,77,194,0.00013323081088141185,False
3,Sorafenib,145.387673089961,193.502793299635,-48.11512020967399,122,311,3.8393198509638336e-24,True
4,Cabozantinib,119.918246516085,167.244543297034,-47.326296780948994,119,289,4.582642174539168e-15,False
5,Crenolanib,139.026642699872,181.408678706802,-42.38203600692998,55,112,2.861815954637222e-09,True
6,Ponatinib (AP24534),99.8285439441948,141.29072625945,-41.46218231525519,93,252,3.53317656667872e-10,False
7,Dovitinib (CHIR-258),116.0112552088595,157.241506255962,-41.23025104710251,118,324,6.465165759654238e-15,True
8,Vargetef,135.92297801987,175.505905980304,-39.582927960434006,117,279,7.983385515590103e-12,True
9,Ralimetinib (LY2228820),97.3821684128613,136.91338704472,-39.53121863185869,13,29,0.34159654811641793,False
10,Midostaurin,144.613856049201,183.784347278005,-39.170491228803996,79,183,1.4101075234846636e-07,True
11,KW-2449,150.926622725035,188.124982380122,-37.19835965508699,111,155,2.8563677791460235e-09,True
12,Perhexiline maleate,132.406313535421,167.81075550177002,-35.404441966349026,10,20,0.02513032407450719,False
13,GSK-1904529A,178.47933740608448,213.321465900255,-34.84212849417051,26,61,0.00187977792880421,False
14,PH-797804,106.394665059141,140.579353421822,-34.18468836268099,13,30,0.017762565856141367,False
15,MGCD-265,156.063555727703,190.24793592063,-34.184380192926994,82,181,1.647263922086842e-06,False
16,Linifanib (ABT-869),144.291815228107,177.211566679344,-32.919751451237005,109,233,4.320919618230539e-08,True
17,Quizartinib (AC220),117.58956475419,150.38097237518502,-32.79140762099503,123,336,1.9455801446441145e-12,True
18,Lestaurtinib (CEP-701),132.441569281865,164.255313198661,-31.813743916796028,19,55,0.0023014023327667336,False
