drug,n_samples,n_sensitive,n_resistant,auroc_mean,auroc_std,auroc_min,auroc_max
Nutlin 3a,323,14,309,0.7082143486691346,0.12508291018463474,0.546448087431694,0.9301075268817205
PHA-665752,452,16,436,0.7047196098920236,0.22208827604605472,0.3636363636363636,0.9846743295019158
Vandetanib (ZD6474),481,11,470,0.69822695035461,0.19620026128433635,0.3723404255319149,0.9539007092198581
KW-2449,449,25,424,0.6608067226890757,0.1797642030627211,0.42823529411764705,0.9428571428571428
Entrectinib,215,11,204,0.6590650406504064,0.23835173034693083,0.23170731707317072,0.9416666666666667
CI-1040 (PD184352),461,30,431,0.6526463512429832,0.05399413042567439,0.5949612403100776,0.7364341085271318
GSK-1838705A,453,13,440,0.6450757575757576,0.17013269277149118,0.37310606060606066,0.8295454545454546
Vargetef,452,41,411,0.6371171678584255,0.06275156322576668,0.5180722891566265,0.6920731707317074
Quizartinib (AC220),461,81,380,0.6309500773993808,0.03430565755973319,0.5863486842105263,0.6687306501547987
Idelalisib,444,22,422,0.6263375350140056,0.08421827399861277,0.5333333333333333,0.7852941176470588
S31-201,403,13,390,0.6239316239316239,0.25496386924809417,0.20512820512820512,0.967948717948718
NVP-ADW742,444,13,431,0.6203555199144614,0.11453632619202281,0.4844961240310077,0.7732558139534883
Cytarabine,329,20,309,0.6182707562136436,0.05167926454486481,0.532258064516129,0.6639344262295082
VX-745,457,29,428,0.6155243958048335,0.11060933260821727,0.43953488372093025,0.7664728682170543
Pelitinib (EKB-569),452,65,387,0.6152975229898308,0.06809120292055842,0.4925074925074925,0.6873767258382644
Dovitinib (CHIR-258),455,77,378,0.6123508771929824,0.07624757285895806,0.4982456140350877,0.7258333333333333
Foretinib (XL880),453,179,274,0.605280637058415,0.04045552052515952,0.5368686868686868,0.6488311688311689
Sorafenib,494,32,462,0.6036604777488368,0.14533790106702685,0.40143369175627236,0.7956989247311828
RAF265 (CHIR-265),450,57,393,0.6006845475199905,0.06707989824390603,0.5074798619102416,0.7019562715765247
GW-2580,440,11,429,0.5989694482444141,0.23082761508115587,0.2325581395348837,0.8901960784313726
JNJ-28312141,316,88,228,0.5935486722869502,0.04656021201353453,0.5396419437340153,0.670076726342711
ABT-737,236,17,219,0.5934196617336152,0.10817440511791006,0.46969696969696967,0.7954545454545455
Venetoclax,367,114,253,0.5872665271642253,0.08323174793804772,0.5069565217391305,0.7340153452685422
Regorafenib (BAY 73-4506),450,19,431,0.5865321215361311,0.09964166708217082,0.42441860465116277,0.7180232558139534
Sunitinib,488,18,470,0.5831560283687944,0.15315331478648783,0.2943262411347518,0.7207446808510639
Linifanib (ABT-869),453,23,430,0.5819767441860465,0.11853395065585828,0.3924418604651163,0.6953488372093023
SB-431542,459,10,449,0.5735205992509363,0.2358780479266398,0.19444444444444448,0.9055555555555554
Afatinib (BIBW-2992),459,28,431,0.5726383319967923,0.12252847262740521,0.432183908045977,0.751937984496124
A-674563,461,98,363,0.5661017984458864,0.044084054250519915,0.4924297043979813,0.6312500000000001
Cabozantinib,450,60,390,0.565491452991453,0.044261725819966756,0.5154914529914529,0.6282051282051281
Elesclomol,431,374,57,0.559146328146328,0.11283621562728022,0.41222222222222227,0.7556306306306305
Tivozanib (AV-951),448,72,376,0.554298746867168,0.095429558590991,0.42488888888888887,0.6791111111111111
Neratinib (HKI-272),453,47,406,0.5530931111780254,0.09368282380891213,0.3861788617886178,0.654320987654321
Azacytidine,367,11,356,0.548943661971831,0.17296646942672292,0.2887323943661972,0.7916666666666667
NF-kB Activation Inhibitor,441,38,403,0.5460686728395061,0.08712210008016814,0.4338624338624339,0.6712962962962963
Trametinib (GSK1120212),484,182,302,0.5430267972890924,0.036047792362012436,0.5074074074074073,0.6072072072072072
Ponatinib (AP24534),301,74,227,0.5382548884288014,0.04666096359294284,0.4637037037037037,0.5947204968944099
PRT062607,447,13,434,0.533796667557694,0.1410643052380158,0.35823754789272033,0.6781609195402298
Entospletinib (GS-9973),313,20,293,0.5288281706604325,0.1248776617620629,0.364406779661017,0.7033898305084746
Selumetinib (AZD6244),456,56,400,0.5253598484848484,0.06563849668810787,0.4227272727272727,0.6022727272727272
Bosutinib (SKI-606),456,17,439,0.5219239811912225,0.14628075811498129,0.34469696969696967,0.7298850574712643
BEZ235,449,97,352,0.5214463623848353,0.06314281898720006,0.4669172932330827,0.6000000000000001
OTX-015,292,88,204,0.5210158616292044,0.05690066792128369,0.4390243902439025,0.6084010840108401
PD173955,453,41,412,0.5165895288470957,0.0519090487086052,0.44728915662650603,0.5625
Gilteritinib,278,76,202,0.5163643292682927,0.06589351810017041,0.4546875,0.6211382113821138
INK-128,458,171,287,0.5162424316369016,0.09509247112014964,0.3751289989680083,0.6485801217038539
AKT Inhibitor IV,83,15,68,0.5152014652014651,0.13679933338710576,0.27380952380952384,0.6923076923076923
Flavopiridol,451,188,263,0.5142984038962192,0.07208915203543567,0.45894951555328917,0.6534260178748759
JQ1,348,71,277,0.5095420531849103,0.07052699824197506,0.4323979591836735,0.6207792207792208
17-AAG (Tanespimycin),449,67,382,0.5086545033913455,0.08445131395387985,0.3496503496503497,0.6032388663967612
JAK Inhibitor I,448,35,413,0.506788128122245,0.07627708604592257,0.40418118466898956,0.627177700348432
Midostaurin,462,27,435,0.5050574712643678,0.12103699941228264,0.3524904214559387,0.710727969348659
SNS-032 (BMS-387032),458,281,177,0.5044025241675618,0.06775884422893977,0.4005102040816326,0.6026785714285715
GDC-0941,424,72,352,0.503912235316662,0.03143177103927935,0.4517102615694165,0.5469387755102041
Masitinib (AB-1010),448,13,435,0.5030651340996168,0.12212309363615877,0.36015325670498083,0.7241379310344827
Ralimetinib (LY2228820),42,14,28,0.5,0.0,0.5,0.5
PH-797804,45,10,35,0.5,0.0,0.5,0.5
AZD1152-HQPA (AZD2811),455,17,438,0.4970219435736677,0.1343707948751503,0.2765151515151515,0.6893939393939393
Crizotinib (PF-2341066),470,14,456,0.49359770664118485,0.135256347845444,0.3516483516483516,0.7472527472527473
Selinexor,241,134,107,0.49310812644145974,0.04989963313552351,0.444055944055944,0.5858585858585857
PI-103,452,115,337,0.48964766958048633,0.049982939070531404,0.42710997442455245,0.5451005840363401
H-89,413,19,394,0.48812074001947414,0.1441346624529506,0.3076923076923077,0.6962025316455697
Doramapimod (BIRB 796),454,64,390,0.48620973044049964,0.053322281684939715,0.3985042735042735,0.5621301775147929
Axitinib (AG-013736),476,14,462,0.4860409848839021,0.11253327640733268,0.32974910394265233,0.605072463768116
Crenolanib,446,19,427,0.48266073871409026,0.09305455335734734,0.3808139534883721,0.638235294117647
Dasatinib,493,74,419,0.4797018003988744,0.049843543809688924,0.40476190476190477,0.5467687074829932
Ibrutinib (PCI-32765),438,27,411,0.4737755901655403,0.07354784201113643,0.3686746987951808,0.5670731707317074
Lenvatinib,343,20,323,0.4718629807692308,0.11303200812332768,0.3,0.60546875
Indisulam,117,17,100,0.46708333333333324,0.09208616134420583,0.3,0.5499999999999999
Motesanib (AMG-706),450,10,440,0.4670454545454546,0.08965037692416372,0.36363636363636365,0.5909090909090909
KI20227,405,39,366,0.46455148886655734,0.03967645210011332,0.4160958904109589,0.523972602739726
CYT387,455,28,427,0.46160510715914266,0.1622869453315837,0.22325581395348837,0.6705882352941177
MK-2206,448,28,420,0.4525396825396825,0.09666933819646176,0.37142857142857144,0.6309523809523809
Panobinostat,286,189,97,0.44662049861495845,0.04069153077472492,0.4002770083102493,0.5152354570637119
Vatalanib (PTK787),452,11,441,0.44014725910793323,0.21004546122034723,0.11363636363636359,0.6704545454545454
PP242,458,125,333,0.43845861601085484,0.051133102146435024,0.3722388059701493,0.5121212121212122
KU-55933,453,10,443,0.4331843718079673,0.2522992831733685,0.09090909090909088,0.747191011235955
Rapamycin,466,67,399,0.4271614619557658,0.09357554587446894,0.2669642857142857,0.5375000000000001
Birinapant,86,21,65,0.42538461538461536,0.16920629193611333,0.22307692307692306,0.6730769230769229
NVP-TAE684,451,23,428,0.4169357045143639,0.07537955618524918,0.3069767441860465,0.52
AT7519,446,77,369,0.4029415031469826,0.043087056355616916,0.3396396396396396,0.463963963963964
Volasertib (BI-6727),349,24,325,0.391076923076923,0.0711720974513278,0.3153846153846154,0.48
Bortezomib (Velcade),463,68,395,0.38994296842398113,0.07756724652897681,0.2726387536514119,0.5036166365280289
AZD1480,456,12,444,0.38288219271365337,0.09341184930911904,0.2752808988764045,0.550561797752809
MGCD-265,448,24,424,0.33898039215686276,0.06979988972713926,0.24000000000000002,0.4166666666666667
