drug,n_samples,n_sensitive,n_resistant,auroc_mean,auroc_std,auroc_min,auroc_max,n_valid_folds
Venetoclax,367,114,253,0.917573587537782,0.03671279402673416,0.8695652173913044,0.9608695652173913,5
Sorafenib,494,32,462,0.8690042075736326,0.0613284646388273,0.7849462365591398,0.9384057971014493,5
KW-2449,449,25,424,0.8108011204481793,0.04394423470485878,0.7482352941176471,0.8752941176470589,5
Dovitinib (CHIR-258),455,77,378,0.8062631578947368,0.04831190342256741,0.7216666666666667,0.8692982456140351,5
Trametinib (GSK1120212),484,182,302,0.7850364708971267,0.01211394576348973,0.775462962962963,0.8085585585585586,5
Dasatinib,493,74,419,0.7820748299319729,0.04835281761419002,0.7333333333333334,0.8698979591836735,5
Ponatinib (AP24534),301,74,227,0.7767862893949851,0.07872841402449776,0.6296296296296297,0.8565217391304347,5
17-AAG (Tanespimycin),449,67,382,0.7693845628056154,0.08402577928219222,0.625,0.8532388663967612,5
Cabozantinib,450,60,390,0.7594017094017095,0.10924091749602313,0.6260683760683761,0.8910256410256411,5
Quizartinib (AC220),461,81,380,0.7551083591331269,0.05784838083678904,0.6842105263157895,0.8413312693498453,5
Tivozanib (AV-951),448,72,376,0.7511189640768589,0.06024922308670618,0.6561904761904762,0.8097777777777777,5
Rapamycin,466,67,399,0.7466533940742802,0.0495952324473534,0.6740384615384616,0.8240384615384615,5
Foretinib (XL880),453,179,274,0.737358559136337,0.03296074710093606,0.693939393939394,0.7737373737373737,5
Panobinostat,286,189,97,0.7322198098375383,0.04544241132649958,0.6745152354570636,0.8144044321329641,5
Selumetinib (AZD6244),456,56,400,0.7284090909090908,0.05546106519051105,0.625,0.7920454545454546,5
CI-1040 (PD184352),461,30,431,0.7250556892096587,0.05313281623472351,0.6666666666666666,0.8081395348837209,5
Elesclomol,431,374,57,0.7249803439803439,0.04743789324778877,0.6715151515151515,0.7963636363636363,5
A-674563,461,98,363,0.7193688416246095,0.05283080644254659,0.6481614996395098,0.7694444444444445,5
Midostaurin,462,27,435,0.7167816091954023,0.09978335629065513,0.6275862068965518,0.8896551724137931,5
Vargetef,452,41,411,0.7140341855225781,0.061591872545416614,0.6387195121951219,0.7876506024096386,5
OTX-015,292,88,204,0.7065060577076359,0.01929822371957708,0.6736111111111112,0.7330623306233062,5
KI20227,405,39,366,0.702557253927117,0.0876969928321847,0.5582191780821918,0.8167808219178082,5
Gilteritinib,278,76,202,0.7014222560975609,0.029444619762051382,0.6552845528455284,0.745,5
Birinapant,86,21,65,0.696923076923077,0.09590429154159205,0.596153846153846,0.826923076923077,5
Doramapimod (BIRB 796),454,64,390,0.6967126890203813,0.05640190341660203,0.606508875739645,0.76232741617357,5
GDC-0941,424,72,352,0.6933777905528409,0.06717689630017437,0.6277665995975855,0.7795918367346938,5
JQ1,348,71,277,0.6923849721706865,0.08078766225878677,0.6237244897959184,0.8428571428571429,5
JNJ-28312141,316,88,228,0.6915282119288939,0.05022553565395497,0.6163682864450128,0.7427536231884059,5
NF-kB Activation Inhibitor,441,38,403,0.6894620811287477,0.08277400493788425,0.6015625,0.8253968253968254,5
RAF265 (CHIR-265),450,57,393,0.6846643159934299,0.09403448166407173,0.5097813578826237,0.7681623931623932,5
INK-128,458,171,287,0.6823355549116199,0.017420886982261696,0.6566937119675457,0.7058823529411765,5
Afatinib (BIBW-2992),459,28,431,0.6651884522854851,0.07066088732973154,0.5534883720930233,0.7461240310077518,5
Pelitinib (EKB-569),452,65,387,0.6639591178052717,0.03023830728167927,0.6163836163836164,0.7100591715976332,5
SNS-032 (BMS-387032),458,281,177,0.6588790428452083,0.034619670433520475,0.5927579365079365,0.6879960317460317,5
Entospletinib (GS-9973),313,20,293,0.6407364114552891,0.1763867469688203,0.44396551724137934,0.8771186440677965,5
Ibrutinib (PCI-32765),438,27,411,0.6395993731021649,0.042259320642999684,0.5975903614457831,0.717479674796748,5
PP242,458,125,333,0.6273161465400272,0.03837559788134895,0.5605970149253732,0.6806060606060607,5
PI-103,452,115,337,0.6164980722983547,0.09576209340932236,0.472420506164828,0.7527579493835173,5
PD173955,453,41,412,0.6141676461945342,0.06242431770820924,0.5487804878048781,0.7108433734939759,5
Linifanib (ABT-869),453,23,430,0.6012790697674418,0.07205400294351372,0.47965116279069764,0.7046511627906976,5
Idelalisib,444,22,422,0.6007282913165266,0.09927707524491906,0.5333333333333334,0.7970588235294118,5
BEZ235,449,97,352,0.5929809382611458,0.0674857043445896,0.5114899925871016,0.6907142857142857,5
Cytarabine,329,20,309,0.5879825489159176,0.13902462770878204,0.39112903225806456,0.8024193548387097,5
NVP-TAE684,451,23,428,0.5871203830369357,0.1383781770935212,0.40406976744186046,0.7364705882352941,5
Flavopiridol,451,188,263,0.5847498900627004,0.032015271492418715,0.5292949354518371,0.6257011728709843,5
Volasertib (BI-6727),349,24,325,0.582923076923077,0.08287211221061354,0.4246153846153846,0.6646153846153846,5
Selinexor,241,134,107,0.5790900457567124,0.046917386997266955,0.5079365079365079,0.6468531468531468,5
CYT387,455,28,427,0.572877336981304,0.09538864037060113,0.46976744186046515,0.7450980392156863,5
VX-745,457,29,428,0.5677656178750571,0.12078698893873266,0.3565891472868217,0.7228682170542636,5
JAK Inhibitor I,448,35,413,0.5631375676923722,0.0422457757273276,0.5121951219512195,0.6184668989547037,5
AT7519,446,77,369,0.529522707639146,0.04416952354237696,0.45495495495495497,0.5738738738738738,5
MK-2206,448,28,420,0.5198412698412698,0.20165993567098273,0.2261904761904762,0.7976190476190477,5
Neratinib (HKI-272),453,47,406,0.5129338552644785,0.07391228579849979,0.37407407407407406,0.578875171467764,5
Lenvatinib,343,20,323,0.5034615384615384,0.18664236796802078,0.2615384615384615,0.78125,5
MGCD-265,448,24,424,0.4683641456582633,0.050599313241524634,0.40476190476190477,0.5323529411764706,5
Bortezomib (Velcade),463,68,395,0.4532758380859647,0.10379134450566195,0.325497287522604,0.5783836416747808,5
