drug,n_samples,n_sensitive,n_resistant,auroc_mean,auroc_std,auroc_min,auroc_max,n_valid_folds
Venetoclax,367,114,253,0.9192460668061692,0.03489924085949492,0.8738277919863597,0.9652173913043478,5
Sorafenib,494,32,462,0.8592232685500567,0.07637533262819114,0.7365591397849462,0.9347826086956522,5
GSK-1838705A,453,13,440,0.8416666666666668,0.08718377200494426,0.7272727272727273,0.9621212121212122,5
AZD1152-HQPA (AZD2811),455,17,438,0.8141849529780563,0.07964191501131052,0.678030303030303,0.8825757575757576,5
Dovitinib (CHIR-258),455,77,378,0.8011491228070176,0.04419082337342978,0.7275,0.8631578947368421,5
Trametinib (GSK1120212),484,182,302,0.7890447414627741,0.01943936584919054,0.7587962962962963,0.8193693693693694,5
Dasatinib,493,74,419,0.7873248094418489,0.046677883193028964,0.7526104417670683,0.8792517006802721,5
KW-2449,449,25,424,0.7791932773109245,0.03507034302397431,0.7317647058823529,0.8352941176470589,5
Ponatinib (AP24534),301,74,227,0.7679217851391764,0.08524867222289596,0.6088888888888889,0.8478260869565217,5
17-AAG (Tanespimycin),449,67,382,0.7602410747147589,0.06683312686426282,0.6409774436090225,0.8269230769230769,5
Quizartinib (AC220),461,81,380,0.7563660990712074,0.05754372479547719,0.6990131578947368,0.8591331269349846,5
Tivozanib (AV-951),448,72,376,0.7540402673350042,0.050346136304453365,0.6914285714285714,0.8115555555555556,5
ABT-737,236,17,219,0.7512861169837913,0.10522776048396518,0.6162790697674418,0.8977272727272727,5
Panobinostat,286,189,97,0.7508729505128399,0.05492126054295188,0.6952908587257619,0.8504155124653741,5
Foretinib (XL880),453,179,274,0.7500953449842338,0.04680759337995232,0.6823232323232322,0.8166666666666667,5
Cabozantinib,450,60,390,0.7487179487179487,0.09812416231955988,0.6378205128205128,0.8835470085470085,5
Rapamycin,466,67,399,0.7373017804979831,0.043714004100446,0.676923076923077,0.8086538461538462,5
A-674563,461,98,363,0.7347614756068253,0.060193234578916045,0.6481614996395096,0.8013698630136986,5
Motesanib (AMG-706),450,10,440,0.7284090909090909,0.09691789572827449,0.5568181818181819,0.8238636363636364,5
Midostaurin,462,27,435,0.7283524904214559,0.11462894644953987,0.5842911877394635,0.9195402298850575,5
Vandetanib (ZD6474),481,11,470,0.7265957446808511,0.1588494166377029,0.5159574468085106,0.9468085106382979,5
CI-1040 (PD184352),461,30,431,0.7231533458077163,0.04764552973270811,0.6705426356589147,0.8062015503875969,5
Selumetinib (AZD6244),456,56,400,0.7215719696969696,0.0385973696570692,0.6510416666666666,0.7613636363636365,5
OTX-015,292,88,204,0.7177315479037143,0.023669558738961177,0.6815718157181572,0.7474892395982783,5
Gilteritinib,278,76,202,0.7151956300813008,0.028935938775521745,0.6682926829268292,0.7566666666666667,5
GDC-0941,424,72,352,0.7095203602567788,0.08115087559044382,0.6056338028169015,0.8102040816326531,5
Elesclomol,431,374,57,0.708973245973246,0.043864331385714404,0.6452702702702703,0.7696969696969698,5
PHA-665752,452,16,436,0.7089341692789969,0.10220066689024304,0.5363984674329502,0.8275862068965517,5
JQ1,348,71,277,0.7051948051948052,0.07691856606995746,0.639030612244898,0.8506493506493507,5
Vargetef,452,41,411,0.703048780487805,0.05023924025255632,0.6295731707317074,0.7545731707317074,5
KI20227,405,39,366,0.699243666366954,0.0910123185348776,0.5684931506849316,0.8133561643835617,5
Doramapimod (BIRB 796),454,64,390,0.6911078238001315,0.0447535608187903,0.611439842209073,0.7347140039447732,5
NF-kB Activation Inhibitor,441,38,403,0.6882578262786596,0.08185369476765045,0.6078125,0.8271604938271605,5
JNJ-28312141,316,88,228,0.687923021060276,0.05120590575126107,0.6074168797953964,0.7654320987654322,5
Regorafenib (BAY 73-4506),450,19,431,0.6849171344560279,0.11404246231611513,0.5523255813953488,0.8808139534883721,5
INK-128,458,171,287,0.6760349148733904,0.03430255649909064,0.6222109533468559,0.7254901960784315,5
Nutlin 3a,323,14,309,0.6743345672483694,0.09101580199481095,0.5268817204301075,0.8064516129032258,5
RAF265 (CHIR-265),450,57,393,0.6728293155508345,0.08459089046409407,0.524741081703107,0.7548906789413119,5
SNS-032 (BMS-387032),458,281,177,0.6725778732545649,0.048272371977770644,0.5833333333333333,0.7202380952380952,5
Entospletinib (GS-9973),313,20,293,0.6604763296317943,0.18892554115962007,0.4491525423728813,0.9194915254237288,5
Sunitinib,488,18,470,0.6602836879432624,0.15316665644534896,0.43971631205673756,0.8191489361702128,5
Afatinib (BIBW-2992),459,28,431,0.6598369419941192,0.07979450351360982,0.5395348837209302,0.7732558139534884,5
Pelitinib (EKB-569),452,65,387,0.6529598606521685,0.058036934167676656,0.6013986013986015,0.7633136094674556,5
Birinapant,86,21,65,0.65,0.11817147304413247,0.5192307692307692,0.8076923076923077,5
PP242,458,125,333,0.6410257801899594,0.041383212929526764,0.5791044776119403,0.6890909090909091,5
Ibrutinib (PCI-32765),438,27,411,0.6381477128024293,0.052153171241112545,0.5658536585365853,0.6971544715447154,5
Vatalanib (PTK787),452,11,441,0.6364828055839291,0.18489718412504785,0.34090909090909094,0.8579545454545454,5
Linifanib (ABT-869),453,23,430,0.6356976744186046,0.1074720585770887,0.48255813953488375,0.7604651162790698,5
PI-103,452,115,337,0.6247013016757643,0.07017031466600439,0.4990266060999351,0.7060350421804024,5
PD173955,453,41,412,0.6158626375420381,0.10568476265170579,0.4241192411924119,0.7259036144578312,5
AKT Inhibitor IV,83,15,68,0.6146520146520146,0.12005826294719822,0.4047619047619047,0.7692307692307692,5
Idelalisib,444,22,422,0.6090546218487395,0.11685236548542602,0.4285714285714286,0.7970588235294118,5
Crenolanib,446,19,427,0.6024783401732786,0.1070213450738335,0.5145348837209303,0.7647058823529411,5
SB-431542,459,10,449,0.6012484394506867,0.16426101716998456,0.40555555555555556,0.8388888888888889,5
PRT062607,447,13,434,0.5949835159939411,0.09074040766634749,0.4844961240310077,0.7164750957854407,5
BEZ235,449,97,352,0.5808191252779837,0.06983659157504024,0.5063009636767977,0.71,5
VX-745,457,29,428,0.5760784313725489,0.13619491332561806,0.36627906976744184,0.7306201550387597,5
Flavopiridol,451,188,263,0.5750860917444831,0.030481919428143735,0.5213505461767627,0.6114227434982152,5
NVP-TAE684,451,23,428,0.5726607387140902,0.1145968183347833,0.42441860465116277,0.7,5
Axitinib (AG-013736),476,14,462,0.5712248714352501,0.10910286818575941,0.44623655913978494,0.7572463768115942,5
Azacytidine,367,11,356,0.5693270735524256,0.16751976630557888,0.37089201877934275,0.795774647887324,5
S31-201,403,13,390,0.567948717948718,0.11917178334448006,0.3333333333333333,0.6602564102564104,5
Lenvatinib,343,20,323,0.565829326923077,0.13675651475468228,0.3769230769230769,0.75,5
Selinexor,241,134,107,0.5650546983880317,0.0671245813104831,0.48148148148148145,0.6503496503496503,5
Entrectinib,215,11,204,0.5629674796747967,0.1802597071815587,0.2416666666666667,0.7804878048780487,5
Cytarabine,329,20,309,0.5621364357482813,0.09761033710542837,0.467741935483871,0.75,5
Volasertib (BI-6727),349,24,325,0.561076923076923,0.061951689519491954,0.48307692307692307,0.6246153846153847,5
H-89,413,19,394,0.5594530996429731,0.09191231733231393,0.430379746835443,0.6708860759493671,5
MK-2206,448,28,420,0.5549206349206349,0.21619674023044055,0.1984126984126984,0.8023809523809524,5
Indisulam,117,17,100,0.5533333333333333,0.07464731892186229,0.425,0.6333333333333333,5
JAK Inhibitor I,448,35,413,0.5509718315771798,0.046538560042674905,0.48020654044750427,0.6006884681583476,5
GW-2580,440,11,429,0.5509393524851801,0.20638232250814434,0.25,0.7372549019607842,5
CYT387,455,28,427,0.5297127222982216,0.14154141633869433,0.38627450980392153,0.7568627450980392,5
AT7519,446,77,369,0.5294480439343453,0.07341477727780707,0.4358108108108108,0.6342342342342342,5
Masitinib (AB-1010),448,13,435,0.5226053639846744,0.12947357371968057,0.38505747126436785,0.7662835249042145,5
MGCD-265,448,24,424,0.5101624649859945,0.07579381711233135,0.3764705882352941,0.5911764705882353,5
Crizotinib (PF-2341066),470,14,456,0.5043080108297501,0.17560447833887877,0.20652173913043476,0.7326007326007326,5
PH-797804,45,10,35,0.5,0.0,0.5,0.5,5
Ralimetinib (LY2228820),42,14,28,0.5,0.0,0.5,0.5,5
Neratinib (HKI-272),453,47,406,0.4979022382816421,0.109030712414833,0.317283950617284,0.6518518518518519,5
Bortezomib (Velcade),463,68,395,0.46756155237167896,0.08946592750153103,0.35171790235081374,0.5959104186952288,5
Bosutinib (SKI-606),456,17,439,0.4565373563218391,0.1461639570466099,0.3371212121212121,0.7424242424242424,5
NVP-ADW742,444,13,431,0.4483961507618284,0.1474805315832029,0.1896551724137931,0.6395348837209303,5
AZD1480,456,12,444,0.4418369084099421,0.2385346114953578,0.21348314606741575,0.8932584269662921,5
KU-55933,453,10,443,0.39691011235955054,0.07972044369240382,0.27840909090909094,0.5056179775280899,5
