,R_prolif,R_emt,R_ddr
B,-4.282571819957668,-2.371859234500433,-7.357678995914798
CTL,-4.269045600682001,-2.6300278162263693,-7.345388939188931
GMP,-4.087267805626221,-2.2343641390496947,-7.272950753703944
GMP-like,-3.9963090951667573,-2.332586288868738,-7.237465868643371
HSC,-4.255410273947379,-2.2707161884781972,-7.356075871688133
HSC-like,-4.238316267990532,-2.3133392408426676,-7.33039504519012
Mono,-4.221376368641881,-2.140361337715683,-7.401201075890145
Mono-like,-4.27972169192711,-2.1385944106914447,-7.392400783497669
NK,-4.266917135003124,-2.3634000841633376,-7.320915823820546
Plasma,-4.265624356701801,-2.3570218882678264,-7.314575546630132
ProB,-3.8553328008950993,-2.3390616845320373,-7.140100487124269
ProMono,-3.9969218332807737,-2.4152203779786197,-7.251944154005651
ProMono-like,-4.0716141042263345,-2.243459633664114,-7.283178968261914
Prog,-4.140923414036232,-2.2976392710412417,-7.288422557981409
Prog-like,-4.072573978444295,-2.3544103078892027,-7.261184646088555
T,-4.277097130223927,-2.388289322272477,-7.343235847880569
cDC,-4.097767179958645,-2.1834429501959254,-7.2948058784916165
cDC-like,-4.190420265900513,-2.1965306010572254,-7.3320854379053815
earlyEry,-4.001442931149242,-2.378880523778895,-7.1764972110633485
lateEry,-3.8056516715250495,-2.444754245584513,-7.165403353495623
pDC,-4.0873613557659585,-2.2967042078323168,-7.288038150371379
