,R_prolif,R_emt,R_ddr
B,0.50481236,0.25452608,0.6510261
CTL,0.62057215,0.28807235,0.6684263
GMP,0.8024274,0.35134012,0.7724837
GMP-like,0.86213285,0.42511213,0.78313226
HSC,0.564379,0.38752836,0.70024735
HSC-like,0.57567483,0.3850218,0.67483056
Mono,0.7012831,0.20348084,0.65212876
Mono-like,0.5056621,0.37941217,0.63021994
NK,0.6065911,0.19719726,0.6847012
Plasma,0.61470616,0.0,0.69550836
ProB,0.8888656,0.43902594,0.81703013
ProMono,0.8551678,0.17619121,0.7802889
ProMono-like,0.8273474,0.34993446,0.76032096
Prog,0.769061,0.3933211,0.7718191
Prog-like,0.82253224,0.3932603,0.76191825
T,0.5635122,0.24969411,0.65089023
cDC,0.8035859,0.18442184,0.75282544
cDC-like,0.7259425,0.30784065,0.70884925
earlyEry,0.829265,0.0557428,0.7954687
lateEry,0.9131426,0.0,0.8217389
pDC,0.8238578,0.3727538,0.7577646
