,R_prolif,R_emt,R_ddr
B,0.50481236,0.25452608,0.09621847
CTL,0.62057215,0.28807235,0.07329553
GMP,0.8024274,0.35134012,0.11400658
GMP-like,0.86213285,0.42511213,0.103857696
HSC,0.564379,0.38752836,0.12469059
HSC-like,0.57567483,0.3850218,0.09533906
Mono,0.7012831,0.20348084,0.028883636
Mono-like,0.5056621,0.37941217,0.07511628
NK,0.6065911,0.19719726,0.09444052
Plasma,0.61470616,0.0,0.102420926
ProB,0.8888656,0.43902594,0.12844366
ProMono,0.8551678,0.17619121,0.10344046
ProMono-like,0.8273474,0.34993446,0.09316331
Prog,0.769061,0.3933211,0.124964595
Prog-like,0.82253224,0.3932603,0.09643787
T,0.5635122,0.24969411,0.07563543
cDC,0.8035859,0.18442184,0.09394473
cDC-like,0.7259425,0.30784065,0.07701439
earlyEry,0.829265,0.0557428,0.12764311
lateEry,0.9131426,0.0,0.12469584
pDC,0.8238578,0.3727538,0.091822505
