DRUG_NAME,median_auc,mean_auc,n_cell_lines
Sepantronium bromide,0.15197,0.15916114,50
Staurosporine,0.276965,0.33328135294117645,51
Dactinomycin,0.4704825,0.59034815,80
MG-132,0.520195,0.524610862745098,51
CDK9_5038,0.5732155,0.5737442,30
Dinaciclib,0.600203,0.6161523191489362,47
Daporinad,0.6406,0.6854051999999999,35
CDK9_5576,0.6417625,0.6370053666666666,30
Luminespib,0.6453415,0.6529698,50
Sabutoclax,0.658729,0.6355255319148937,47
Gemcitabine,0.671352,0.6461723921568627,51
Telomerase Inhibitor IX,0.6940675000000001,0.6832997199999999,50
Obatoclax Mesylate,0.6967355,0.6843987352941177,34
GNE-317,0.6997519999999999,0.6968700208333334,48
PBD-288,0.72001,0.7031423235294119,34
Foretinib,0.729878,0.7184204285714286,49
AZD7762,0.7333565,0.7256397199999999,50
LMP744,0.738936,0.7332282666666666,30
Epirubicin,0.7413084999999999,0.70156746,50
Buparlisib,0.751558,0.7612909600000001,50
Bortezomib,0.7523525,0.7622473200000001,50
ULK1_4989,0.7530445,0.7328228666666666,30
AZD8055,0.7532475000000001,0.7601083529411765,34
Pevonedistat,0.7547735,0.7308346,50
Bleomycin (50 uM),0.762026,0.7469124545454545,33
Mycophenolic acid,0.7677635,0.766074205882353,34
Vinblastine,0.775981,0.7286546666666667,33
AZ960,0.777339,0.7773509574468085,47
Dactolisib,0.7803065,0.79991528,50
Docetaxel,0.781479,0.7115207435897436,78
BI-2536,0.7820965,0.7712272400000001,50
Topotecan,0.782289,0.7735164666666667,30
Romidepsin,0.7825,0.7851160666666667,30
MK-1775,0.784096,0.7601234705882354,51
VSP34_8731,0.7964785,0.8023728,30
Pictilisib,0.796913,0.7967992745098039,51
IGF1R_3801,0.797442,0.7892933000000001,30
Tanespimycin,0.7999335000000001,0.7766311399999999,50
Podophyllotoxin bromide,0.8148580000000001,0.8106450666666666,30
Teniposide,0.818576,0.8132336333333333,30
YK-4-279,0.81992,0.8016104,50
TW 37,0.82159,0.8143912777777778,18
CT7033-2,0.821904,0.8140731176470588,34
Lestaurtinib,0.823788,0.8220487,50
PAK_5339,0.8243775,0.8094791333333333,30
Vinorelbine,0.8263615,0.7927171,50
Vorinostat,0.826937,0.82994714,50
AZD2014,0.828507,0.8275432666666667,30
AZD6738,0.8378225,0.8381945399999999,50
Mitoxantrone,0.8379915,0.8238688333333334,30
Alisertib,0.842598,0.8046037450980392,51
Taselisib,0.843661,0.8409792745098039,51
Wee1 Inhibitor,0.8441000000000001,0.83616664,50
AZD5153,0.8476714999999999,0.8164526,30
Eg5_9814,0.850326,0.8175914333333334,30
Piperlongumine,0.85049,0.8603254705882354,17
776928,0.850887,0.8756340666666667,30
Cediranib,0.851208,0.8392464,50
Camptothecin,0.852784,0.8386265294117647,51
BMS-754807,0.8533495,0.8480611,50
GSK269962A,0.856121,0.817156705882353,17
Dasatinib,0.857542,0.832934411764706,51
5-azacytidine,0.8576455000000001,0.8385304117647059,34
Afuresertib,0.8585475,0.8541447200000001,50
Elesclomol,0.860331,0.8393391764705882,17
POMHEX,0.8605705,0.8443859705882354,34
ZM447439,0.862034,0.8666525199999999,50
BMS-536924,0.864034,0.85658528,50
JAK_8517,0.8650625000000001,0.8625490333333333,30
SN-38,0.865587,0.7251127843137255,51
AZD8186,0.8706944999999999,0.86984302,50
AZ6102,0.871795,0.8707007843137256,51
AZD5363,0.8740775000000001,0.87008118,50
BDP-00009066,0.874122,0.8729353333333333,33
AZD5438,0.875487,0.8694318666666666,30
JQ1,0.8764625,0.84540006,50
Irinotecan,0.8768845000000001,0.8760431,50
OTX015,0.8771985,0.8576285652173913,46
BX795,0.878686,0.861428294117647,17
Temsirolimus,0.8788,0.867093224489796,49
ERK_2440,0.880858,0.8585168333333333,30
Mirin,0.887369,0.8790920425531915,47
Talazoparib,0.888262,0.8574522,50
Refametinib,0.8887085,0.8676570800000001,50
Afatinib,0.893779,0.8919368235294117,51
UMI-77,0.895246,0.8856896060606061,33
Uprosertib,0.895934,0.8902997901234568,81
Paclitaxel,0.8971225,0.85694662,50
Sorafenib,0.897435,0.8911397999999999,50
Leflunomide,0.899349,0.9030797659574469,47
Entinostat,0.899405,0.8881758085106384,47
667880,0.9017955,0.8858172333333333,30
NU7441,0.9039545,0.9026598199999999,50
Schweinfurthin A,0.9047829999999999,0.8939954666666666,30
OSI-027,0.905202,0.8908118039215686,51
ABT737,0.9064775,0.8801647200000001,50
MK-2206,0.90764,0.8946592745098039,51
AT13148,0.907849,0.8909696470588235,51
AZD5582,0.910287,0.8816738863636363,44
Rapamycin,0.9113,0.8968837450980391,51
Axitinib,0.911402,0.8839702156862745,51
VX-11e,0.911632,0.9078108235294118,51
123829,0.912543,0.9065255666666666,30
Elephantin,0.9143825,0.9060925999999999,30
Entospletinib,0.914874,0.9143339574468085,47
AZD6482,0.915861,0.9079490588235294,17
Crizotinib,0.917726,0.9100044901960784,51
Tozasertib,0.919657,0.8881768823529412,17
Trametinib,0.919841,0.8973178823529412,51
CCT-018159,0.922208,0.9087346470588236,17
PRIMA-1MET,0.923452,0.9097868936170214,47
AZD1332,0.9235985,0.9088220666666668,30
I-BET-762,0.925115,0.9141946382978724,47
PF-4708671,0.92769,0.935081705882353,17
RO-3306,0.928775,0.9180180980392156,51
N25720-51-A1,0.930403,0.9283691212121212,33
Cisplatin,0.9305749999999999,0.926607,34
BMS-345541,0.930593,0.927467404255319,47
Ipatasertib,0.9311265,0.9200731000000001,50
Pyridostatin,0.931488,0.9256657142857142,49
MIM1,0.932015,0.9308005757575757,33
WIKI4,0.93215,0.9233878799999999,50
630600,0.932426,0.9121489666666667,30
NVP-ADW742,0.932573,0.9186374399999999,50
Dihydrorotenone,0.9345950000000001,0.9073510333333333,30
Navitoclax,0.93688,0.9144523137254902,51
Lapatinib,0.937062,0.9286108235294118,51
PRT062607,0.937698,0.9253430212765957,47
UNC0379,0.9381155,0.9260229117647059,34
5-Fluorouracil,0.940994,0.9320742549019607,51
PLX-4720,0.9411645,0.93421612,50
Remodelin,0.9425399999999999,0.9347963125,16
BEN,0.944134,0.9187029666666666,30
Cytarabine,0.944264,0.9204879393939394,33
EHT-1864,0.944571,0.94177118,50
SCH772984,0.94475,0.93046558,50
GSK2606414,0.945072,0.938415,47
ERK_6604,0.946215,0.9290508666666667,30
SB505124,0.946891,0.936910294117647,17
Ulixertinib,0.9472115,0.9347551707317073,82
Bromosporine,0.947291,0.9395602000000001,30
KRAS (G12C) Inhibitor-12,0.948046,0.9373774042553192,47
PD173074,0.948137,0.9347548823529412,51
WEHI-539,0.948503,0.9415331960784313,51
HKMTI-1-005,0.9496435,0.93720625,32
ML323,0.949732,0.9483847659574468,47
Serdemetan,0.951176,0.94456882,50
CPI-637,0.951573,0.9448426764705883,34
Bleomycin,0.951632,0.9388161666666667,30
Olaparib,0.951884,0.9514017450980393,51
PD0325901,0.952132,0.9323851960784314,51
50869,0.952561,0.944677,30
Selumetinib,0.9531229999999999,0.94312185,80
Palbociclib,0.953559,0.9461900980392157,51
XAV939,0.954349,0.9518964042553192,47
BPD-00008900,0.955238,0.9555610303030303,33
PFI-1,0.955306,0.949434294117647,51
Oxaliplatin,0.955618,0.947153975308642,81
BDOCA000347a,0.955775,0.9529379,30
AGK2,0.955864,0.9501637500000001,48
Erlotinib,0.956013,0.954164,50
JAK1_8709,0.9567105,0.9555498,30
N-acetyl cysteine,0.956932,0.9597425714285713,35
GSK591,0.957049,0.9485407254901961,51
Osimertinib,0.9579964999999999,0.95566406,50
VE821,0.958148,0.9493678823529412,51
MK-8776,0.958282,0.943795081632653,49
Tamoxifen,0.9586325,0.95418908,50
Niraparib,0.959067,0.9503134680851063,47
GSK2110183B,0.95948,0.9545006666666667,30
743380,0.9594975,0.9341804666666668,30
TAF1_5496,0.9610460000000001,0.9399476666666667,30
Alpelisib,0.961111,0.9436675200000001,50
AZD4547,0.9613565,0.9482016799999999,50
MN-64,0.96248,0.9601012553191489,47
OF-1,0.96249,0.9484922127659574,47
SL0101,0.962668,0.9620233529411764,17
Tretinoin,0.963251,0.957967,17
Bicalutamide,0.963468,0.9644513529411763,17
VE-822,0.964214,0.9539564042553191,47
GSK1904529A,0.964286,0.96254868,50
AMG-319,0.964575,0.9627829387755102,49
150412,0.9648485,0.9603199333333333,30
Wnt-C59,0.965099,0.9623743191489361,47
I-BRD9,0.965515,0.9636039599999999,50
Methotrexate,0.966136,0.9093665306122449,49
PCI-34051,0.96629,0.9632228510638298,47
741909,0.966404,0.9395626,30
Nilotinib,0.9666005,0.94243268,50
Sapitinib,0.96666,0.9641075098039216,51
