DRUG_NAME,target_str,pathway_name,median_auc,mean_auc,n_cell_lines,median_ic50,targets,gbm_top20_hits,gbm_any_hits,n_gbm_top20,n_gbm_any,efficacy_score,target_score,mechanism_diversity,selectivity_score,novelty_score,is_pareto,efficacy_score_rank,target_score_rank,selectivity_score_rank,composite_rank
Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",0.823788,0.8220487,50,0.4501265,"['FLT3', 'JAK2', 'NTRK1', 'NTRK2', 'NTRK3']",[],"['FLT3', 'JAK2', 'NTRK1']",0,3,0.17621200000000004,3,1.0,0.42370859266814404,,True,14.0,9.0,9.0,32.0
Cediranib,"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",RTK signaling,0.851208,0.8392464,50,2.011306,"['VEGFR', 'FLT1', 'FLT2', 'FLT3', 'FLT4', 'KIT', 'PDGFRB']",[],"['FLT1', 'FLT3', 'FLT4', 'KIT', 'PDGFRB']",0,5,0.14879200000000004,5,1.0,0.21421938230526294,,True,19.0,2.0,18.0,39.0
Sepantronium bromide,BIRC5,Apoptosis regulation,0.15197,0.15916114,50,-4.709545,['BIRC5'],[],['BIRC5'],0,1,0.8480300000000001,1,1.0,0.6609820011296182,,True,1.0,41.0,3.0,45.0
Foretinib,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling,0.729878,0.7184204285714286,49,0.924064,"['MET', 'KDR', 'TIE2', 'VEGFR3/FLT4', 'RON', 'PDGFR', 'FGFR1', 'EGFR']","['FGFR1', 'EGFR']","['MET', 'KDR', 'FGFR1', 'EGFR']",2,4,0.270122,8,1.0,0.06808703119882765,,True,5.0,1.0,41.0,47.0
Dinaciclib,"CDK1, CDK2, CDK5, CDK9",Cell cycle,0.600203,0.6161523191489362,47,-2.602771,"['CDK1', 'CDK2', 'CDK5', 'CDK9']",[],"['CDK1', 'CDK2']",0,2,0.39979699999999996,2,1.0,0.10559411220825654,,True,2.0,21.0,31.0,54.0
MK-1775,"WEE1, PLK1",Cell cycle,0.784096,0.7601234705882354,51,1.41325,"['WEE1', 'PLK1']",[],"['WEE1', 'PLK1']",0,2,0.21590399999999998,2,1.0,0.15409195214991475,,True,12.0,21.0,23.0,56.0
Wee1 Inhibitor,"WEE1, CHEK1",Cell cycle,0.8441000000000001,0.83616664,50,2.258274,"['WEE1', 'CHEK1']",[],"['WEE1', 'CHEK1']",0,2,0.15589999999999993,2,1.0,0.1888761200047038,,False,17.0,21.0,19.0,57.0
AZ960,"JAK2, JAK3","Other, kinases",0.777339,0.7773509574468085,47,1.367782,"['JAK2', 'JAK3']",[],"['JAK2', 'JAK3']",0,2,0.222661,2,1.0,0.1081663977554333,,True,8.0,21.0,30.0,59.0
BI-2536,"PLK1, PLK2, PLK3",Cell cycle,0.7820965,0.7712272400000001,50,-0.8985655,"['PLK1', 'PLK2', 'PLK3']",[],"['PLK1', 'PLK2']",0,2,0.21790350000000003,2,1.0,0.11031586514267833,,True,9.0,21.0,29.0,59.0
AZD7762,"CHEK1, CHEK2",Cell cycle,0.7333565,0.7256397199999999,50,0.5361965,"['CHEK1', 'CHEK2']",[],['CHEK1'],0,1,0.26664350000000003,1,1.0,0.25127528639068286,,False,6.0,41.0,16.0,63.0
