chembl_id,name,smiles,target_gene,activity_type,activity_nM,mw_scout,logp_scout,lipinski_violations_scout,is_approved,is_clinical,n_net_targets,net_targets,population_target,est_emax_s,est_emax_r,mw_admet,logp_admet,hbd,hba,tpsa,rotatable_bonds,aromatic_rings,qed,sa_score,lipinski_violations_admet,veber_pass,pains_pass,pains_alerts,bbb_penetrant,gi_absorption,hepatotox_risk,admet_score,overall_pass
CHEMBL69063,CHEMBL69063,COC(=O)c1cc2c([nH]1)C(=O)C=C1C2C(C)CN1C(=O)c1cc2cc(OC)c(OC)c(OC)c2[nH]1,MAP2K1,IC50,0.0045,479.49,3.26,0,False,False,1,MAP2K1,sensitive,0.0125,0.001875,479.5,3.26,2,7,123.0,5,3,0.539,4.09,0,True,True,0,False,high,medium,100.0,True
CHEMBL35670,CHEMBL35670,COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)c1cc4cc(OC)c(OC)c(OC)c4[nH]1)C3=CC2=O,MAP2K1,IC50,0.045,491.5,3.11,0,False,False,1,MAP2K1,sensitive,0.0125,0.001875,491.5,3.11,2,7,123.0,5,3,0.526,4.4,0,True,True,0,False,high,medium,100.0,True
CHEMBL558955,CHEMBL558955,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccc(CO)cc5)cc4)nc32)CC1,MTOR,IC50,0.08,586.65,3.87,1,False,False,1,MTOR,escape_route,0.005,0.0075,586.7,3.87,3,9,147.0,6,4,0.306,2.78,1,False,True,0,False,medium,medium,71.1,True
CHEMBL382667,CHEMBL382667,COc1cc2c(Nc3cnc(NC(=O)c4ccc(F)c(Cl)c4)nc3)ncnc2cc1OCCCN1CCOCC1,AURKA,IC50,0.15,568.01,4.32,1,False,False,1,AURKA,resistant,0.002412,0.01206,568.0,4.32,2,10,123.6,10,4,0.268,2.69,1,True,True,0,False,high,medium,85.4,True
CHEMBL3923182,CHEMBL3923182,CO[C@H]1CC[C@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,IC50,0.152,475.59,4.02,0,False,False,1,ATM,resistant,0.002409,0.012045,475.6,4.02,0,6,74.4,8,4,0.359,3.55,0,True,True,0,False,high,medium,97.2,True
CHEMBL3936943,CHEMBL3936943,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,IC50,0.176,487.6,4.16,0,False,False,1,ATM,resistant,0.002377,0.011886,487.6,4.16,0,6,74.4,8,4,0.348,2.85,0,True,True,0,False,high,medium,97.0,True
CHEMBL155514,CHEMBL155514,CCCCCC[Se](=O)CC(=O)C(F)(F)F,FOLH1,IC50,0.1778,291.17,0.0,0,False,False,1,FOLH1,other,0.005938,0.005938,291.2,3.12,0,2,34.1,7,0,0.533,3.91,0,True,True,0,False,high,low,100.0,True
CHEMBL538378,CHEMBL538378,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,MTOR,IC50,0.2,557.62,3.77,1,False,False,1,MTOR,escape_route,0.004699,0.007048,557.6,3.77,2,9,139.6,5,4,0.375,2.78,1,True,True,0,False,high,medium,87.5,True
CHEMBL3947316,CHEMBL3947316,Cn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,IC50,0.238,487.6,4.17,0,False,False,1,ATM,resistant,0.002312,0.011559,487.6,4.17,0,6,74.4,7,4,0.365,3.25,0,True,True,0,False,high,medium,97.3,True
CHEMBL3889770,CHEMBL3889770,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2C[C@@H](O)C2)c(=O)n4C)cn1,ATM,IC50,0.24,447.54,2.98,0,False,False,1,ATM,resistant,0.00231,0.011549,447.5,2.98,1,6,85.4,7,4,0.439,2.82,0,True,True,0,True,high,low,100.0,True
CHEMBL3936734,CHEMBL3936734,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,IC50,0.249,461.57,3.63,0,False,False,1,ATM,resistant,0.002302,0.01151,461.6,3.63,0,6,74.4,8,4,0.373,2.86,0,True,True,0,False,high,medium,97.5,True
