chembl_id,name,smiles,target_gene,activity_type,activity_nM,mw,logp,lipinski_violations,is_approved,is_clinical,n_net_targets,net_targets
CHEMBL69063,CHEMBL69063,COC(=O)c1cc2c([nH]1)C(=O)C=C1C2C(C)CN1C(=O)c1cc2cc(OC)c(OC)c(OC)c2[nH]1,MAP2K1,IC50,0.0045,479.49,3.26,0,False,False,1,MAP2K1
CHEMBL35670,CHEMBL35670,COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)c1cc4cc(OC)c(OC)c(OC)c4[nH]1)C3=CC2=O,MAP2K1,IC50,0.045,491.5,3.11,0,False,False,1,MAP2K1
CHEMBL558955,CHEMBL558955,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccc(CO)cc5)cc4)nc32)CC1,MTOR,IC50,0.08,586.65,3.87,1,False,False,1,MTOR
CHEMBL382667,CHEMBL382667,COc1cc2c(Nc3cnc(NC(=O)c4ccc(F)c(Cl)c4)nc3)ncnc2cc1OCCCN1CCOCC1,AURKA,IC50,0.15,568.01,4.32,1,False,False,1,AURKA
CHEMBL3923182,CHEMBL3923182,CO[C@H]1CC[C@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,IC50,0.152,475.59,4.02,0,False,False,1,ATM
CHEMBL3936943,CHEMBL3936943,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,IC50,0.176,487.6,4.16,0,False,False,1,ATM
CHEMBL155514,CHEMBL155514,CCCCCC[Se](=O)CC(=O)C(F)(F)F,FOLH1,IC50,0.1778,291.17,0.0,0,False,False,1,FOLH1
CHEMBL538378,CHEMBL538378,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,MTOR,IC50,0.2,557.62,3.77,1,False,False,1,MTOR
CHEMBL3947316,CHEMBL3947316,Cn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,IC50,0.238,487.6,4.17,0,False,False,1,ATM
CHEMBL3889770,CHEMBL3889770,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2C[C@@H](O)C2)c(=O)n4C)cn1,ATM,IC50,0.24,447.54,2.98,0,False,False,1,ATM
CHEMBL3936734,CHEMBL3936734,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,IC50,0.249,461.57,3.63,0,False,False,1,ATM
CHEMBL557963,CHEMBL557963,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc32)CC1,MTOR,IC50,0.3,557.62,3.77,1,False,False,1,MTOR
CHEMBL477989,SB590885,CN(C)CCOc1ccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CC/C4=N\O)[nH]2)cc1,BRAF,Kd,0.3,453.55,4.87,0,False,False,1,BRAF
CHEMBL3927821,CHEMBL3927821,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)c(F)n1,ATM,IC50,0.301,479.56,3.77,0,False,False,1,ATM
CHEMBL4112870,CHEMBL4112870,CO[C@@H]1CC[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,IC50,0.315,475.59,4.02,0,False,False,1,ATM
CHEMBL558486,CHEMBL558486,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,MTOR,IC50,0.32,508.58,2.87,1,False,False,1,MTOR
CHEMBL3890490,CHEMBL3890490,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)cn1,ATM,IC50,0.329,461.57,3.63,0,False,False,1,ATM
CHEMBL3935033,CHEMBL3935033,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)c(F)n1,ATM,IC50,0.365,479.56,3.77,0,False,False,1,ATM
CHEMBL115090,CHEMBL115090,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CNCCc1ccccc1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,CD274,Ki,0.37,582.66,3.57,1,False,False,1,CD274
CHEMBL551440,CHEMBL551440,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,MTOR,IC50,0.38,527.63,3.31,1,False,False,1,MTOR
CHEMBL112207,CHEMBL112207,CC(C)[C@H](CC(=O)NCCc1cn(C)c2ccccc12)C(=O)NC(CC(=O)O)C(=O)CNS(=O)(=O)CC12CCC(CC1=O)C2(C)C,CD274,IC50,0.4,658.82,2.34,1,False,False,1,CD274
CHEMBL3895211,CHEMBL3895211,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,IC50,0.418,505.59,4.3,1,False,False,1,ATM
CHEMBL3898165,CHEMBL3898165,Cn1c(=O)n([C@H]2C[C@@H](O)C2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,IC50,0.447,473.58,3.51,0,False,False,1,ATM
CHEMBL562999,CHEMBL562999,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NC5CC5)cc4)nc32)CC1,MTOR,IC50,0.45,520.59,3.02,1,False,False,1,MTOR
CHEMBL563985,CHEMBL563985,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,MTOR,IC50,0.46,494.56,2.48,0,False,False,1,MTOR
CHEMBL348326,CHEMBL348326,COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)nn1)C3=CC2=O,MAP2K1,IC50,0.5,420.43,1.8,0,False,False,1,MAP2K1
CHEMBL550972,CHEMBL550972,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,MTOR,IC50,0.52,526.65,3.92,1,False,False,1,MTOR
CHEMBL4109764,CHEMBL4109764,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCCOC2)c(=O)n4C)c(F)n1,ATM,IC50,0.552,479.56,3.77,0,False,False,1,ATM
CHEMBL3890119,CHEMBL3890119,Cn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)c(F)cc3ncc21,ATM,IC50,0.563,505.59,4.31,1,False,False,1,ATM
CHEMBL3960662,CHEMBL3960662,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)cn1,ATM,IC50,0.575,461.57,3.63,0,False,False,1,ATM
CHEMBL561907,CHEMBL561907,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NCCF)cc4)nc32)CC1,MTOR,IC50,0.61,526.57,2.82,1,False,False,1,MTOR
CHEMBL4114060,CHEMBL4114060,Cn1c(=O)n([C@@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)c(F)cc3ncc21,ATM,IC50,0.69,505.59,4.31,1,False,False,1,ATM
CHEMBL366456,CHEMBL366456,CCCCNCC(=O)[C@H](CC(=O)O)NC(=O)C(CC)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,CD274,Ki,0.76,534.61,3.12,1,False,False,1,CD274
CHEMBL111839,CHEMBL111839,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)NC(C=O)CC(=O)O)C(C)C,CD274,IC50,0.76,492.53,-0.76,1,False,False,1,CD274
CHEMBL3958682,CHEMBL3958682,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5F)cc4c32)C1,ATM,IC50,0.765,479.56,3.77,0,False,False,1,ATM
CHEMBL3986918,CHEMBL3986918,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3CCOCC3)c(=O)n2C)cn1,ATM,IC50,0.782,479.56,3.77,0,False,False,1,ATM
CHEMBL540695,CHEMBL540695,O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)c5cccnc5)CC4)c3n2)cc1,MTOR,IC50,0.83,604.68,4.24,1,False,False,1,MTOR
CHEMBL366534,CHEMBL366534,CCCCCCNCC(=O)[C@H](CC(=O)O)NC(=O)C(CC)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,CD274,Ki,0.85,562.67,3.9,1,False,False,1,CD274
CHEMBL4111966,CHEMBL4111966,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCCOC2)c(=O)n4C)cn1,ATM,IC50,0.935,461.57,3.63,0,False,False,1,ATM
CHEMBL3961688,CHEMBL3961688,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2(C)CCOCC2)c(=O)n4C)cn1,ATM,IC50,0.96,475.59,3.81,0,False,False,1,ATM
CHEMBL4110596,CHEMBL4110596,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n([C@@H]3CCCOC3)c(=O)n2C)cn1,ATM,IC50,1.0,479.56,3.77,0,False,False,1,ATM
CHEMBL5220685,CHEMBL5220685,COC(=O)[C@H]1COCCN1CCOc1ccccc1Cc1cn(C(F)F)nc1-c1cc(Cl)nc(N)n1,EZH2,IC50,1.0,522.94,2.81,1,False,False,1,EZH2
CHEMBL201297,CHEMBL201297,COCCOc1cc2ncnc(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)c2cc1OC,AURKA,IC50,1.0,483.53,4.18,0,False,False,1,AURKA
CHEMBL202567,CHEMBL202567,COc1cc2c(Nc3ncc(C(=O)Nc4ccc(F)cc4)s3)ncnc2cc1OCCCN1CCOCC1,AURKA,IC50,1.0,538.61,4.33,1,False,False,1,AURKA
CHEMBL3142900,CHEMBL3142900,O=C[C@H](CC(=O)O)NC(=O)C1CCCN2C(=O)CC[C@H](NC(=O)c3ccccc3F)C(=O)N12,CD274,IC50,1.0,462.43,-0.39,0,False,False,1,CD274
CHEMBL3898563,CHEMBL3898563,CO[C@H]1C[C@@H](n2c(=O)[nH]c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,IC50,1.03,447.54,3.62,0,False,False,1,ATM
CHEMBL3950905,CHEMBL3950905,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,IC50,1.05,479.56,3.77,0,False,False,1,ATM
CHEMBL3984179,CHEMBL3984179,Cn1c(=O)n([C@H]2C[C@@H](O)C2)c2c3cc(-c4ccc(OCCCN5CCC5)nc4)ccc3ncc21,ATM,IC50,1.05,459.55,3.12,0,False,False,1,ATM
CHEMBL3237704,CHEMBL3237704,CC1(C)CCC(n2c3cnccc3c3cnc(Nc4ccc(N5CCNCC5)cn4)nc32)CC1,CDK6,IC50,1.1,456.6,4.67,0,False,False,1,CDK6
CHEMBL3698644,CHEMBL3698644,c1cc2c3cnc(Nc4cnc(N5CCNCC5)nc4)nc3n(C3CCCC3)c2cn1,CDK6,IC50,1.1,415.51,3.04,0,False,False,1,CDK6
CHEMBL562439,CHEMBL562439,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)N(C)C)CC4)c3n2)cc1,MTOR,IC50,1.1,507.6,2.4,1,False,False,1,MTOR
CHEMBL3963290,CHEMBL3963290,Cn1c(=O)n(C2CCOCC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,IC50,1.12,487.6,4.17,0,False,False,1,ATM
CHEMBL3912673,CHEMBL3912673,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n([C@H]3CCCOC3)c(=O)n2C)cn1,ATM,IC50,1.14,479.56,3.77,0,False,False,1,ATM
CHEMBL368313,CHEMBL368313,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CNCCCc1ccccc1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,CD274,Ki,1.15,596.68,3.96,1,False,False,1,CD274
CHEMBL383264,CHEMBL383264,N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,AKT1,IC50,1.3,394.48,4.73,0,False,False,2,AKT1;MAPK1
CHEMBL372543,CHEMBL372543,O/N=C1/CCc2cc(-c3[nH]c(-c4ccccc4)nc3-c3ccncc3)ccc21,BRAF,Kd,1.3,366.42,4.93,0,False,False,1,BRAF
CHEMBL551442,CHEMBL551442,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCNCC4)c3n2)cc1,MTOR,IC50,1.4,436.52,2.01,0,False,False,1,MTOR
CHEMBL304500,CHEMBL304500,COC(=O)c1c2c(n(C)c1C)C(=O)C=C1N(C(=O)c3cc4cc(OC)c(OC)c(OC)c4[nH]3)C[C@H]3C[C@]123,MAP2K1,IC50,1.4,505.53,3.12,1,False,False,1,MAP2K1
CHEMBL411735,CHEMBL411735,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)C2C[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](C(C)C[C@@H]3CC[C@@H](CC(=O)Nc4ccc(CCCC(=O)OC)cc4)C(OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,MTOR,IC50,1.45,1021.34,0.0,1,False,False,1,MTOR
CHEMBL3924247,CHEMBL3924247,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2COC2)c(=O)n4C)cn1,ATM,IC50,1.46,433.51,2.85,0,False,False,1,ATM
CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AKT1,IC50,1.5,466.54,4.35,0,False,False,1,AKT1
CHEMBL437472,CHEMBL437472,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CSSC[C@@H](N)C(=O)N[C@H](CO)C(=O)N[C@H]2CSSC[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](CO)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,CHEK2,IC50,1.6,0.0,0.0,0,False,False,1,CHEK2
CHEMBL313153,CHEMBL313153,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2cccs2)nn1CC1CCCCC1,CHEK2,IC50,1.7,458.97,5.86,1,False,False,1,CHEK2
CHEMBL115952,CHEMBL115952,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)NC(CC(=O)O)C(=O)COc1cc2ccccc2cc1C(N)=O,CD274,IC50,1.7,620.66,2.3,1,False,False,1,CD274
CHEMBL176584,CHEMBL176584,CCCCCCN(C)CC(=O)[C@H](CC(=O)O)NC(=O)C(CC)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,CD274,Ki,1.79,576.69,4.25,1,False,False,1,CD274
CHEMBL265123,CHEMBL265123,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)C2C[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](C(C)C[C@@H]3CC[C@@H](CC(=O)Nc4ccc(CCCC(=O)O)cc4)C(OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,MTOR,IC50,1.88,1007.32,0.0,1,False,False,1,MTOR
CHEMBL25802,CHEMBL25802,Oc1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,AR,EC50,2.0,322.33,4.66,0,False,False,1,AR
CHEMBL558288,CHEMBL558288,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)NC)CC4)c3n2)cc1,MTOR,IC50,2.0,493.57,2.06,0,False,False,1,MTOR
CHEMBL338923,CHEMBL338923,COc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1O,PARP1,Ki,2.0,283.29,2.04,0,False,False,1,PARP1
CHEMBL387385,CHEMBL387385,O=C(N[C@H](CO)c1ccc(F)c(Cl)c1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1,MAPK1,Ki,2.0,459.31,4.98,0,False,False,1,MAPK1
CHEMBL201197,CHEMBL201197,COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4F)s3)ncnc2cc1OCCCN1CCC[C@H]1CO,AURKA,IC50,2.0,584.65,4.52,1,False,False,1,AURKA
CHEMBL115336,CHEMBL115336,CC(C)[C@H](NC(=O)c1ccccc1)C(=O)N(CC(=O)NC(CC(=O)O)C(=O)c1nc2ccccc2o1)C1Cc2ccccc2C1,CD274,IC50,2.0,610.67,3.42,1,False,False,1,CD274
CHEMBL3951966,CHEMBL3951966,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3(C)CCOCC3)c(=O)n2C)cn1,ATM,IC50,2.03,493.58,3.95,0,False,False,1,ATM
