drug,hr,ttp_months,nadir_pct,tail_kill,ec50_min,ec50_max,cmax_approx,source,category,score,reasons,filtered_rank
Cytarabine,0.6562,10.5,42.8,0.063809,1.7078,63.1708,30.9282,prostate,CYTOTOXIC,3,Cytotoxic,1
SB590885,0.6667,10.3,6.3,0.052973,51.5846,363.0829,182.9083,prostate,RELEVANT,2,BRAF mutated 1.2% mCRPC; BRAF in cancer pathway,2
JAK_8517,0.6667,10.3,10.5,0.013936,4.598,226.1662,27.1857,prostate,RELEVANT,2,JAK1 mutated 2.6% mCRPC; JAK1 in cancer pathway,3
Docetaxel,0.6688,10.3,5.9,0.008727,0.0038,0.23,0.0205,prostate,CYTOTOXIC,3,Cytotoxic,4
GSK2276186C,0.6709,10.3,12.8,0.04759,43.4646,503.4916,246.1376,prostate,RELEVANT,2,JAK1 mutated 2.6% mCRPC; JAK1 in cancer pathway,5
AZD7762,0.6709,10.3,14.0,0.02887,0.7156,18.4489,5.2195,prostate,RELEVANT,2,CHEK2 mutated 1.4% mCRPC; CHEK2 in cancer pathway,6
P22077,0.6731,10.2,6.0,0.146445,20.5538,605.7433,317.7049,prostate,RELEVANT,2,USP7 mutated 3.0% mCRPC; USP7 in cancer pathway,7
PLX-4720,0.6731,10.2,11.8,0.053788,103.2763,622.2058,328.1046,prostate,RELEVANT,2,BRAF mutated 1.2% mCRPC; BRAF in cancer pathway,8
GSK2578215A,0.6731,10.2,14.0,0.038243,45.9503,699.5778,261.3043,prostate,RELEVANT,2,LRRK2 mutated 4.4% mCRPC,9
Foretinib,0.6731,10.2,14.5,0.020319,1.5636,52.6906,8.985,prostate,RELEVANT,2,MET mutated 1.6% mCRPC; MET in cancer pathway,10
Temozolomide,0.6796,10.2,6.2,0.046653,435.487,2329.1936,1103.8005,prostate,CYTOTOXIC,3,Cytotoxic,11
Dabrafenib,0.6796,10.2,16.8,0.049245,55.6255,563.1379,251.5966,prostate,RELEVANT,2,BRAF mutated 1.2% mCRPC; BRAF in cancer pathway,12
Fludarabine,0.6796,10.2,18.2,0.040349,43.6163,614.3225,220.5101,prostate,CYTOTOXIC,3,Cytotoxic,13
Paclitaxel,0.6931,10.0,22.7,0.137365,0.0155,0.5503,0.1021,prostate,CYTOTOXIC,3,Cytotoxic,14
MIRA-1,0.7071,9.8,5.3,0.043746,200.8239,992.5673,438.7306,prostate,HIGHLY_RELEVANT,4,TP53 mutated 37% mCRPC; TP53 in cancer pathway,15
Temsirolimus,0.725,13.3,59.0,0.048351,0.0849,24.1711,6.285,prostate,RELEVANT,2,MTOR mutated 1.6% mCRPC; MTOR in cancer pathway,16
MK-8776,0.7317,9.4,4.3,0.02504,21.5179,181.5661,48.2138,prostate,RELEVANT,2,CHEK2 mutated 1.4% mCRPC; CHEK2 in cancer pathway,17
Savolitinib,0.742,9.3,3.8,0.128379,7.3122,49.5324,28.4268,prostate,RELEVANT,2,MET mutated 1.6% mCRPC; MET in cancer pathway,18
Cisplatin,0.75,9.2,4.0,0.014846,13.7262,179.1929,28.3112,prostate,CYTOTOXIC,3,Cytotoxic,19
KU-55933,0.7527,9.2,3.2,0.043243,100.7373,605.7799,281.5637,prostate,HIGHLY_RELEVANT,3,ATM mutated 5.9% mCRPC; ATM in cancer pathway,20
Vinblastine,0.7527,9.2,3.5,0.01791,0.0086,0.1023,0.0194,prostate,CYTOTOXIC,3,Cytotoxic,21
Staurosporine,0.7807,8.8,3.3,0.015253,0.0723,0.6935,0.116,prostate,CYTOTOXIC,3,Cytotoxic,22
Nutlin-3a (-),0.7966,11.6,49.6,0.036507,5.4,797.7663,170.2055,prostate,MARGINAL,1,MDM2 in cancer pathway,23
JAK1_8709,0.8046,8.6,2.7,0.026059,70.3423,290.5638,84.3529,prostate,RELEVANT,2,JAK1 mutated 2.6% mCRPC; JAK1 in cancer pathway,24
Tozasertib,0.81065,11.1,45.3,0.007702,0.0915,191.6884,9.9621,all_cancer,MARGINAL,1,AURKA in cancer pathway,25
Bicalutamide,0.8108,8.5,1.6,0.124485,26.9704,478.0142,114.7671,all_cancer,HIGHLY_RELEVANT,5,AR mutated 14% mCRPC; AR prostate-enriched (3x); AR in cancer pathway,26
Methotrexate,0.8171,8.4,1.8,0.120649,0.3803,7.2332,1.4355,prostate,CYTOTOXIC,3,Cytotoxic,27
Oxaliplatin,0.8171,8.4,0.9,0.139124,8.4722,1087.0715,87.6161,prostate,CYTOTOXIC,3,Cytotoxic,28
Ruxolitinib,0.8235,8.4,1.6,0.100466,121.4901,579.6294,233.343,prostate,RELEVANT,2,JAK1 mutated 2.6% mCRPC; JAK1 in cancer pathway,29
ULK1_4989,0.8323,10.4,8.7,0.01819,3.2724,94.5166,15.6662,prostate,MARGINAL,1,ULK1 mutated 1.2% mCRPC,30
Cediranib,0.8323,10.4,7.1,0.02308,5.4408,99.4865,21.0937,prostate,MARGINAL,1,FLT1 mutated 1.4% mCRPC,31
Lestaurtinib,0.83335,10.3,6.4,0.026697,0.4801,7.0817,1.7688,prostate,MARGINAL,1,JAK2 in cancer pathway,32
PD173074,0.8344,10.3,6.5,0.012131,16.6023,673.5363,73.952,prostate,MARGINAL,1,FGFR1 in cancer pathway,33
Niraparib,0.8344,10.3,6.5,0.031394,34.4069,376.7664,115.0245,prostate,MARGINAL,1,PARP1 in cancer pathway,34
BDILV000379a,0.8344,10.3,6.7,0.096728,86.1922,288.437,219.1946,prostate,MARGINAL,1,BAZ2A mutated 1.4% mCRPC,35
VE821,0.83545,10.3,13.4,0.055796,20.2611,477.1501,256.3633,prostate,MARGINAL,1,ATR mutated 1.4% mCRPC,36
Bromosporine,0.83545,10.3,6.3,0.017716,3.1778,71.5133,12.0817,prostate,MARGINAL,1,BRD4 mutated 1.2% mCRPC,37
Talazoparib,0.83545,10.3,11.2,0.037662,5.2578,61.5033,20.8531,prostate,MARGINAL,1,PARP1 in cancer pathway,38
NVP-ADW742,0.83655,10.2,13.9,0.027603,6.4921,137.9432,33.325,prostate,MARGINAL,1,IGF1R mutated 1.4% mCRPC,39
OTX015,0.83655,10.2,17.3,0.011412,0.8454,108.3703,12.9044,prostate,MARGINAL,1,BRD3 mutated 1.2% mCRPC,40
BMS-536924,0.83655,10.2,12.4,0.029841,3.0054,59.6343,14.7195,prostate,MARGINAL,1,IGF1R mutated 1.4% mCRPC,41
MG-132,0.8387,10.2,6.5,0.064648,0.1859,0.5585,0.3952,prostate,MARGINAL,1,CAPN1 mutated 1.4% mCRPC,42
Olaparib,0.8387,10.2,16.2,0.049979,21.4633,201.1599,98.1457,prostate,MARGINAL,1,PARP1 in cancer pathway,43
AZD6738,0.8398,10.2,19.6,0.027534,2.231,85.6497,21.2402,prostate,MARGINAL,1,ATR mutated 1.4% mCRPC,44
Serdemetan,0.8398,10.2,19.0,0.022287,8.6611,347.2007,63.706,prostate,MARGINAL,1,MDM2 in cancer pathway,45
