rank,s_name,s_target,s_ic50,r_name,r_target,r_ic50,combined_score,s_approved,r_approved
1,CHEMBL69063,MAP2K1,0.0045,CHEMBL382667,AURKA,0.15,0.02456,False,False
6,CHEMBL35670,MAP2K1,0.045,CHEMBL382667,AURKA,0.15,0.02456,False,False
2,CHEMBL69063,MAP2K1,0.0045,CHEMBL3923182,ATM,0.152,0.024545,False,False
7,CHEMBL35670,MAP2K1,0.045,CHEMBL3923182,ATM,0.152,0.024545,False,False
3,CHEMBL69063,MAP2K1,0.0045,CHEMBL3936943,ATM,0.176,0.024386,False,False
8,CHEMBL35670,MAP2K1,0.045,CHEMBL3936943,ATM,0.176,0.024386,False,False
4,CHEMBL69063,MAP2K1,0.0045,CHEMBL3947316,ATM,0.238,0.024059,False,False
9,CHEMBL35670,MAP2K1,0.045,CHEMBL3947316,ATM,0.238,0.024059,False,False
5,CHEMBL69063,MAP2K1,0.0045,CHEMBL3889770,ATM,0.24,0.024049,False,False
10,CHEMBL35670,MAP2K1,0.045,CHEMBL3889770,ATM,0.24,0.024049,False,False
