smiles,target_gene,generation_method,qed,sa_score,mw,predicted_ic50_nM,binding_energy_kcal,best_similarity,mean_similarity,confidence,n_references
CCNC(=O)Nc1ccsc1.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)ncnc32)CC1,MTOR,bioisostere,0.542,4.5,516.6,0.4,-12.22,0.451,0.362,0.676,10
CCNC(=O)Nc1ccoc1.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)ncnc32)CC1,MTOR,bioisostere,0.553,4.5,500.6,0.4,-12.23,0.477,0.373,0.716,10
CCNC(=O)Nc1ccncc1.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)ncnc32)CC1,MTOR,bioisostere,0.54,4.6,511.6,0.4,-12.22,0.449,0.372,0.674,10
CCOc1c(OC)c(OC)cc2cc(C(=O)N3CC(C)C4C3=CC(=O)c3[nH]c(C(=O)OC)cc34)[nH]c12,MAP2K1,r_group,0.503,4.5,493.5,2.43,-11.16,0.634,0.311,0.951,10
CCOC(=O)c1cc2c([nH]1)C(=O)C=C1C2C(C)CN1C(=O)c1cc2cc(OC)c(OC)c(OC)c2[nH]1,MAP2K1,r_group,0.503,4.5,493.5,2.54,-11.13,0.542,0.295,0.813,10
CCOc1c(OC)cc2cc(C(=O)N3CC(C)C4C3=CC(=O)c3[nH]c(C(=O)OC)cc34)[nH]c2c1OC,MAP2K1,r_group,0.503,4.5,493.5,2.55,-11.13,0.555,0.301,0.833,10
CNC(=O)c1cc2c([nH]1)C(=O)C=C1C2C(C)CN1C(=O)c1cc2cc(OC)c(OC)c(OC)c2[nH]1,MAP2K1,bioisostere,0.518,4.4,478.5,2.61,-11.12,0.561,0.299,0.841,10
CCC1CN(C(=O)c2cc3cc(OC)c(OC)c(OC)c3[nH]2)C2=CC(=O)c3[nH]c(C(=O)OC)cc3C21,MAP2K1,r_group,0.503,4.5,493.5,2.65,-11.11,0.516,0.303,0.774,10
C.COc1cc2cc(C(=O)N3CC(C)C4C3=CC(=O)c3[nH]c(C(N)=O)cc34)[nH]c2c(OC)c1OC,MAP2K1,bioisostere,0.512,4.4,480.5,2.68,-11.1,0.538,0.298,0.806,10
COc1cc2cc(C(=O)N3CC(C)C4C3=CC(=O)c3[nH]c(C(=O)SC)cc34)[nH]c2c(OC)c1OC,MAP2K1,bioisostere,0.55,4.4,495.6,2.72,-11.09,0.522,0.298,0.784,10
COc1cc2cc(C(=O)N3C[C@H]4C[C@@]45C3=CC(=O)c3c5c(C(=O)SC)c(C)n3C)[nH]c2c(OC)c1OC,MAP2K1,bioisostere,0.544,4.6,521.6,2.87,-11.06,0.478,0.317,0.717,10
COc1cc2cc(C(=O)N3C[C@H]4C[C@@]45C3=CC(=O)c3[nH]c(C)c(C(=O)SC)c35)[nH]c2c(OC)c1OC,MAP2K1,bioisostere,0.54,4.5,507.6,2.9,-11.06,0.486,0.333,0.73,10
CNC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)c1cc4cc(OC)c(OC)c(OC)c4[nH]1)C3=CC2=O,MAP2K1,bioisostere,0.505,4.5,490.5,2.92,-11.05,0.527,0.353,0.791,10
CNc1c(OC)c(OC)cc2cc(C(=O)N3C[C@H]4C[C@@]45C3=CC(=O)c3c5c(C(=O)OC)c(C)n3C)[nH]c12,MAP2K1,bioisostere,0.513,4.6,504.5,2.92,-11.05,0.513,0.339,0.769,10
