smiles,target_gene,generation_method,qed,sa_score,mw,predicted_ic50_nM,binding_energy_kcal,best_similarity,mean_similarity,confidence,n_references
CC[C@@H](CNC)n1c(=O)n(C)c2cnc3ccc(-c4ccc(OCCCN5CCCC5)nc4)cc3c21,ATM,bioisostere,0.34,4.5,488.6,0.26,-12.47,0.435,0.326,0.653,10
CC(C)n1c(=O)n(C)c2cnc3ccc(-c4ccc(OCCCN5CCCC5)nc4)cc3c21.CNC,ATM,bioisostere,0.391,4.5,490.7,0.26,-12.47,0.519,0.369,0.778,10
CN[C@H]1CC[C@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,bioisostere,0.393,4.4,474.6,0.26,-12.48,0.595,0.412,0.893,10
CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CC[C@H](OC3CC3)C2)c(=O)n4C)cn1,ATM,r_group,0.313,4.6,501.6,0.27,-12.47,0.515,0.399,0.772,10
CO[C@H]1CC[C@H](n2c(=O)n(C3CC3)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,r_group,0.306,4.6,501.6,0.27,-12.47,0.62,0.408,0.93,10
O=C(O)n1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,r_group,0.364,4.8,517.6,0.27,-12.45,0.624,0.384,0.936,10
NC(=O)n1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,r_group,0.373,4.8,516.6,0.27,-12.46,0.603,0.377,0.905,10
CO[C@H]1CC[C@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C6CC6)nc5)cc4c32)C1,ATM,r_group,0.313,4.6,501.6,0.27,-12.46,0.555,0.415,0.832,10
CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CC[C@H](OC(F)(F)F)C2)c(=O)n4C)cn1,ATM,r_group,0.302,4.8,529.6,0.27,-12.47,0.542,0.394,0.812,10
CO[C@H]1CC[C@H](n2c(=O)n(C(F)(F)F)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,r_group,0.301,4.8,529.6,0.27,-12.47,0.518,0.391,0.777,10
CO[C@H]1CC[C@H](n2c(=O)n(OC)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,r_group,0.331,4.5,491.6,0.27,-12.47,0.601,0.403,0.901,10
CCO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,r_group,0.313,4.6,501.6,0.27,-12.46,0.487,0.414,0.731,10
O=c1n(O)c2cnc3ccc(-c4ccc(OCCCN5CCCC5)nc4)cc3c2n1[C@H]1CCCOC1,ATM,r_group,0.311,4.5,489.6,0.27,-12.46,0.493,0.363,0.74,10
CN(C)n1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,r_group,0.33,4.8,516.6,0.27,-12.47,0.486,0.393,0.729,10
CNn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,r_group,0.367,4.6,502.6,0.27,-12.45,0.504,0.369,0.756,10
Nn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,r_group,0.315,4.5,488.6,0.27,-12.45,0.48,0.363,0.72,10
COn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,r_group,0.339,4.6,503.6,0.27,-12.45,0.674,0.396,1.0,10
O=c1n(C2CC2)c2cnc3ccc(-c4ccc(OCCCN5CCCC5)nc4)cc3c2n1[C@H]1CCCOC1,ATM,r_group,0.31,4.8,513.6,0.27,-12.45,0.512,0.378,0.768,10
CCn1c(=O)n([C@H]2C[C@@H](OC)C2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,r_group,0.311,4.6,501.6,0.27,-12.46,0.496,0.366,0.743,10
COn1c(=O)n([C@H]2C[C@@H](OC)C2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,r_group,0.322,4.6,503.6,0.27,-12.47,0.468,0.368,0.702,10
CNn1c(=O)n([C@H]2C[C@@H](OC)C2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,r_group,0.349,4.6,502.6,0.27,-12.46,0.464,0.376,0.695,10
CO[C@H]1CC[C@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C(C)C)nc5)cc4c32)C1,ATM,r_group,0.306,4.6,503.6,0.27,-12.47,0.497,0.411,0.745,10
CC(C)O[C@H]1CC[C@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,r_group,0.306,4.6,503.6,0.27,-12.46,0.474,0.391,0.711,10
CCN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CC[C@H](OC)C2)c(=O)n4C)cn1,ATM,r_group,0.324,4.5,489.6,0.27,-12.47,0.607,0.433,0.91,10
CCO[C@H]1CC[C@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,r_group,0.324,4.5,489.6,0.27,-12.47,0.558,0.41,0.838,10
CS[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,bioisostere,0.352,4.2,477.6,0.27,-12.46,0.491,0.4,0.737,10
CCN(C)C.CNc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2C[C@@H](OC)C2)c(=O)n4C)cn1,ATM,bioisostere,0.485,4.2,462.6,0.27,-12.46,0.471,0.372,0.706,10
CC(C)n1c(=O)n(C)c2cnc3ccc(-c4ccc(OCCCN(C)C)nc4)cc3c21.CNC,ATM,bioisostere,0.42,4.2,464.6,0.27,-12.46,0.404,0.311,0.606,10
