position,substitution,smiles,mw,logp,hbd,hba,tpsa,rotatable,lipinski_violations,max_similarity,nearest_known,is_novel
alis_benzoyl,F,COc1cc2c(cc1OC)N(C(=O)c1ccc(F)cc1)C(=O)/C2=C\c1[nH]c2ccc(F)cc2c1C,474.5,5.5,1,4,71.6,4,1,0.917,Alisertib,False
alis_benzoyl,CN,COc1cc2c(cc1OC)N(C(=O)c1ccc(CN)cc1)C(=O)/C2=C\c1[nH]c2ccc(F)cc2c1C,485.5,4.82,2,5,97.7,5,0,0.821,Alisertib,True
alis_methoxy,OC_O,Cc1c(/C=C2\C(=O)N(C(=O)c3ccc(Cl)cc3)c3cc(O)c(CO)cc32)[nH]c2ccc(F)cc12,476.9,5.19,3,4,93.6,3,1,0.739,Alisertib,True
alis_methoxy,OC_F,Cc1c(/C=C2\C(=O)N(C(=O)c3ccc(Cl)cc3)c3cc(F)c(CO)cc32)[nH]c2ccc(F)cc12,478.9,5.63,2,3,73.4,3,1,0.739,Alisertib,True
alis_methoxy,F_F,Cc1c(/C=C2\C(=O)N(C(=O)c3ccc(Cl)cc3)c3cc(F)c(F)cc32)[nH]c2ccc(F)cc12,466.8,6.27,1,2,53.2,2,1,0.81,Alisertib,True
alis_acyl_replace,pyridyl,COc1cc2c(cc1OC)N(C(=O)c1ccncc1)C(=O)/C2=C\c1[nH]c2ccc(F)cc2c1C,457.5,4.76,1,5,84.5,4,0,0.831,Alisertib,True
alis_acyl_replace,pyrimidyl,COc1cc2c(cc1OC)N(C(=O)c1ncccn1)C(=O)/C2=C\c1[nH]c2ccc(F)cc2c1C,458.4,4.15,1,6,97.4,4,0,0.75,Alisertib,True
alis_acyl_replace,thienyl,COc1cc2c(cc1OC)N(C(=O)c1ccsc1)C(=O)/C2=C\c1[nH]c2ccc(F)cc2c1C,462.5,5.42,1,5,71.6,4,1,0.803,Alisertib,True
alis_acyl_replace,furanyl,COc1cc2c(cc1OC)N(C(=O)c1ccoc1)C(=O)/C2=C\c1[nH]c2ccc(F)cc2c1C,446.4,4.95,1,5,84.8,4,0,0.779,Alisertib,True
alis_acyl_replace,thiazolyl,COc1cc2c(cc1OC)N(C(=O)c1cncs1)C(=O)/C2=C\c1[nH]c2ccc(F)cc2c1C,463.5,4.82,1,6,84.5,4,0,0.718,Alisertib,True
alis_acyl_replace,oxazolyl,COc1cc2c(cc1OC)N(C(=O)c1cnco1)C(=O)/C2=C\c1[nH]c2ccc(F)cc2c1C,447.4,4.35,1,6,97.7,4,0,0.708,Alisertib,True
alis_acyl_replace,imidazolyl,COc1cc2c(cc1OC)N(C(=O)c1cnc[nH]1)C(=O)/C2=C\c1[nH]c2ccc(F)cc2c1C,446.4,4.08,2,5,100.3,4,0,0.718,Alisertib,True
toza_phenyl,F,Cc1cc(NC(=O)Nc2ccc3c(=O)n(-c4ccc(F)cc4)nc(C(C)C)c3c2)no1,421.4,4.59,2,5,102.0,4,0,0.831,Tozasertib,True
toza_phenyl,Cl,Cc1cc(NC(=O)Nc2ccc3c(=O)n(-c4ccc(Cl)cc4)nc(C(C)C)c3c2)no1,437.9,5.1,2,5,102.0,4,1,0.831,Tozasertib,True
toza_phenyl,CN,Cc1cc(NC(=O)Nc2ccc3c(=O)n(-c4ccc(CN)cc4)nc(C(C)C)c3c2)no1,432.5,3.91,3,6,128.1,5,0,0.79,Tozasertib,True
hybrid,c1ccncc1_Cl,COc1cc2c(cc1OC)N(C(=O)c1ccncc1)C(=O)/C2=C\c1[nH]c2ccc(Cl)cc2c1C,473.9,5.27,1,5,84.5,4,1,0.776,Alisertib,True
hybrid,c1cncs1_F,COc1cc2c(cc1OC)N(C(=O)c1cncs1)C(=O)/C2=C\c1[nH]c2ccc(F)cc2c1C,463.5,4.82,1,6,84.5,4,0,0.718,Alisertib,True
hybrid,c1ccncc1_CN,COc1cc2c(cc1OC)N(C(=O)c1ccncc1)C(=O)/C2=C\c1[nH]c2ccc(CN)cc2c1C,468.5,4.07,2,6,110.5,5,0,0.649,Alisertib,True
hybrid,c1cnco1_Br,COc1cc2c(cc1OC)N(C(=O)c1cnco1)C(=O)/C2=C\c1[nH]c2ccc(Br)cc2c1C,508.3,4.97,1,6,97.7,4,1,0.577,Alisertib,True
novel_acyl,C(=O)NCCN1CCOCC1,COc1cc2c(cc1OC)N(C(=O)NCCN1CCOCC1)C(=O)/C2=C\c1[nH]c2ccc(F)cc2c1C,508.6,3.56,2,6,96.1,6,1,0.613,Alisertib,True
novel_acyl,C(=O)c1ccc2[nH]ccc2c,COc1cc2c(cc1OC)-n1c(=O)/c(=C\c3[nH]c4ccc(F)cc4c3C)c3cc[nH]c-2ccc(c3)c1=O,495.5,4.28,2,4,89.1,3,0,0.476,Alisertib,True
novel_acyl,C(=O)c1cnc2ccccc2n1,COc1cc2c(cc1OC)-n1c(=O)/c(=C\c3[nH]c4ccc(F)cc4c3C)c3ccccc-2ncc(n3)c1=O,508.5,3.74,1,6,99.1,3,1,0.459,Alisertib,True
