drug1,drug2,combo_hr,best_single_hr,combo_benefit,ttp_months,nadir_pct
Temsirolimus,Nutlin-3a (-),0.3431,0.5172,0.1741,20.1,82.5
Temsirolimus,IGF1R_3801,0.35,0.5172,0.1672,19.7,81.5
Temsirolimus,AZD8186,0.3506,0.5172,0.1666,19.7,81.6
Temsirolimus,Cytarabine,0.3518,0.5172,0.1654,19.6,81.5
Temsirolimus,CPI-637,0.3571,0.5172,0.1601,19.3,80.7
Temsirolimus,CHIR-99021,0.3584,0.5172,0.1588,19.3,80.4
Temsirolimus,PD0325901,0.3621,0.5172,0.1551,19.1,80.9
Temsirolimus,Schweinfurthin A,0.3633,0.5172,0.1539,19.0,79.8
Temsirolimus,Tozasertib,0.3652,0.5172,0.152,18.9,79.2
Temsirolimus,743380,0.3723,0.5172,0.1449,18.5,79.6
Temsirolimus,Dacarbazine,0.375,0.5172,0.1422,18.4,79.0
Nutlin-3a (-),IGF1R_3801,0.377,0.5932,0.2162,18.3,77.9
Nutlin-3a (-),AZD8186,0.3784,0.5932,0.2148,18.2,77.8
Nutlin-3a (-),Cytarabine,0.3797,0.5932,0.2135,18.2,77.7
Temsirolimus,Uprosertib,0.386,0.5172,0.1312,17.9,77.9
Nutlin-3a (-),CPI-637,0.386,0.5932,0.2072,17.9,76.7
Nutlin-3a (-),CHIR-99021,0.3867,0.5932,0.2065,17.8,76.5
IGF1R_3801,AZD8186,0.3867,0.6087,0.222,17.8,76.6
IGF1R_3801,Cytarabine,0.3882,0.6087,0.2205,17.8,76.5
Tozasertib,PD0325901,0.3911,0.6213,0.2302,17.6,76.5
Temsirolimus,Acetalax,0.3918,0.5172,0.1254,17.6,77.0
AZD8186,Cytarabine,0.3925,0.6383,0.2458,17.6,76.1
Nutlin-3a (-),Schweinfurthin A,0.3925,0.5932,0.2007,17.6,75.7
Nutlin-3a (-),Tozasertib,0.3933,0.5932,0.1999,17.5,75.3
IGF1R_3801,CPI-637,0.3955,0.6087,0.2132,17.4,75.4
IGF1R_3801,CHIR-99021,0.3962,0.6087,0.2125,17.4,75.1
AZD8186,CHIR-99021,0.3977,0.6383,0.2406,17.3,75.1
AZD8186,CPI-637,0.3977,0.6383,0.2406,17.3,75.2
Nutlin-3a (-),PD0325901,0.3992,0.5932,0.194,17.3,76.0
CHIR-99021,Cytarabine,0.4,0.6481,0.2481,17.2,74.9
Cytarabine,CPI-637,0.4008,0.6562,0.2554,17.2,74.9
Tozasertib,Cytarabine,0.4015,0.6213,0.2198,17.2,74.3
IGF1R_3801,PD0325901,0.4023,0.6087,0.2064,17.1,75.5
Tozasertib,AZD8186,0.4023,0.6213,0.219,17.1,74.1
