target,resistance_risk,n_escapes,n_active_resistance,top_escape
AKT1,99,0,33,none
AR,100,1,31,pw:EMT
ATM,96,0,32,none
ATR,96,0,32,none
AURKA,96,0,32,none
BCL2,99,0,33,none
BRAF,99,0,33,none
CDK4,99,0,33,none
CDK6,99,0,33,none
CHEK1,99,0,33,none
CTLA4,99,0,33,none
DLL3,96,0,32,none
EZH2,96,0,32,none
FOLH1,99,0,33,none
MAP2K1,99,0,33,none
MAPK1,99,0,33,none
MDM2,99,0,33,none
MTOR,99,0,33,none
PARP1,96,0,32,none
PARP2,99,0,33,none
PDCD1,99,0,33,none
PIK3CA,99,0,33,none
cell:luminal_AR,99,0,33,none
pw:AR_signaling,100,1,33,pw:EMT
pw:BER,96,0,32,none
pw:HRR,96,0,32,none
pw:NE_diff,96,0,32,none
pw:PI3K_AKT_mTOR,99,0,33,none
pw:angiogenesis,99,0,33,none
pw:apoptosis,99,0,33,none
pw:cell_cycle,96,0,32,none
pw:epigenetic,96,0,32,none
pw:immune_evasion,99,0,33,none
pw:steroidogenesis,96,0,32,none
