smiles,fitness,qed,mw,logp,sa_score,tpsa,similarity,lipinski_violations,generation,target,parent
Cc1ccc(OC2CCOC2)c(NC(=O)Nc2cnc(C#N)cn2)c1,0.8807,0.885,339.4,2.47,3.1,109.2,1.0,0,,,
N#Cc1cnc(NC(=O)Nc2cc(F)ccc2OC2CCOC2)cn1,0.8767,0.881,343.3,2.3,3.1,109.2,1.0,0,,,
N#Cc1ccc(OC2CCOCC2)c(NC(=O)Nc2cnc(C#N)cn2)c1,0.8371,0.851,364.4,2.42,3.4,132.9,1.0,0,,,
N#Cc1cnc(NC(=O)Nc2ccccc2OC2CCOC2)cn1,0.8021,0.891,325.3,2.16,3.0,109.2,0.8,0,1.0,CHEK1,N#Cc1cnc(NC(=O)Nc2cc(F)ccc2OC2CCOC2)cn1
NOc1ccc2c(c1)CCCN2S(=O)(=O)c1ccc(N2CCCC2=O)cc1,0.7991,0.812,387.5,2.21,3.4,92.9,1.0,0,,,
Cc1ccc(OC2CCOC2)c(OC(=O)Nc2cnc(C#N)cn2)c1,0.7925,0.911,340.3,2.44,3.1,106.4,0.75,0,1.0,CHEK1,Cc1ccc(OC2CCOC2)c(NC(=O)Nc2cnc(C#N)cn2)c1
O=C1CCCN1c1ccc(S(=O)(=O)N2CCCc3cc(OF)ccc32)cc1,0.7911,0.804,390.4,3.22,3.4,66.9,1.0,0,,,
O=C(O)c1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,0.7815,0.786,350.3,4.65,3.1,62.2,1.0,0,,,
CNN1CCN(S(=O)(=O)c2ccc(N3CCCC3=O)cc2)c2ccc(OC)cc21,0.7812,0.803,416.5,1.97,3.6,82.2,1.0,0,,,
O=C(O)c1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1.[H],0.7724,0.788,342.4,3.01,3.0,75.5,0.959,0,1.0,PIK3CA,Cl.O=C(O)c1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1
Cc1ccc(OC2CCOC2)c(CC(=O)Nc2cnc(C#N)cn2)c1,0.7692,0.895,338.4,2.01,3.1,97.1,0.727,0,1.0,CHEK1,Cc1ccc(OC2CCOC2)c(NC(=O)Nc2cnc(C#N)cn2)c1
O=C1CCCN1c1ccc(S(=O)(=O)N2CCCc3cc(O)ccc32)cc1,0.7669,0.898,372.4,2.66,3.2,77.9,0.725,0,2.0,MDM2,COc1ccc2c(c1)CCCN2S(=O)(=O)c1ccc(N2CCCC2=O)cc1
O=C(O)c1cc(CF)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,0.7643,0.876,314.4,4.1,2.9,62.2,0.745,0,2.0,AR,O=C(O)c1cc(C(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31
C#Cc1cnc(NC(=O)Nc2cc(F)ccc2OC2CCOC2)cn1,0.7612,0.834,342.3,2.41,3.1,85.4,0.836,0,1.0,CHEK1,N#Cc1cnc(NC(=O)Nc2cc(F)ccc2OC2CCOC2)cn1
CNC(=O)c1cccc2[nH]c(-c3ccc(Cl)cc3)nc12,0.7593,0.759,285.7,3.24,2.5,57.8,1.0,0,,,
Oc1cccc(-c2nc(N3CCSCC3)c3sccc3n2)c1.[H],0.7585,0.776,330.5,3.73,2.8,49.3,0.956,0,1.0,PIK3CA,Cl.Oc1cccc(-c2nc(N3CCSCC3)c3sccc3n2)c1
Cl.NC(=O)c1cccc2[nH]c(-c3ccncc3)nc12,0.7507,0.751,274.7,2.15,2.4,84.7,1.0,0,,,
Cl.O=C(O)c1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,0.7502,0.754,377.9,3.31,3.1,75.5,1.0,0,,,
Nc1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,0.749,0.749,321.3,4.54,2.9,50.9,1.0,0,,,
C#Cc1ccc(OC2CCOCC2)c(NC(=O)Nc2cnc(C#N)cn2)c1,0.7471,0.808,363.4,2.53,3.4,109.2,0.879,0,1.0,CHEK1,N#Cc1ccc(OC2CCOCC2)c(NC(=O)Nc2cnc(C#N)cn2)c1
N#Cc1ccc(OC2CCOCC2)c(OC(=O)Nc2cnc(C#N)cn2)c1,0.7469,0.874,365.3,2.39,3.4,130.2,0.738,0,3.0,CHEK1,C#Cc1ccc(OC2CCOCC2)c(OC(=O)Nc2cnc(C#N)cn2)c1
N#Cc1cnc(NC(=O)Oc2ccccc2OC2CCOC2)cn1,0.7431,0.917,326.3,2.13,3.0,106.4,0.621,0,2.0,CHEK1,Cc1ccc(OC2CCOC2)c(OC(=O)Nc2cnc(C#N)cn2)c1
CCc1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,0.7431,0.743,334.4,5.52,3.0,24.9,1.0,1,,,
Cl.Oc1cccc(-c2nc(N3CCSCC3)c3sccc3n2)c1,0.7423,0.742,365.9,4.04,2.9,49.3,1.0,0,,,
COc1ccc2c(c1)N(O)CCN2S(=O)(=O)c1ccc(N2CCCC2=O)cc1,0.7357,0.842,403.5,2.23,3.5,90.4,0.786,0,2.0,MDM2,COc1ccc2c(c1)N(N)CCN2S(=O)(=O)c1ccc(N2CCCC2=O)cc1
NCc1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,0.7334,0.811,335.4,4.41,3.0,50.9,0.808,0,1.0,AR,CCc1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31
N#Cc1cnc(NC(=O)Oc2cc(F)ccc2OC2CCOC2)cn1,0.7317,0.906,344.3,2.27,3.1,106.4,0.623,0,2.0,CHEK1,Cc1ccc(OC2CCOC2)c(OC(=O)Nc2cnc(C#N)cn2)c1
OCc1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,0.7311,0.809,336.4,4.45,3.0,45.2,0.808,0,1.0,AR,CCc1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31
CCc1cc(CF)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,0.7291,0.847,298.4,4.97,2.8,24.9,0.722,0,2.0,AR,CCc1cc(C(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31
N#Cc1ccc(OC2CCOCC2)c(CC(=O)Nc2cnc(C#N)cn2)c1,0.7266,0.862,363.4,1.96,3.4,120.9,0.714,0,3.0,CHEK1,C#Cc1ccc(OC2CCOCC2)c(CC(=O)Nc2cnc(C#N)cn2)c1
Cc1ccc(SC2CCOC2)c(NC(=O)Nc2cnc(C#N)cn2)c1,0.7262,0.874,355.4,3.18,3.1,99.9,0.672,0,1.0,CHEK1,Cc1ccc(OC2CCOC2)c(NC(=O)Nc2cnc(C#N)cn2)c1
O=C(O)c1cc(C(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,0.7247,0.845,332.4,4.57,3.0,62.2,0.714,0,1.0,AR,O=C(O)c1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]
N#Cc1cnc(NC(=S)Nc2cc(F)ccc2OC2CCOC2)cn1,0.7228,0.805,359.4,2.46,3.1,92.1,0.806,0,1.0,CHEK1,N#Cc1cnc(NC(=O)Nc2cc(F)ccc2OC2CCOC2)cn1
