microbiome_gene,partner,score,function
TLR2,CD4,814,Pattern recognition (gram-positive bacteria)
TLR2,DCN,990,Pattern recognition (gram-positive bacteria)
TLR2,TNFRSF1A,745,Pattern recognition (gram-positive bacteria)
TLR2,APOH,836,Pattern recognition (gram-positive bacteria)
TLR2,NFKBIA,749,Pattern recognition (gram-positive bacteria)
TLR2,LBP,712,Pattern recognition (gram-positive bacteria)
TLR2,RIPK2,799,Pattern recognition (gram-positive bacteria)
TLR2,NOD1,855,Pattern recognition (gram-positive bacteria)
TLR2,CCL2,790,Pattern recognition (gram-positive bacteria)
TLR2,NFKB1,992,Pattern recognition (gram-positive bacteria)
TLR2,SPI1,703,Pattern recognition (gram-positive bacteria)
TLR2,APOC3,963,Pattern recognition (gram-positive bacteria)
TLR2,IFNG,918,Pattern recognition (gram-positive bacteria)
TLR2,CLEC4A,711,Pattern recognition (gram-positive bacteria)
TLR2,IL4,834,Pattern recognition (gram-positive bacteria)
TLR2,TICAM1,975,Pattern recognition (gram-positive bacteria)
TLR2,LGALS3,948,Pattern recognition (gram-positive bacteria)
TLR2,MYBPH,836,Pattern recognition (gram-positive bacteria)
TLR2,CD180,871,Pattern recognition (gram-positive bacteria)
TLR2,IRAK2,793,Pattern recognition (gram-positive bacteria)
TLR2,GYPC,802,Pattern recognition (gram-positive bacteria)
TLR2,SYK,701,Pattern recognition (gram-positive bacteria)
TLR2,SCARB2,996,Pattern recognition (gram-positive bacteria)
TLR2,CCR2,764,Pattern recognition (gram-positive bacteria)
TLR2,CLEC4E,835,Pattern recognition (gram-positive bacteria)
TLR2,CD209,791,Pattern recognition (gram-positive bacteria)
TLR2,CD86,805,Pattern recognition (gram-positive bacteria)
TLR2,TRAF6,909,Pattern recognition (gram-positive bacteria)
TLR2,SNCA,906,Pattern recognition (gram-positive bacteria)
TLR2,TLR6,999,Pattern recognition (gram-positive bacteria)
TLR2,NLRP3,849,Pattern recognition (gram-positive bacteria)
TLR2,CX3CR1,741,Pattern recognition (gram-positive bacteria)
TLR2,TLR1,999,Pattern recognition (gram-positive bacteria)
