gene,n_diseases,max_score
TNF,72,0.6375766560208563
IL10,49,0.6347357556747149
CD79A,49,0.2775186720039959
CD4,49,0.26475724512886173
TGFB1,49,0.7096078917813754
CRP,48,0.11203011353856733
IL6,48,0.31445912730408737
PTGS2,46,0.6229145888008256
ALB,46,0.1013567297501246
NFKB1,46,0.41702372843570146
APC,45,0.5317142918639743
CD8A,43,0.10907140651386676
TP53,42,0.4184981573820258
MUC2,42,0.12086771961973829
IL17A,42,0.18538247289866924
IFNG,41,0.32117712941678694
FOXP3,40,0.10289784723958953
ATP4A,39,0.40183643286255893
RET,39,0.6472018693855062
PDCD1,39,0.22349396381730882
KIT,38,0.8921556302167081
IL1B,38,0.13344596210102985
IL2RA,36,0.492513277180224
MTOR,35,0.3845572119741304
SMAD4,35,0.28127612064588997
IL23A,35,0.6300085464175642
PIK3CD,35,0.10041483446787805
RPL17,35,0.11739224516729282
SNCA,35,0.15663218838411794
CD274,34,0.3881760391349716
MUC5AC,34,0.11677031217376253
CD40LG,34,0.2755095704305512
NOD2,34,0.8061861171247156
MYC,33,0.2775186720039959
IL2,33,0.32394920608393085
PTGER2,33,0.07014223520883921
ERBB2,33,0.3753511128686869
PTEN,32,0.3084656287919581
INPP5D,32,0.09621239783430567
SPATA2,32,0.11209763649166483
RPL17-C18orf32,32,0.11209763649166483
PIK3CA,32,0.3330224064047951
VEGFA,32,0.28176905367279187
IL22,32,0.11325146143221862
MTCO2P12,31,0.07014223520883921
ACE2,31,0.12056192262546617
ABCB1,31,0.3894210859688634
IL4,31,0.08460156708087761
EPCAM,31,0.7088280903529453
BCL2,31,0.18501244800266392
NFE2L2,31,0.29870216466544897
MT-CO2,31,0.07014223520883921
EGFR,31,0.30148382329364043
CDH17,30,0.18501244800266392
STK11,30,0.27860713288756506
IL18,30,0.11659084480020007
IL33,30,0.3137547693168351
CFTR,30,0.09797666983984167
CALCA,30,0.09123781316399517
STAT3,29,0.5153294859626091
TGM2,29,0.10044065627326247
NOS2,29,0.10389940414347512
AGR2,29,0.08394793369209949
AKT1,28,0.30090358378456017
MUC1,28,0.3469573992811991
IL13,28,0.30917812430466357
JAK3,27,0.5976974493525138
EREG,27,0.06345872503766904
MAPK1,27,0.18501244800266392
MMP9,27,0.38963885188627684
INS,27,0.0926612646760983
CXCL8,27,0.09350166772908279
TCF7L2,27,0.2775186720039959
TLR4,27,0.39994586373432
LCN2,27,0.10750646744409087
ESR1,27,0.37179088277137773
MUC13,27,0.06896112872973961
CTNNB1,27,0.2799238338280305
CDX2,26,0.3816714238968348
IL10RA,26,0.8156338558448248
CDH1,26,0.2778886969000012
CYLD,26,0.40898902430626605
MKI67,26,0.17194157560907172
GPT,26,0.06202328394769839
NLRP3,26,0.1450697789853094
CCL2,26,0.44673214358063645
GCG,26,0.11299542247350021
GAST,25,0.06086539514391637
VIP,25,0.08164800174778654
TNFAIP3,25,0.4275324115284607
MYD88,25,0.2775186720039959
BTK,25,0.2780737093480039
IGF1,25,0.2067210970904742
CASP3,25,0.10743286793823577
CTLA4,25,0.4714015564026924
GPA33,25,0.06828686114146322
KRAS,25,0.37467343693943916
PIK3CB,25,0.2775186720039959
TFF3,25,0.08096205701540879
SMAD3,24,0.4770847967576962
PTGS1,24,0.6114356359911978
TF,24,0.11130245155991744
PPARG,24,0.6285289846130336
ATP12A,24,0.031360453676299506
MPO,24,0.0937159326483097
YAP1,24,0.32583981212081864
IL37,24,0.46253112000665986
ICAM1,24,0.3499501458180291
NR5A2,24,0.4931333347228331
PIK3CG,24,0.31192011217680876
ISYNA1,23,0.08552523503675753
IGHE,23,0.08736798381157719
HP,23,0.08364045268478486
GSTM1,23,0.08507880052364414
CDKN2A,23,0.30167184355237714
TLR5,23,0.2308433793173726
LTF,23,0.2962835532374159
TLR9,23,0.3254705694442892
GGH,23,0.08519629724328347
NOTCH1,23,0.2793687964840225
FABP2,23,0.4136043310109182
GH1,23,0.08624233216761161
PTPRC,23,0.4069462651821186
FOXL1,23,0.06551528775288883
NOS3,23,0.10778835483954863
NFKB2,23,0.2786287466920119
HIF1A,23,0.2775186720039959
TLR2,23,0.09575724281914724
MSH2,23,0.494479671014154
NOS1,23,0.04199558324379368
LEP,23,0.10079522799089949
AHR,23,0.26075432966778006
NLRP6,22,0.08514331070152245
CSF3,22,0.07146124619508247
GDNF,22,0.08708078299762352
ALK,22,0.2946943873528018
CXCR2,22,0.4186543824919874
FASLG,22,0.30197364131960674
IL5,22,0.04532040233914564
RETNLB,22,0.07387115353034364
KRT20,22,0.08066627215161468
CD19,22,0.09378113767159903
CD28,22,0.4340214307348278
NKX2-3,22,0.5323057987640222
CCR2,22,0.3486394947826378
MLH1,22,0.5048570560475049
NR1I2,22,0.30214166783050406
CEACAM5,22,0.057151156137591363
CEACAM7,22,0.05162329296886826
CARD11,22,0.33652542677176916
TFF2,22,0.059936412523195925
SST,22,0.04452879598528116
RAG2,22,0.22610598798932052
OCLN,22,0.08403325464063528
STAT1,22,0.09616077225011246
LYZ,22,0.048631593583256236
ITGB2,21,0.08092939767725046
LGR5,21,0.05280757133162176
CLOCK,21,0.09037198870286796
PRKCD,21,0.09670523568579244
GLP1R,21,0.33672906107785794
TJP1,21,0.03483241299115985
PRKAB1,21,0.3850841935687393
CEACAM3,21,0.04038588081226388
STAT5B,21,0.37002489600532784
FAS,21,0.3261701560793161
EDNRB,21,0.34187895229068255
S100B,21,0.0787460259658272
WAS,21,0.37002489600532784
PSG2,21,0.0355360477948442
MUC16,21,0.4285212632148687
GOT1,21,0.03153127054995593
GHRL,21,0.10534973918865218
SERPINA1,21,0.1058216415966033
PLG,21,0.3249692256820124
SLC5A2,20,0.09019738285547355
ACE,20,0.05201316621514892
ADAMDEC1,20,0.10218854211347138
TLX2,20,0.07019438881702351
IL15,20,0.11410115736802783
JAK2,20,0.6660542522876888
CD40,20,0.47580295462704514
VDR,20,0.3813810350131666
CP,20,0.04433314961087043
LYPD8,20,0.07060816421821955
S100A12,20,0.10625622006842743
TGFB2,20,0.253815711863755
REL,20,0.29829720441345287
YIPF6,20,0.06653337688580385
EGF,20,0.10566824162033271
ABL1,20,0.5885619400439419
BAX,20,0.37002489600532784
MRC1,20,0.28652921470300485
KRT7,20,0.08238337069355957
FFAR2,20,0.08876685899724471
CCR7,20,0.18501244800266392
PDGFRA,20,0.8173793919253047
CLDN2,20,0.11149437972195843
FGFR3,20,0.4367935584186897
SLC9A8,20,0.33798338038189574
STAT6,20,0.2775186720039959
SLC17A5,20,0.031530055046648395
INSR,19,0.275384649208205
TNC,19,0.43106922907848894
RC3H1,19,0.07970500715464097
MYLK,19,0.6392968343691523
CLDN7,19,0.07821625706466011
CCN2,19,0.04823994012282793
GATM,19,0.07627742573051874
CLDN1,19,0.07400497920106557
CLDN15,19,0.06250275530873996
EPHB2,19,0.08686198668233555
EHMT1,19,0.10826983496045722
ATM,19,0.2816810417637533
SOAT1,19,0.07487843823704762
RAPH1,19,0.060359283313935766
TET2,19,0.3962789945022841
NF1,19,0.3092373973075158
PRKDC,19,0.06365615302786637
FANCA,19,0.2963430718801069
NR1H4,19,0.10157784756471924
VIM,19,0.04390868136327324
CXCR4,19,0.35947147093353055
CD68,19,0.04125189875808585
GPR35,19,0.5588779748928249
TGFBR2,19,0.37002489600532784
FEM1A,19,0.07400497920106557
MMP7,19,0.11200939270987456
SLC12A2,19,0.37002489600532784
JAK1,19,0.5295816459656888
AICDA,19,0.05348716413492782
CPOX,19,0.06340752483637088
ITGAM,19,0.10087660571493572
ICOS,19,0.08021474628484263
OCA2,19,0.42436728916949407
RELA,19,0.08974587370946065
FPR2,18,0.05712877218470248
TIMP1,18,0.095726889937123
RORC,18,0.40535126046605063
MAPK3,18,0.0573108418260539
BACH2,18,0.5620265167786204
C3,18,0.04560738484193203
SPDEF,18,0.28097805256888414
SLC22A4,18,0.4432950380804718
CGA,18,0.07868644752725366
GNAI2,18,0.068312351913222
CHGA,18,0.06679924790692286
IL4R,18,0.14356633699521631
IL25,18,0.09201402242515329
FAP,18,0.33924719936991465
ATG16L1,18,0.5110102640365899
