id,name
GO_0009615,response to virus
HP_0000010,Recurrent urinary tract infections
HP_0001581,Recurrent skin infections
HP_0002205,Recurrent respiratory infections
HP_0002719,Recurrent infections
HP_0002783,Recurrent lower respiratory tract infections
HP_0002788,Recurrent upper respiratory tract infections
HP_0004787,Fulminant hepatitis
HP_0004798,Recurrent infection of the gastrointestinal tract
HP_0006538,Recurrent bronchopulmonary infections
HP_0011947,Respiratory tract infection
HP_0012115,Hepatitis
HP_0031690,Opportunistic infection
HP_0031694,Severe adenovirus infection
HP_0040187,Neonatal sepsis
HP_0100806,Sepsis
HP_0200119,Acute hepatitis
HP_0410257,Neutrophilia in presence of infection
MONDO_0000166,"encephalopathy, acute, infection-induced"
MONDO_0000286,Epstein-Barr virus hepatitis
MONDO_0000307,parasitic Ichthyosporea infectious disease
MONDO_0000314,primary bacterial infectious disease
MONDO_0000315,commensal bacterial infectious disease
MONDO_0000316,opportunistic bacterial infectious disease
MONDO_0000368,extrapulmonary tuberculosis
MONDO_0000369,abdominal tuberculosis
MONDO_0000565,infective endocarditis
MONDO_0000890,Zika virus congenital syndrome
MONDO_0000916,intestinal infectious disease
MONDO_0001052,chronic fungal otitis externa
MONDO_0001114,bacterial myocarditis
MONDO_0001507,viral labyrinthitis
MONDO_0001649,fungal esophagitis
MONDO_0001678,intestinal tuberculosis
MONDO_0001812,parasitic eyelid infestation
MONDO_0001832,bacterial esophagitis
MONDO_0002041,fungal infectious disease
MONDO_0002137,noninfectious dermatoses of eyelid
MONDO_0002270,viral gastritis
MONDO_0002428,protozoa infectious disease
MONDO_0002429,idiopathic interstitial pneumonia
MONDO_0002646,viral laryngitis
MONDO_0002812,infectious otitis interna
MONDO_0002842,bacterial gastritis
MONDO_0002843,fungal gastritis
MONDO_0002875,parasitic ectoparasitic infectious disease
MONDO_0003846,viral esophagitis
MONDO_0004189,esophageal tuberculosis
MONDO_0004272,urinary bladder tuberculosis
MONDO_0004369,renal infectious disease
MONDO_0004517,ureter tuberculosis
MONDO_0004522,infectious peritonitis
