gene,n_diseases,max_score
TNF,210,0.2888588491949433
IFNG,198,0.38142458440862964
CD4,198,0.737292353424631
IL6,184,0.11837766714107537
CD40LG,174,0.11832544470678169
IL10,171,0.1380959911439398
CD8A,167,0.1202676181307153
IL17A,163,0.11868740887825664
CRP,163,0.5221282238712007
IL1B,158,0.26990333499444713
NFKB1,156,0.3727039610926894
CD79A,154,0.11767964376556396
TLR4,152,0.40799940256935363
IFNA1,146,0.1200588825600436
CXCL8,144,0.11526574927149766
IL4,135,0.12267569728463795
TLR2,133,0.47093219852210155
IL2,131,0.10287404123293553
TGFB1,131,0.11281463902213285
CXCL10,130,0.1113895336317661
CCL2,127,0.38047520308303384
ALB,125,0.11834362953991003
IL18,122,0.10638307446763712
NLRP3,119,0.11405611001142307
C3,115,0.1079694409684907
CALCA,115,0.11987543215833127
FASLG,115,0.11162486979045595
MMP9,112,0.12070642446946035
VEGFA,111,0.10965803621670861
IL2RA,111,0.3787297992228674
IL1A,109,0.10822725129941888
FOXP3,109,0.1015624106346409
CSF2,108,0.10589872772348577
MYD88,107,0.7342487630457787
NOS2,107,0.11370336464818855
IFNB1,107,0.11796502087577383
PDCD1,106,0.12667507533240077
ICAM1,106,0.11599210174100222
CD274,106,0.12074377168264051
RPL17,106,0.1353608276194327
INS,105,0.10492348775687196
SNCA,105,0.15663218838411794
STAT1,104,0.743287449387608
IFNA2,104,0.11305066142415182
IGHE,102,0.10326351274582625
IL22,102,0.11708683524784073
GPT,101,0.11295599566914011
PIK3CD,100,0.2986269746156221
SPATA2,99,0.11613688198081729
RPL17-C18orf32,99,0.11613688198081729
PIK3CG,98,0.29862673085787816
GOT1,98,0.08482978407219993
IFNA17,98,0.11303458014589682
CP,98,0.10871597195681948
MPO,98,0.1004191788750554
CD14,98,0.13222675589831173
IL13,98,0.22525006969130407
SLC17A5,97,0.08482978407219993
IL23A,97,0.1038327703891254
AKT1,97,0.10704654835905737
MAPK1,97,0.37257879208632616
IL33,97,0.34058088279998877
TF,96,0.10922110863033367
FAS,96,0.10037893101865245
MBL2,95,0.11426708224980305
MTOR,95,0.30351977424854665
STAT3,95,0.7501053781625562
PRH2,95,0.07983224079945814
PTGS2,95,0.3486895039947134
ERVW-1,95,0.1176457600465071
HIF1A,94,0.19868018931349152
CSF3,94,0.1031051473615541
CCL5,93,0.1044060518718847
UROD,92,0.11985893036049176
TLR9,92,0.5787776067592489
GSTM1,92,0.09787064890632449
CXCL9,91,0.09514914157014742
ISYNA1,90,0.10417915998576333
NR1I2,90,0.08155565457914983
TNFRSF1A,89,0.3585229611586454
ITGAM,89,0.11385521958237287
CASP3,89,0.07611129138275903
IL37,88,0.10133588444178909
CASP1,88,0.11281609526982493
PIK3CA,88,0.2986297905614363
ISG20,88,0.09598500976760507
PRF1,88,0.37002489600532784
PROS1,87,0.0837150148721117
NFE2L2,87,0.11331491228750976
IL5,87,0.07965873720750642
IL15,87,0.19894714369432534
FN1,87,0.46687340140858874
MBL3P,87,0.10995706571032951
CAT,86,0.08798047432056563
STING1,86,0.18636070458574075
PIK3CB,86,0.29862673085787816
ACTB,85,0.0944375335316566
HP,85,0.10661889080786913
LCN2,85,0.1155601731521196
SLPI,85,0.10101458194181723
ESR1,85,0.31740061524513813
HMGB1,83,0.11666547695892625
PPIB,83,0.09341633640115311
CCR2,83,0.3972210616194455
EGFR,83,0.5423619191863996
TP53,83,0.11571894691674423
CCL3,83,0.10099886973133572
MUC5AC,83,0.24030356198719247
LGALS3,82,0.12077300851327241
PTGER2,82,0.08922368290018443
CTLA4,82,0.10149663305010292
TLR7,82,0.5621542011253496
HSPA1A,81,0.0975581108496602
FOS,81,0.07240563822265347
SOD1,81,0.08873884779473958
PRH1,81,0.07983224079945814
CD40,81,0.36817943306108036
CCR5,81,0.7446602153448927
SAA1,81,0.11236522837140786
MTCO2P12,81,0.08891543249646883
SOAT1,81,0.07633172022814076
S100A8,81,0.11793446018712994
MT-CO2,81,0.11504082806371098
TLR3,80,0.3988935008481208
FXN,80,0.09982527017789218
NOD2,80,0.10649984025002257
ADA,79,0.10983503143265474
SAA2,79,0.1110844687751871
MS4A1,79,0.37002489600532784
CCL27,79,0.08889575539061308
IDO1,79,0.11263507802008069
PTPRC,79,0.31410995117628715
LTF,79,0.5052470217619437
CXCR2,78,0.25901742720372944
ITGB2,78,0.07571104443479722
GABPA,78,0.11224421562589675
NECTIN1,78,0.08659072211420243
CD19,78,0.47556519557610083
MMP2,77,0.10528546040222163
IFNAR1,77,0.6712067602294953
FANCA,77,0.09969566379757507
HLA-C,77,0.0688755718300715
RELA,77,0.10529826753217074
BCL2,76,0.10202815184379058
CCL4,76,0.08910532448486765
ACE,76,0.10410184227671558
FCGR3A,75,0.09741584050829072
IFIH1,75,0.3870223414244441
FCGR3B,75,0.0955718206902956
KRT20,75,0.10671604160720802
CXCR3,75,0.10778930486055135
ASAH1,74,0.10142030003599904
CXCL1,74,0.06439369261832352
LYZ,74,0.055915509105369236
MAPK8,73,0.09268792510034411
RENBP,73,0.1034506834578704
SPP1,73,0.115971911453552
HSPA4,73,0.09691975426226782
ATP6AP2,73,0.07332161142660557
PRKAA1,73,0.10686714361420592
NAT10,72,0.08936321393432553
IL1R1,72,0.220083992857511
MIF,72,0.10157117981437258
LEP,72,0.11001166402335281
EPHB2,72,0.0789924921217094
NLRP1,71,0.06806402392631336
ERVK13-1,71,0.043901558247472515
PRKAA2,71,0.10595128456145848
PRKAB1,71,0.10580820436067788
ERV3-1,71,0.044020192909403795
TIMP1,71,0.11563791239480124
ATRNL1,71,0.2275771141054382
ERVFRD-1,71,0.043901558247472515
ASRGL1,71,0.08854241804779854
HMOX1,71,0.10818452680125067
ITGAX,71,0.11181430551389064
PSAP,71,0.07983224079945814
BTK,70,0.09003229606496527
LTA,70,0.07833290818858833
ALPP,70,0.08855518170386849
PDLIM3,70,0.32677308842400365
JUN,70,0.09257550596429372
CD28,70,0.5112044323034394
IL6R,70,0.5739982647978944
RIGI,70,0.09574969538029585
CXCR4,69,0.5784407482763565
MAPK14,69,0.10167344731009999
ATG5,68,0.11026639074656443
IGHG3,68,0.10820454539609237
CFTR,68,0.11070131603763296
CD69,68,0.09682426972786302
IL9,68,0.10345614532710865
S100B,68,0.1044299096574792
WNK1,67,0.10398743967581071
APOE,67,0.44265637203303265
CMPK1,67,0.09890995900193261
F2,67,0.06052962206199153
SERPINE1,67,0.10985990885825682
GZMB,67,0.06121957249557006
AVP,67,0.10224399262519458
IGF1,67,0.10004475816631751
CHKA,67,0.10153100866249669
SFTPA1,66,0.11094788374640772
AOPEP,66,0.10522427808771996
TG,66,0.22018207064086617
IL1RL1,66,0.3352542021187197
CHI3L1,66,0.09703799724958252
ATM,66,0.08162281960655322
PTX3,66,0.11523557754488598
SFTPA2,66,0.112471868575616
CXCL2,65,0.04635790354986084
CASP8,65,0.6837060024226188
VDR,65,0.3578081901488309
GH1,65,0.10277092846289532
CHKB,65,0.09890831674968416
IFNGR1,65,0.5403000421702082
S100A9,65,0.11974663365433247
PPARG,65,0.32352625339215585
JUNB,65,0.09784113878835496
MKI67,65,0.07253725047576236
SERPINA1,65,0.4997597151428234
DUSP4,64,0.17159436055635904
FCGR2A,64,0.07625358790881014
AHR,64,0.2286515112392656
ELANE,64,0.06951860069549044
NR3C1,64,0.6151335970007665
CD163,64,0.11132025428812829
GORASP1,64,0.10398743967581071
GRAP2,64,0.1016534102378247
SYT1,64,0.10398743967581071
CCR6,64,0.260705086886799
SDC1,63,0.08594620176756633
CTSB,63,0.2822431837156557
ACE2,63,0.11740490870433078
CD38,63,0.10984452341479152
SGCG,63,0.17005677108755446
TNFSF10,63,0.11053876707704059
IL18R1,63,0.32164207972892933
IL27,63,0.11494073013113855
HOXD13,63,0.09594033831737038
IRF3,63,0.10765429627456151
C5,63,0.13429424172512316
AGO2,63,0.08275840551283746
SOCS1,63,0.07011139730536106
HLA-B,62,0.09120341015281712
SELL,62,0.09193497402940705
HLA-DRB1,62,0.10535763608004159
AIMP2,62,0.1016534102378247
CD68,62,0.05093460228544524
MX1,62,0.0943949863922677
RNF19A,62,0.1016534102378247
NFKBIA,62,0.25155153825488086
CRK,62,0.10341744597046383
CD44,62,0.09269863605553623
ADSL,61,0.08004111310184583
IRF1,61,0.11777042012508439
IL7,61,0.10195720450973585
CD209,61,0.23862899288545436
BAX,61,0.061074993063304814
AHSA1,61,0.1016534102378247
CXCL13,61,0.0842988103662984
CYBB,61,0.09608214975111438
VCAM1,61,0.08500746745259803
ATP12A,61,0.07292622067731798
IL21,61,0.10985588218514879
RPSA,61,0.10089891507054218
TGM2,61,0.10299180326990792
MUC1,61,0.1029677444814753
FPR2,61,0.10039314059420552
POLDIP2,61,0.1016534102378247
MAPK3,61,0.37557013021074104
DSP,61,0.09634132441803185
TNC,61,0.25904234517149644
HAMP,61,0.10713702569311556
TFRC,61,0.08166895335536854
CD74,60,0.0940769058844464
LBP,60,0.08352340197781151
APRT,60,0.08075874324482868
SFTPD,60,0.0960091756849009
B2M,60,0.5319859471679133
C4A,60,0.037716581162386666
SQSTM1,60,0.10538778410612061
EBI3,60,0.05057130253704816
GSTK1,60,0.04792802977309113
LGALS9,60,0.10044218680006402
AFP,60,0.26750020655144763
ART4,59,0.02726439711850731
AIM2,59,0.08903463833235639
SULT2A1,59,0.0720145661436296
MFAP1,59,0.08004111310184583
EPO,59,0.09871549952354672
CGAS,59,0.08611032211974858
SLCO6A1,59,0.04792802977309113
CCR7,59,0.08064335946872599
CGA,59,0.08414171678803518
SDCBP2,59,0.26990050105695634
TNFRSF1B,58,0.07456001654507358
GGH,58,0.10276230590959375
HSPD1,58,0.09626441330123806
XK,58,0.07370245749847434
FOSB,58,0.06707337020130469
HSPA5,58,0.07258944562406087
CEBPB,58,0.08758083340384092
TNFSF13B,58,0.09530505120083893
CD86,58,0.2802298518798017
AGER,58,0.09897330313023353
VIM,58,0.10059036467101778
S100A12,58,0.10756995687028643
MAP3K14,58,0.07909097049808007
MOK,57,0.09850324720987931
C5AR1,57,0.11429114215049979
CCL20,57,0.05877569993191837
IRF7,57,0.0983914639728086
MAVS,57,0.39352796851244654
TLR1,57,0.17401582805625285
