drug,n_genes,mean_abs_r
Tozasertib,11928,0.24844481891348089
Schweinfurthin A,11571,0.25080306801486474
UNC0638,11533,0.2552908176536894
Vorinostat,11359,0.24893611233383223
GSK2830371,11348,0.2517659411350018
MIRA-1,11136,0.25275549568965516
Olaparib,10669,0.24013766051176302
Lenalidomide,10508,0.24896957556147697
Niraparib,10443,0.24132186153404195
LMB_AB1,10439,0.244712520356356
Nelarabine,10345,0.24527974867085547
Venetoclax,10336,0.2466717685758514
N30652-18-1,10295,0.24104546867411364
Cytarabine,10283,0.24058484877953906
GSK626616AC,10266,0.24492697253068382
N29087-69-1,10143,0.2399540865621611
ABT737,9999,0.23615889588958897
Teniposide,9976,0.2358619587008821
Axitinib,9906,0.23301751463759335
BI-2536,9856,0.2341253043831169
Oxaliplatin,9808,0.24129646207177813
PCI-34051,9805,0.23940180520142784
N27922-53-1,9793,0.23851943224752373
N25720-51-A1,9771,0.23904868488383996
Leflunomide,9758,0.24222922730067634
LMB_AB2,9756,0.24035580155801559
I-BRD9,9725,0.24089842673521852
Navitoclax,9652,0.2317114898466639
AZD1208,9643,0.23329555117701958
Zoledronate,9566,0.2366088960903199
Cisplatin,9514,0.22879602690771497
Veliparib,9492,0.2376342182890855
Mitoxantrone,9488,0.23427056281618888
Irinotecan,9480,0.22542391350210972
UNC0379,9440,0.2306229449152542
POMHEX,9382,0.22933970368791304
IOX2,9344,0.23240851883561645
CPI-637,9338,0.23376596701649174
Temozolomide,9316,0.23815880206097034
Ribociclib,9290,0.2349888805166846
GSK2256098C,9238,0.2358568304827885
GSK2830371A,9236,0.2345460697271546
Entinostat,9206,0.22893609602433196
MK-8776,9194,0.23560153360887534
AZD5991,9191,0.23929466869763902
Palbociclib,9182,0.2361363101720758
EPZ004777,9161,0.23441310992249756
Motesanib,9155,0.23238938285090116
Bicalutamide,8963,0.23853524489568223
Crizotinib,8872,0.226602761496844
IWP-2,8835,0.2325104131295982
Lestaurtinib,8818,0.23568254706282604
Rucaparib,8813,0.2284312833314422
AMG-319,8809,0.2365869451697128
PBD-288,8809,0.22575086843001477
Vinblastine,8766,0.22582628336755647
PFI3,8758,0.23510284311486637
Elephantin,8702,0.23076880027579869
EPZ5676,8699,0.23301311645016667
Vismodegib,8676,0.22994103273397878
VE821,8646,0.22989806847096922
630600,8644,0.22823194123091162
CT7033-2,8636,0.22337388837424735
MIM1,8629,0.22333489396222042
Wee1 Inhibitor,8615,0.2258800232153221
A-366,8615,0.22343562391178176
Fludarabine,8608,0.2312176115241636
GSK3337463A,8564,0.2305682391405885
HKMTI-1-005,8557,0.22725915624634802
Sabutoclax,8504,0.22647588193791157
CHIR-99021,8494,0.23054147633623734
AGI-6780,8485,0.23001710076605775
LMP744,8484,0.22188767090994813
BMS-345541,8474,0.2248703091810243
Fulvestrant,8428,0.2260799952539155
Serdemetan,8348,0.2269131887877336
THR-101,8339,0.23211543350521646
RO-3306,8307,0.22267467196340435
GSK2276186C,8262,0.2288043330912612
KRAS (G12C) Inhibitor-12,8256,0.22356226986434108
Talazoparib,8254,0.21841341167918585
MK-1775,8247,0.224481096156178
Bromosporine,8234,0.22859805683750303
Alisertib,8228,0.21918624210014584
Pyridostatin,8194,0.2200099951183793
Cyclophosphamide,8122,0.22623389559221868
YK-4-279,8109,0.22045502528055247
Sorafenib,8073,0.22880641644989472
