gene,patient
TP53,37.2
TTN,20.6
MUC16,15.5
AR,13.6
SYNE1,11.5
CSMD3,9.8
FOXA1,9.4
KMT2C,9.1
KMT2D,8.4
AHNAK2,8.2
BRCA2,8.0
USH2A,7.3
HMCN1,7.3
APC,7.0
CACNA1E,6.8
OBSCN,6.8
PLEC,6.6
RYR1,6.3
PTEN,6.3
LRP1B,6.3
DCHS2,6.3
MUC4,6.1
CDK12,6.1
FAT3,6.1
RYR2,5.9
MACF1,5.9
SPOP,5.9
ABCA13,5.9
ATM,5.9
RYR3,5.9
MUC17,5.6
TENM3,5.6
ANK2,5.6
LRP2,5.4
CSMD1,5.4
ZFHX3,5.2
DST,5.2
FAT4,5.2
FCGBP,5.2
PKHD1,5.2
ZFHX4,5.2
DNAH3,4.9
SYNE2,4.9
ANK3,4.9
MYO15A,4.9
SCN5A,4.9
PCLO,4.9
NEB,4.7
FREM2,4.7
GRIN2A,4.7
MUC5B,4.7
CTNNB1,4.4
DNAH11,4.4
DNAH2,4.4
LRRK2,4.4
SPEG,4.2
MUC2,4.2
EPPK1,4.2
VCAN,4.2
FSIP2,4.2
DNAH10,4.2
PKD1L1,4.2
DCHS1,4.2
CACNA1I,4.0
CSMD2,4.0
ASPM,4.0
SPTA1,4.0
DNAH8,4.0
HECTD4,4.0
TG,4.0
CPS1,4.0
VPS13B,4.0
PKHD1L1,3.7
FLG,3.7
XIRP2,3.7
BSN,3.7
WDR87,3.7
AHNAK,3.7
PCDH15,3.7
FNDC1,3.7
DYNC1H1,3.7
RB1,3.7
FLG2,3.7
MGA,3.7
PDE4DIP,3.5
EYS,3.5
HSPG2,3.5
APOB,3.5
WDFY4,3.5
FBN2,3.5
FAM186A,3.5
COL12A1,3.5
RP1,3.5
DNAH5,3.5
RNF213,3.5
SVEP1,3.5
PLXNB1,3.5
RELN,3.3
PIEZO1,3.3
PIK3CA,3.3
LAMA5,3.3
PLXNA2,3.3
TENM2,3.3
CNOT1,3.3
TNIK,3.3
ADAMTS12,3.3
CNTN6,3.3
CNTNAP5,3.3
COL11A1,3.3
PREX2,3.3
PRKDC,3.3
FAT2,3.3
CPSF1,3.3
FLNC,3.3
CTNNA2,3.3
HERC1,3.3
DNAH7,3.3
DNAH6,3.3
ROBO2,3.3
MEGF8,3.0
DNAH1,3.0
CELSR1,3.0
GSE1,3.0
BLTP1,3.0
SMG1,3.0
CELSR3,3.0
GRM3,3.0
MYH2,3.0
SIGLEC1,3.0
DNAH14,3.0
GNAS,3.0
NYNRIN,3.0
IGSF10,3.0
BOD1L1,3.0
EPHA5,3.0
IGF2R,3.0
PXDNL,3.0
UBR4,3.0
CACNA1B,3.0
MROH2B,3.0
CACNA1A,3.0
SETD1B,3.0
NAV2,3.0
SHANK1,3.0
TAF1L,3.0
ZNF831,3.0
SPTBN2,3.0
ADGRV1,3.0
SACS,3.0
LAMA1,3.0
DYSF,3.0
SMC4,3.0
USP7,3.0
TCHH,2.8
ERF,2.8
TENM4,2.8
TRPM2,2.8
MYPN,2.8
CACNA1H,2.8
NCOR2,2.8
DNAH17,2.8
UNC13A,2.8
KAT6B,2.8
SAMD9L,2.8
PCDH17,2.8
ABCA2,2.8
COL6A3,2.8
SPEN,2.8
CASZ1,2.8
NCOR1,2.8
TRIOBP,2.8
LRP1,2.8
PPFIA2,2.8
DMD,2.8
LAMB4,2.8
SDK2,2.8
NOTCH4,2.8
TRPM1,2.8
SIPA1L3,2.8
CHD4,2.8
KMT2A,2.8
MUC6,2.8
MYO16,2.8
GRM4,2.8
KIAA1549,2.8
ZNF536,2.8
CHD6,2.8
CHD5,2.8
RBP3,2.8
CRYBG1,2.8
CHD1,2.8
DNHD1,2.8
ZNF780B,2.8
COL22A1,2.8
VWF,2.8
PIEZO2,2.8
LOXHD1,2.8
RNF43,2.6
SZT2,2.6
LAMA2,2.6
FLNB,2.6
SPTAN1,2.6
COL7A1,2.6
FAM135B,2.6
JCAD,2.6
BCL9L,2.6
JAK1,2.6
FMN2,2.6
ZNF521,2.6
PTPRC,2.6
ARID1A,2.6
CDH23,2.6
ADGRB3,2.6
FASN,2.6
FAT1,2.6
DOCK4,2.6
DOCK3,2.6
NALCN,2.6
FRAS1,2.6
ARID1B,2.6
KIF26B,2.6
CPAMD8,2.6
KIAA1549L,2.6
FN1,2.6
PRRC2A,2.6
UTP20,2.6
SAMD9,2.6
PRUNE2,2.6
ADAM29,2.6
ZFYVE26,2.6
CELSR2,2.6
GLI2,2.6
HERC2,2.6
IGSF9B,2.6
PLXNA1,2.6
DLGAP3,2.6
MKI67,2.6
ZFPM2,2.6
DIP2A,2.6
ANKHD1,2.6
ZMYM3,2.6
STAB1,2.6
MICAL3,2.6
TTC28,2.6
MTUS2,2.6
MGAM,2.6
CHD9,2.6
PLCH1,2.6
PCDHA10,2.6
CMYA5,2.6
TMEM132C,2.6
