,count
MYC,26
TP53,25
CCND1,24
AKT1,24
CDK1,22
CCNB1,20
STAT3,20
CTNNB1,18
CDH1,18
BCL2,18
KRAS,17
CDK4,17
CDC20,15
TOP2A,15
PARP1,15
BIRC5,15
SNAI1,15
MDM2,14
RAD51,14
EZH2,13
PCNA,13
CHEK1,13
AURKA,13
CDH2,12
PTEN,11
SOX2,11
MCM6,11
AR,11
BUB1,10
TPX2,10
TWIST1,10
BRAF,10
RAF1,9
CDK6,9
NUSAP1,9
MCM2,9
JAK2,9
SNAI2,9
COL5A1,9
NOTCH1,8
FGFR1,8
FN1,8
KMT2C,8
ANK2,8
MCL1,8
DMD,8
KMT2D,8
MET,8
ARID1A,8
PIK3CA,7
SPTAN1,7
ATM,7
MAP2K1,7
NCAM1,7
ANK3,7
HDAC2,7
CUL3,6
BRCA2,6
COL6A2,6
GRM5,6
DNAH1,6
SHANK2,6
NCOR1,6
SIN3A,5
PLCG1,5
LAMA2,5
MYO15A,5
NID1,5
KMT2A,5
WRN,5
DNAH2,5
ITGB5,5
SPTBN2,5
HSPG2,5
PALB2,5
DNAH8,5
TTN,5
CACNA1F,5
RB1,5
DNAH7,5
DAG1,5
ITGB4,5
CDH23,5
DNAH17,5
DNAH3,5
SCN2A,4
FBN1,4
BRD4,4
SNRNP200,4
LAMC1,4
COL4A2,4
FANCM,4
PIK3CB,4
CACNA2D1,4
FOXA1,4
NF1,4
ERCC5,4
COL1A1,4
LAMA4,4
COL4A1,4
COL15A1,4
KDR,4
CACNA2D2,4
PLCG2,4
KIF20A,4
NEB,4
XIRP2,4
SCN5A,4
COL14A1,4
SETD1B,4
CACNA1H,4
PCDH15,4
SPTA1,4
COL12A1,4
LRRK2,4
MUC2,4
PXDNL,4
CHD4,4
IGF1R,3
CREBBP,3
LTBP1,3
NGEF,3
TRRAP,3
NPHS1,3
ADCY5,3
DDX46,3
AMBRA1,3
CHGA,3
GAD2,3
LAMA1,3
NR3C1,3
ITGA10,3
ACAN,3
PRIM2,3
AFDN,3
CACNA1A,3
GLI1,3
ERBB2,3
ITGAV,3
CHD3,3
CACNG4,3
MYH10,3
WNK1,3
CLTC,3
GRIA1,3
TCERG1,3
IKZF1,3
COL1A2,3
PIWIL1,3
DDB1,3
ITGA3,3
FLNC,3
ITGA4,3
GRIN2A,3
THBS1,3
GRIK2,3
USP7,3
LIG4,3
ADGRV1,3
RYR1,3
MYH13,3
LRP2,3
RYR2,3
NRXN2,3
SYNE1,3
CACNA1C,3
