protein_A,protein_B,combined_score,string_A,string_B
BOD1L1,SETD1B,0.761,9606.ENSP00000040738,9606.ENSP00000474253
MGA,KMT2A,0.912,9606.ENSP00000219905,9606.ENSP00000436786
TG,PXDNL,0.753,9606.ENSP00000220616,9606.ENSP00000348645
TG,LRP2,0.966,9606.ENSP00000220616,9606.ENSP00000496870
CDH23,CTNNA2,0.711,9606.ENSP00000224721,9606.ENSP00000384638
CDH23,CTNNB1,0.765,9606.ENSP00000224721,9606.ENSP00000495360
CDH23,MYO15A,0.837,9606.ENSP00000224721,9606.ENSP00000495481
CDH23,ADGRV1,0.97,9606.ENSP00000224721,9606.ENSP00000384582
CDH23,PCDH15,0.999,9606.ENSP00000224721,9606.ENSP00000363068
APOB,HSPG2,0.792,9606.ENSP00000233242,9606.ENSP00000363827
APOB,LRP2,0.881,9606.ENSP00000233242,9606.ENSP00000496870
LRP1,HSPG2,0.809,9606.ENSP00000243077,9606.ENSP00000363827
LRP1,LRP2,0.942,9606.ENSP00000243077,9606.ENSP00000496870
FOXA1,PIK3CA,0.706,9606.ENSP00000250448,9606.ENSP00000263967
FOXA1,TP53,0.735,9606.ENSP00000250448,9606.ENSP00000269305
FOXA1,KMT2C,0.825,9606.ENSP00000250448,9606.ENSP00000262189
FOXA1,AR,0.996,9606.ENSP00000250448,9606.ENSP00000363822
LAMA5,LAMA2,0.754,9606.ENSP00000252999,9606.ENSP00000400365
LAMA5,LAMA1,0.951,9606.ENSP00000252999,9606.ENSP00000374309
APC,LRRK2,0.745,9606.ENSP00000257430,9606.ENSP00000298910
APC,CTNNB1,0.999,9606.ENSP00000257430,9606.ENSP00000495360
DNAH3,DNAH7,0.909,9606.ENSP00000261383,9606.ENSP00000311273
DNAH3,DNAH1,0.91,9606.ENSP00000261383,9606.ENSP00000401514
DNAH3,DNAH17,0.911,9606.ENSP00000261383,9606.ENSP00000374490
DNAH3,DNAH8,0.918,9606.ENSP00000261383,9606.ENSP00000333363
DNAH3,DNAH2,0.92,9606.ENSP00000261383,9606.ENSP00000458355
VWF,SVEP1,0.857,9606.ENSP00000261405,9606.ENSP00000363593
KMT2C,ARID1B,0.757,9606.ENSP00000262189,9606.ENSP00000490491
KMT2C,ARID1A,0.823,9606.ENSP00000262189,9606.ENSP00000320485
KMT2C,NCOR1,0.83,9606.ENSP00000262189,9606.ENSP00000268712
KMT2C,TP53,0.858,9606.ENSP00000262189,9606.ENSP00000269305
KMT2C,KMT2A,0.947,9606.ENSP00000262189,9606.ENSP00000436786
KMT2C,SETD1B,0.976,9606.ENSP00000262189,9606.ENSP00000474253
KMT2C,KMT2D,0.998,9606.ENSP00000262189,9606.ENSP00000301067
CHD5,CHD4,0.897,9606.ENSP00000262450,9606.ENSP00000440542
PIK3CA,BRCA2,0.812,9606.ENSP00000263967,9606.ENSP00000369497
PIK3CA,CTNNB1,0.901,9606.ENSP00000263967,9606.ENSP00000495360
PIK3CA,ARID1A,0.913,9606.ENSP00000263967,9606.ENSP00000320485
PIK3CA,TP53,0.941,9606.ENSP00000263967,9606.ENSP00000269305
PIK3CA,JAK1,0.969,9606.ENSP00000263967,9606.ENSP00000499900
PIK3CA,PTEN,0.995,9606.ENSP00000263967,9606.ENSP00000361021
VCAN,HSPG2,0.805,9606.ENSP00000265077,9606.ENSP00000363827
RB1,ARID1B,0.733,9606.ENSP00000267163,9606.ENSP00000490491
RB1,PTEN,0.734,9606.ENSP00000267163,9606.ENSP00000361021
RB1,ARID1A,0.786,9606.ENSP00000267163,9606.ENSP00000320485
RB1,AR,0.878,9606.ENSP00000267163,9606.ENSP00000363822
RB1,TP53,0.936,9606.ENSP00000267163,9606.ENSP00000269305
NCOR1,KMT2D,0.763,9606.ENSP00000268712,9606.ENSP00000301067
NCOR1,TP53,0.853,9606.ENSP00000268712,9606.ENSP00000269305
NCOR1,SPEN,0.898,9606.ENSP00000268712,9606.ENSP00000364912
NCOR1,AR,0.991,9606.ENSP00000268712,9606.ENSP00000363822
NCOR1,NCOR2,0.998,9606.ENSP00000268712,9606.ENSP00000384018
TP53,HERC1,0.72,9606.ENSP00000269305,9606.ENSP00000390158
TP53,ANK2,0.727,9606.ENSP00000269305,9606.ENSP00000349588
TP53,DMD,0.73,9606.ENSP00000269305,9606.ENSP00000354923
TP53,LRRK2,0.738,9606.ENSP00000269305,9606.ENSP00000298910
TP53,CHD4,0.749,9606.ENSP00000269305,9606.ENSP00000440542
TP53,ANK3,0.753,9606.ENSP00000269305,9606.ENSP00000280772
TP53,KMT2A,0.757,9606.ENSP00000269305,9606.ENSP00000436786
TP53,JAK1,0.774,9606.ENSP00000269305,9606.ENSP00000499900
TP53,CDK12,0.775,9606.ENSP00000269305,9606.ENSP00000398880
TP53,KMT2D,0.81,9606.ENSP00000269305,9606.ENSP00000301067
TP53,GNAS,0.81,9606.ENSP00000269305,9606.ENSP00000360141
TP53,PXDNL,0.821,9606.ENSP00000269305,9606.ENSP00000348645
TP53,AR,0.905,9606.ENSP00000269305,9606.ENSP00000363822
TP53,CTNNB1,0.927,9606.ENSP00000269305,9606.ENSP00000495360
TP53,ARID1A,0.961,9606.ENSP00000269305,9606.ENSP00000320485
TP53,BRCA2,0.995,9606.ENSP00000269305,9606.ENSP00000369497
TP53,PRKDC,0.997,9606.ENSP00000269305,9606.ENSP00000313420
TP53,ATM,0.999,9606.ENSP00000269305,9606.ENSP00000278616
TP53,USP7,0.999,9606.ENSP00000269305,9606.ENSP00000343535
TP53,PTEN,0.999,9606.ENSP00000269305,9606.ENSP00000361021
TENM4,ANK3,0.726,9606.ENSP00000278550,9606.ENSP00000280772
ATM,SMG1,0.705,9606.ENSP00000278616,9606.ENSP00000402515
ATM,SPOP,0.722,9606.ENSP00000278616,9606.ENSP00000377001
ATM,CDK12,0.831,9606.ENSP00000278616,9606.ENSP00000398880
ATM,PTEN,0.897,9606.ENSP00000278616,9606.ENSP00000361021
ATM,PRKDC,0.971,9606.ENSP00000278616,9606.ENSP00000313420
ATM,BRCA2,0.995,9606.ENSP00000278616,9606.ENSP00000369497
FREM2,FRAS1,0.982,9606.ENSP00000280481,9606.ENSP00000422834
ANK3,SPTBN2,0.844,9606.ENSP00000280772,9606.ENSP00000432568
ANK3,SPTA1,0.863,9606.ENSP00000280772,9606.ENSP00000495214
ANK3,ANK2,0.911,9606.ENSP00000280772,9606.ENSP00000349588
ANK3,SPTAN1,0.972,9606.ENSP00000280772,9606.ENSP00000487444
ANK3,SCN5A,0.993,9606.ENSP00000280772,9606.ENSP00000328968
PREX2,PTEN,0.99,9606.ENSP00000288368,9606.ENSP00000361021
SHANK1,GRIN2A,0.742,9606.ENSP00000293441,9606.ENSP00000332549
SHANK1,SPTAN1,0.812,9606.ENSP00000293441,9606.ENSP00000487444
COL6A3,COL12A1,0.788,9606.ENSP00000295550,9606.ENSP00000325146
COL6A3,COL11A1,0.826,9606.ENSP00000295550,9606.ENSP00000359114
BSN,PCLO,0.904,9606.ENSP00000296452,9606.ENSP00000334319
LRRK2,DYNC1H1,0.735,9606.ENSP00000298910,9606.ENSP00000348965
LRRK2,CTNNB1,0.889,9606.ENSP00000298910,9606.ENSP00000495360
DCHS1,CTNNA2,0.716,9606.ENSP00000299441,9606.ENSP00000384638
DCHS1,CTNNB1,0.787,9606.ENSP00000299441,9606.ENSP00000495360
KMT2D,AR,0.713,9606.ENSP00000301067,9606.ENSP00000363822
KMT2D,ARID1A,0.813,9606.ENSP00000301067,9606.ENSP00000320485
KMT2D,SETD1B,0.896,9606.ENSP00000301067,9606.ENSP00000474253
KMT2D,CTNNB1,0.936,9606.ENSP00000301067,9606.ENSP00000495360
KMT2D,KMT2A,0.997,9606.ENSP00000301067,9606.ENSP00000436786
MUC17,MUC6,0.905,9606.ENSP00000302716,9606.ENSP00000406861
MUC17,MUC5B,0.918,9606.ENSP00000302716,9606.ENSP00000436812
MUC17,MUC2,0.945,9606.ENSP00000302716,9606.ENSP00000494061
COL22A1,COL12A1,0.876,9606.ENSP00000303153,9606.ENSP00000325146
DNAH7,DNAH1,0.911,9606.ENSP00000311273,9606.ENSP00000401514
DNAH7,DNAH17,0.914,9606.ENSP00000311273,9606.ENSP00000374490
DNAH7,DNAH8,0.916,9606.ENSP00000311273,9606.ENSP00000333363
DNAH7,DNAH2,0.96,9606.ENSP00000311273,9606.ENSP00000458355
PRKDC,BRCA2,0.887,9606.ENSP00000313420,9606.ENSP00000369497
ARID1A,CHD4,0.726,9606.ENSP00000320485,9606.ENSP00000440542
ARID1A,PTEN,0.743,9606.ENSP00000320485,9606.ENSP00000361021
ARID1A,ARID1B,0.999,9606.ENSP00000320485,9606.ENSP00000490491
COL12A1,LAMA2,0.767,9606.ENSP00000325146,9606.ENSP00000400365
COL12A1,COL7A1,0.803,9606.ENSP00000325146,9606.ENSP00000332371
FLNC,AR,0.777,9606.ENSP00000327145,9606.ENSP00000363822
FLNC,DMD,0.856,9606.ENSP00000327145,9606.ENSP00000354923
FLNC,FLNB,0.921,9606.ENSP00000327145,9606.ENSP00000420213
SCN5A,CACNA1H,0.701,9606.ENSP00000328968,9606.ENSP00000334198
SCN5A,DMD,0.717,9606.ENSP00000328968,9606.ENSP00000354923
SCN5A,ANK2,0.888,9606.ENSP00000328968,9606.ENSP00000349588
GRIN2A,GRM4,0.737,9606.ENSP00000332549,9606.ENSP00000440556
