gene,primary_tissue,primary_tissue_tpm,other_tissues_mean_tpm,other_tissues_max_tpm,selectivity_vs_mean,selectivity_vs_max,safety_classification,max_other_tissue
FLT3,Whole Blood,3.4348,1.4177,22.5447,2.4129,0.1527,MODERATE_TISSUE_SELECTIVE,Brain - Cerebellar Hemisphere
NPM1,Whole Blood,54.6961,328.4855,1517.48,0.1665,0.0361,LOW_IN_TARGET_TISSUE,Cells - EBV-transformed lymphocytes
DNMT3A,Whole Blood,4.2218,8.379,20.8955,0.5045,0.2024,UBIQUITOUS,Brain - Cerebellum
TET2,Whole Blood,7.9466,4.7263,12.2708,1.6799,0.6479,MODERATE_TISSUE_SELECTIVE,Cells - EBV-transformed lymphocytes
IDH1,Whole Blood,11.995,39.7753,266.465,0.3017,0.0451,LOW_IN_TARGET_TISSUE,Adrenal Gland
IDH2,Whole Blood,32.3942,84.9319,442.793,0.3815,0.0732,LOW_IN_TARGET_TISSUE,Muscle - Skeletal
RUNX1,Whole Blood,6.0912,5.2384,30.995,1.1625,0.1968,UBIQUITOUS,Minor Salivary Gland
CEBPA,Whole Blood,21.3192,16.0154,132.824,1.331,0.1606,UBIQUITOUS,Skin - Not Sun Exposed (Suprapubic)
TP53,Whole Blood,7.6981,16.3691,72.9493,0.4706,0.1056,LOW_IN_TARGET_TISSUE,Cells - EBV-transformed lymphocytes
ASXL1,Whole Blood,8.0325,31.1227,62.7268,0.2583,0.1282,LOW_IN_TARGET_TISSUE,Nerve - Tibial
KIT,Whole Blood,0.2458,11.4646,44.4616,0.0223,0.0058,NOT_EXPRESSED,Esophagus - Muscularis
KMT2A,Whole Blood,2.2431,13.4689,34.8444,0.1672,0.0646,LOW_IN_TARGET_TISSUE,Brain - Cerebellum
NRAS,Whole Blood,5.9574,15.634,77.2891,0.3815,0.0772,LOW_IN_TARGET_TISSUE,Cells - EBV-transformed lymphocytes
KRAS,Whole Blood,9.0882,13.4816,30.7364,0.6744,0.2959,UBIQUITOUS,Nerve - Tibial
WT1,Whole Blood,0.0,8.0168,109.72,0.0012,0.0001,NOT_EXPRESSED,Uterus
BCL2,Whole Blood,1.8296,7.4136,49.6889,0.2478,0.037,LOW_IN_TARGET_TISSUE,Cells - EBV-transformed lymphocytes
MCL1,Whole Blood,376.547,172.4528,474.739,2.1834,0.7932,MODERATE_TISSUE_SELECTIVE,Lung
STAT3,Whole Blood,96.7228,77.267,172.983,1.2518,0.5592,UBIQUITOUS,Lung
STAT5A,Whole Blood,37.1653,23.6821,83.5903,1.5691,0.4447,MODERATE_TISSUE_SELECTIVE,Adipose - Subcutaneous
STAT5B,Whole Blood,138.507,57.384,155.542,2.4134,0.8905,MODERATE_TISSUE_SELECTIVE,Uterus
JAK1,Whole Blood,62.1352,59.3672,139.896,1.0466,0.4442,UBIQUITOUS,Cells - Cultured fibroblasts
JAK2,Whole Blood,8.8589,11.7178,68.8909,0.7562,0.1287,UBIQUITOUS,Artery - Tibial
JAK3,Whole Blood,139.15,8.7768,108.549,15.8374,1.2819,HIGHLY_SELECTIVE,Spleen
PIK3CA,Whole Blood,4.1515,10.6683,23.1876,0.3897,0.1794,LOW_IN_TARGET_TISSUE,Artery - Tibial
PIK3R1,Whole Blood,8.6528,38.3847,154.417,0.2256,0.0561,LOW_IN_TARGET_TISSUE,Nerve - Tibial
MAP2K1,Whole Blood,21.6706,37.701,99.1303,0.5749,0.2187,UBIQUITOUS,Cells - EBV-transformed lymphocytes
MAP2K2,Whole Blood,96.4023,87.1605,196.936,1.106,0.4895,UBIQUITOUS,Testis
MYC,Whole Blood,12.7634,58.446,298.818,0.2185,0.0427,LOW_IN_TARGET_TISSUE,Skin - Not Sun Exposed (Suprapubic)
CDKN2A,Whole Blood,0.2846,1.4376,16.9106,0.2035,0.0174,NOT_EXPRESSED,Pituitary
TET1,Whole Blood,0.041,0.6808,2.812,0.0738,0.0181,NOT_EXPRESSED,Nerve - Tibial
EZH2,Whole Blood,2.1057,5.683,54.6972,0.3716,0.0387,LOW_IN_TARGET_TISSUE,Cells - EBV-transformed lymphocytes
BRD4,Whole Blood,19.5028,23.4496,39.4015,0.8318,0.4951,UBIQUITOUS,Uterus
