gene,primary_tissue,primary_tissue_tpm,other_tissues_mean_tpm,other_tissues_max_tpm,selectivity_vs_mean,selectivity_vs_max,safety_classification,max_other_tissue
EGFR,Lung,22.1273,19.0403,78.3374,1.162,0.2826,UBIQUITOUS,Skin - Sun Exposed (Lower leg)
KRAS,Lung,19.7597,13.2802,30.7364,1.4875,0.643,UBIQUITOUS,Nerve - Tibial
ERBB2,Lung,47.7796,37.6701,130.131,1.2683,0.3672,UBIQUITOUS,Nerve - Tibial
ALK,Lung,0.0784,0.4486,3.5316,0.1927,0.025,NOT_EXPRESSED,Pituitary
MET,Lung,9.7737,5.805,21.256,1.6825,0.4601,MODERATE_TISSUE_SELECTIVE,Nerve - Tibial
BRAF,Lung,15.5857,10.8906,27.5801,1.4307,0.5653,UBIQUITOUS,Brain - Cerebellar Hemisphere
ROS1,Lung,11.0866,0.1236,2.9558,83.0795,3.7415,HIGHLY_SELECTIVE,Cells - Cultured fibroblasts
RET,Lung,0.4704,1.3353,6.2977,0.3571,0.0762,NOT_EXPRESSED,Brain - Substantia nigra
NTRK1,Lung,1.834,1.2631,5.6739,1.4484,0.3244,UBIQUITOUS,Prostate
NTRK2,Lung,1.7701,17.714,79.5144,0.1004,0.0224,LOW_IN_TARGET_TISSUE,Brain - Anterior cingulate cortex (BA24)
NTRK3,Lung,2.1421,4.3662,32.5277,0.4918,0.0661,LOW_IN_TARGET_TISSUE,Artery - Tibial
ERBB4,Lung,0.8821,2.2949,9.0913,0.3871,0.098,NOT_EXPRESSED,Brain - Cerebellar Hemisphere
PIK3CA,Lung,15.6377,10.4516,23.1876,1.4957,0.6745,UBIQUITOUS,Artery - Tibial
AKT1,Lung,80.299,48.2696,88.7644,1.6634,0.9046,MODERATE_TISSUE_SELECTIVE,Artery - Aorta
MTOR,Lung,15.2756,13.9215,35.5128,1.0972,0.4303,UBIQUITOUS,Testis
TP53,Lung,16.9199,16.1951,72.9493,1.0447,0.232,UBIQUITOUS,Cells - EBV-transformed lymphocytes
RB1,Lung,23.7409,15.0802,60.606,1.5739,0.3918,MODERATE_TISSUE_SELECTIVE,Cells - EBV-transformed lymphocytes
STK11,Lung,30.1853,28.6285,119.642,1.0544,0.2524,UBIQUITOUS,Testis
KEAP1,Lung,35.7935,35.5853,88.3333,1.0059,0.4053,UBIQUITOUS,Muscle - Skeletal
NFE2L2,Lung,84.6452,61.9146,174.265,1.3671,0.4858,UBIQUITOUS,Esophagus - Mucosa
CDKN2A,Lung,1.079,1.4226,16.9106,0.7601,0.0644,UBIQUITOUS,Pituitary
MYC,Lung,54.2758,57.6627,298.818,0.9413,0.1817,UBIQUITOUS,Skin - Not Sun Exposed (Suprapubic)
VEGFA,Lung,158.588,80.6993,615.368,1.9651,0.2577,MODERATE_TISSUE_SELECTIVE,Thyroid
KDR,Lung,50.7656,15.907,80.1173,3.19,0.6337,TISSUE_SELECTIVE,Thyroid
FLT4,Lung,34.8001,9.947,64.0465,3.496,0.5434,TISSUE_SELECTIVE,Thyroid
CD274,Lung,24.5582,3.4329,59.8011,7.1358,0.4108,TISSUE_SELECTIVE,Cells - EBV-transformed lymphocytes
PDCD1,Lung,3.2481,1.5022,23.6495,2.1546,0.1377,MODERATE_TISSUE_SELECTIVE,Cells - EBV-transformed lymphocytes
FGFR1,Lung,60.3967,57.2352,144.816,1.0552,0.4171,UBIQUITOUS,Artery - Aorta
FGFR2,Lung,6.9462,17.2221,130.141,0.4037,0.0534,LOW_IN_TARGET_TISSUE,Brain - Spinal cord (cervical c-1)
FGFR3,Lung,14.5128,45.7777,364.546,0.3172,0.0398,LOW_IN_TARGET_TISSUE,Skin - Not Sun Exposed (Suprapubic)
SOX2,Lung,0.6362,16.2718,69.7693,0.0397,0.0093,NOT_EXPRESSED,Brain - Amygdala
BCL2,Lung,4.6554,7.3603,49.6889,0.633,0.0939,UBIQUITOUS,Cells - EBV-transformed lymphocytes
MCL1,Lung,474.739,170.6001,384.63,2.7827,1.2343,MODERATE_TISSUE_SELECTIVE,Artery - Aorta
