gene,uniprot,size_kb,n_atoms,status
AKT1,P31749,316,3919,OK
AKT2,O14965,261,3229,OK
AR,P10275,559,6958,OK
ATM,Q13315,0,0,FAILED
BCL2L1,Q07817,150,1838,OK
BRCA1,P38398,1166,14550,OK
CDK2,P24941,195,2398,OK
CDK4,P11802,193,2376,OK
CSNK2A1,P68400,258,3182,OK
EGFR,P00533,754,9392,OK
ERBB2,P04626,775,9661,OK
KIT,P10721,620,7725,OK
MAP2K1,Q02750,247,3048,OK
MAPK14,Q16539,236,2907,OK
MDM2,Q00987,312,3859,OK
MTOR,P42345,1624,20287,OK
PARP1,P09874,638,7944,OK
PIK3CA,P42336,700,8722,OK
TOP2B,Q02880,1033,12896,OK
TP53,P04637,248,3060,OK
